obs;delta;resp;error;theta;rt;study;experiment;stimulus
1;NaN;41.102;6.102;35;2.0994;Fischer et al. (2020);Experiment 1;Motion
1;-30;150.24;85.24;65;2.3825;Fischer et al. (2020);Experiment 1;Motion
1;80;299.34;-45.66;345;1.8495;Fischer et al. (2020);Experiment 1;Motion
1;70;306.99;31.99;275;1.5163;Fischer et al. (2020);Experiment 1;Motion
1;0;287.15;12.15;275;3.5154;Fischer et al. (2020);Experiment 1;Motion
1;50;203.81;-21.19;225;2.0828;Fischer et al. (2020);Experiment 1;Motion
1;160;47.055;-17.945;65;1.3831;Fischer et al. (2020);Experiment 1;Motion
1;140;300.76;15.76;285;1.4164;Fischer et al. (2020);Experiment 1;Motion
1;-90;31.181;16.181;15;1.6995;Fischer et al. (2020);Experiment 1;Motion
1;100;283.18;8.18000000000001;275;1.7162;Fischer et al. (2020);Experiment 1;Motion
1;-130;49.039;4.039;45;2.2327;Fischer et al. (2020);Experiment 1;Motion
1;-10;49.89;-5.11;55;1.5663;Fischer et al. (2020);Experiment 1;Motion
1;-120;200.98;25.98;175;2.5159;Fischer et al. (2020);Experiment 1;Motion
1;-70;212.6;-32.4;245;2.0994;Fischer et al. (2020);Experiment 1;Motion
1;-70;313.23;-1.76999999999998;315;2.0828;Fischer et al. (2020);Experiment 1;Motion
1;40;285.17;10.17;275;1.583;Fischer et al. (2020);Experiment 1;Motion
1;-30;295.37;-9.63;305;1.7829;Fischer et al. (2020);Experiment 1;Motion
1;60;234.14;-10.86;245;1.4496;Fischer et al. (2020);Experiment 1;Motion
1;-160;53.575;8.575;45;2.6659;Fischer et al. (2020);Experiment 1;Motion
1;80;306.14;-18.86;325;1.6662;Fischer et al. (2020);Experiment 1;Motion
1;-150;124.16;9.16;115;1.5162;Fischer et al. (2020);Experiment 1;Motion
1;140;297.07;-37.93;335;1.6162;Fischer et al. (2020);Experiment 1;Motion
1;-80;53.008;-1.992;55;1.0332;Fischer et al. (2020);Experiment 1;Motion
1;-100;139.46;-15.54;155;1.5663;Fischer et al. (2020);Experiment 1;Motion
1;40;136.35;21.35;115;2.9158;Fischer et al. (2020);Experiment 1;Motion
1;-130;216.28;-28.72;245;1.3497;Fischer et al. (2020);Experiment 1;Motion
1;-80;315.5;-9.5;325;1.6829;Fischer et al. (2020);Experiment 1;Motion
1;-170;140.03;5.03;135;1.8495;Fischer et al. (2020);Experiment 1;Motion
1;160;310.11;-24.89;335;2.1161;Fischer et al. (2020);Experiment 1;Motion
1;110;215.15;-9.84999999999999;225;1.1831;Fischer et al. (2020);Experiment 1;Motion
1;20;213.17;8.16999999999999;205;0.7333;Fischer et al. (2020);Experiment 1;Motion
1;0;227.06;22.06;205;2.1827;Fischer et al. (2020);Experiment 1;Motion
1;160;39.685;-5.315;45;2.216;Fischer et al. (2020);Experiment 1;Motion
1;40;1.7008;-3.2992;5;1.3497;Fischer et al. (2020);Experiment 1;Motion
1;130;140.6;-94.4;235;1.6828;Fischer et al. (2020);Experiment 1;Motion
1;70;178.58;13.58;165;2.1827;Fischer et al. (2020);Experiment 1;Motion
1;-60;224.22;-0.780000000000001;225;2.416;Fischer et al. (2020);Experiment 1;Motion
1;50;180;5;175;2.216;Fischer et al. (2020);Experiment 1;Motion
1;130;46.205;1.205;45;1.7662;Fischer et al. (2020);Experiment 1;Motion
1;60;256.82;-88.18;345;1.383;Fischer et al. (2020);Experiment 1;Motion
1;90;257.1;2.10000000000002;255;2.5492;Fischer et al. (2020);Experiment 1;Motion
1;10;233.86;-11.14;245;1.8995;Fischer et al. (2020);Experiment 1;Motion
1;100;137.48;-7.52000000000001;145;2.6159;Fischer et al. (2020);Experiment 1;Motion
1;-100;241.23;-3.77000000000001;245;2.3493;Fischer et al. (2020);Experiment 1;Motion
1;30;229.89;14.89;215;1.8662;Fischer et al. (2020);Experiment 1;Motion
1;110;137.48;32.48;105;2.116;Fischer et al. (2020);Experiment 1;Motion
1;-120;229.04;4.03999999999999;225;1.8662;Fischer et al. (2020);Experiment 1;Motion
1;20;225.07;20.07;205;1.2497;Fischer et al. (2020);Experiment 1;Motion
1;60;135.5;-9.5;145;3.1323;Fischer et al. (2020);Experiment 1;Motion
1;140;359.43;-5.56999999999999;5;2.1827;Fischer et al. (2020);Experiment 1;Motion
1;120;222.8;-22.2;245;1.8328;Fischer et al. (2020);Experiment 1;Motion
1;-60;307.28;2.27999999999997;305;1.7162;Fischer et al. (2020);Experiment 1;Motion
1;40;238.96;-26.04;265;2.2827;Fischer et al. (2020);Experiment 1;Motion
1;160;169.8;64.8;105;2.3494;Fischer et al. (2020);Experiment 1;Motion
1;-100;227.62;22.62;205;2.466;Fischer et al. (2020);Experiment 1;Motion
1;140;52.724;-12.276;65;1.5163;Fischer et al. (2020);Experiment 1;Motion
1;-90;142.87;-12.13;155;1.6663;Fischer et al. (2020);Experiment 1;Motion
1;170;307.84;-37.16;345;2.1827;Fischer et al. (2020);Experiment 1;Motion
1;0;326.83;-18.17;345;1.9163;Fischer et al. (2020);Experiment 1;Motion
1;40;324;19;305;1.2497;Fischer et al. (2020);Experiment 1;Motion
1;110;173.48;-21.52;195;2.2327;Fischer et al. (2020);Experiment 1;Motion
1;-30;214.02;-10.98;225;1.7829;Fischer et al. (2020);Experiment 1;Motion
1;130;121.32;26.32;95;2.6493;Fischer et al. (2020);Experiment 1;Motion
1;-170;236.69;-28.31;265;2.7825;Fischer et al. (2020);Experiment 1;Motion
1;20;242.36;-2.63999999999999;245;2.2826;Fischer et al. (2020);Experiment 1;Motion
1;-130;28.913;13.913;15;2.4493;Fischer et al. (2020);Experiment 1;Motion
1;-180;178.58;-16.42;195;2.8991;Fischer et al. (2020);Experiment 1;Motion
1;100;85.323;-9.67700000000001;95;2.5826;Fischer et al. (2020);Experiment 1;Motion
1;-80;174.05;-0.949999999999989;175;0.81659;Fischer et al. (2020);Experiment 1;Motion
1;100;57.543;-17.457;75;2.316;Fischer et al. (2020);Experiment 1;Motion
1;-60;155.91;20.91;135;1.9494;Fischer et al. (2020);Experiment 1;Motion
1;110;53.858;28.858;25;1.333;Fischer et al. (2020);Experiment 1;Motion
1;-180;215.43;10.43;205;3.5988;Fischer et al. (2020);Experiment 1;Motion
1;-50;214.58;-40.42;255;1.3497;Fischer et al. (2020);Experiment 1;Motion
1;-170;50.457;-14.543;65;1.6496;Fischer et al. (2020);Experiment 1;Motion
1;-30;127.28;32.28;95;1.6329;Fischer et al. (2020);Experiment 1;Motion
1;150;310.68;5.68000000000001;305;2.5159;Fischer et al. (2020);Experiment 1;Motion
1;40;254.27;-10.73;265;3.4489;Fischer et al. (2020);Experiment 1;Motion
1;-30;307.84;12.84;295;1.4663;Fischer et al. (2020);Experiment 1;Motion
1;120;170.65;-4.34999999999999;175;2.3327;Fischer et al. (2020);Experiment 1;Motion
1;-170;311.81;-33.19;345;2.1494;Fischer et al. (2020);Experiment 1;Motion
1;-140;138.05;13.05;125;2.7825;Fischer et al. (2020);Experiment 1;Motion
1;110;16.724;1.724;15;2.2993;Fischer et al. (2020);Experiment 1;Motion
1;-160;180;5;175;1.5496;Fischer et al. (2020);Experiment 1;Motion
1;-60;224.22;-10.78;235;1.4163;Fischer et al. (2020);Experiment 1;Motion
1;130;120.19;15.19;105;2.2493;Fischer et al. (2020);Experiment 1;Motion
1;-160;255.97;-9.03;265;2.5659;Fischer et al. (2020);Experiment 1;Motion
1;40;222.24;-2.75999999999999;225;1.6662;Fischer et al. (2020);Experiment 1;Motion
1;-100;301.61;-23.39;325;1.8828;Fischer et al. (2020);Experiment 1;Motion
1;-30;359.43;4.43000000000001;355;1.9662;Fischer et al. (2020);Experiment 1;Motion
1;10;307.84;-37.16;345;1.583;Fischer et al. (2020);Experiment 1;Motion
1;80;283.75;18.75;265;2.1827;Fischer et al. (2020);Experiment 1;Motion
1;50;217.42;2.41999999999999;215;1.6995;Fischer et al. (2020);Experiment 1;Motion
1;130;56.126;-28.874;85;2.999;Fischer et al. (2020);Experiment 1;Motion
1;0;75.685;-9.315;85;1.7328;Fischer et al. (2020);Experiment 1;Motion
1;170;293.67;18.67;275;1.5663;Fischer et al. (2020);Experiment 1;Motion
1;110;144.57;-20.43;165;1.4664;Fischer et al. (2020);Experiment 1;Motion
1;150;64.63;49.63;15;1.4497;Fischer et al. (2020);Experiment 1;Motion
1;160;188.79;-26.21;215;2.2161;Fischer et al. (2020);Experiment 1;Motion
1;180;45.638;10.638;35;2.0494;Fischer et al. (2020);Experiment 1;Motion
1;30;41.386;36.386;5;2.5158;Fischer et al. (2020);Experiment 1;Motion
1;0;213.73;-151.27;5;1.5829;Fischer et al. (2020);Experiment 1;Motion
1;150;222.8;7.80000000000001;215;1.1331;Fischer et al. (2020);Experiment 1;Motion
1;150;44.504;-20.496;65;1.4663;Fischer et al. (2020);Experiment 1;Motion
