obs;age;delta;resp;error;errorc;rt;rtc;theta;block;stimtype;outliers;stimtype_bk;case;ntrials;study;experiment;stimulus;cond
6;20;-60;129;3;3.18412162162162;1.7912040873307;1.7912040873307;126;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-65;43;32;NaN;1.59129947851761;NaN;11;2;2;1;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;69;128;6;NaN;1.49961768057619;NaN;122;2;2;1;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;71;46;-5;-4.81587837837838;0.982988672296415;0.982988672296415;51;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;82;141;-8;-7.81587837837838;0.866355739695791;0.866355739695791;149;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-46;26;11;11.1841216216216;1.62463054781983;1.62463054781983;15;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;71;110;-14;-13.8158783783784;1.49130898744988;1.49130898744988;124;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-13;146;9;9.18412162162162;0.958012482360573;0.958012482360573;137;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;7;128;-2;-1.81587837837838;0.783025500539225;0.783025500539225;130;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;16;109;-5;-4.81587837837838;1.63298120099171;1.63298120099171;114;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-74;32;24;24.1841216216216;1.44959587040648;1.44959587040648;8;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;44;138;-6;-5.81587837837838;1.27462035967801;1.27462035967801;144;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-84;48;0;0.184121621621622;1.69955187273081;1.69955187273081;48;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;6;48;6;6.18412162162162;1.61623823647096;1.61623823647096;42;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-35;70;-7;-6.81587837837838;1.11629725221974;1.11629725221974;77;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;42;34;-1;-0.815878378378378;1.26628117759901;1.26628117759901;35;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-73;116;8;8.18412162162162;1.20796878655528;1.20796878655528;108;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-69;179;2;2.18412162162162;1.69122204864652;1.69122204864652;177;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;40;120;-17;-16.8158783783784;1.3829394673503;1.3829394673503;137;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-36;167;-6;-5.81587837837838;1.32464790539416;1.32464790539416;173;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-86;61;-18;-17.8158783783784;1.29137449342306;1.29137449342306;79;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;69;30;20;20.1841216216216;1.14963254771465;1.14963254771465;10;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;28;160;-2;-1.81587837837838;1.47464299999228;1.47464299999228;162;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;51;109;-2;-1.81587837837838;1.39961058661174;1.39961058661174;111;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;56;56;1;1.18412162162162;1.3829385617355;1.3829385617355;55;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;3;56;4;4.18412162162162;1.10797316368189;1.10797316368189;52;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-5;58;1;1.18412162162162;0.907996709607687;0.907996709607687;57;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-41;116;18;18.1841216216216;1.0163550604866;1.0163550604866;98;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;79;23;4;4.18412162162162;1.30797286181223;1.30797286181223;19;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-6;25;0;0.184121621621622;0.882990332585905;0.882990332585905;25;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-60;70;-15;-14.8158783783784;1.09129117707016;1.09129117707016;85;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;34;66;15;15.1841216216216;1.4412624238721;1.4412624238721;51;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-15;57;-9;-8.81587837837838;1.04965141464163;1.04965141464163;66;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;54;16;4;4.18412162162162;1.31625891462318;1.31625891462318;12;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;75;116;-1;-0.815878378378378;1.11632774117606;1.11632774117606;117;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;45;58;-14;-13.8158783783784;1.34127615899524;1.34127615899524;72;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-24;109;13;13.1841216216216;1.34963164210058;1.34963164210058;96;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;2;102;8;8.18412162162162;1.42469303508551;1.42469303508551;94;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;76;27;9;9.18412162162162;1.50795474956067;1.50795474956067;18;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;50;149;1;1.18412162162162;0.982996520939196;0.982996520939196;148;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-31;171;-8;-7.81587837837838;0.90799006845009;0.90799006845009;179;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;82;109;12;12.1841216216216;2.45781007795813;2.45781007795813;97;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-9;113;7;7.18412162162162;2.16617959805808;2.16617959805808;106;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-57;150;-13;-12.8158783783784;0.658059121404222;0.658059121404222;163;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;59;118;14;14.1841216216216;1.72455009924124;1.72455009924124;104;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;61;39;-4;-3.81587837837838;1.43297123925549;1.43297123925549;43;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;72;143;-8;-7.81587837837838;1.24129170534252;1.24129170534252;151;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;40;116;5;5.18412162162162;2.9494263699271;2.9494263699271;111;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-29;151;11;11.1841216216216;1.36625717886636;1.36625717886636;140;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;47;107;14;14.1841216216216;1.47461371851932;1.47461371851932;93;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;27;72;6;6.18412162162162;1.83291056321468;1.83291056321468;66;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;23;37;-6;-5.81587837837838;1.44126936690191;1.44126936690191;43;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;62;153;-8;-7.81587837837838;0.891376002777179;0.891376002777179;161;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;44;105;-12;-11.8158783783784;1.1746395284772;1.1746395284772;117;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;30;86;-1;-0.815878378378378;1.67457236221526;1.67457236221526;87;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;1;77;-9;-8.81587837837838;1.49956787188603;1.49956787188603;86;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;51;39;4;4.18412162162162;1.00797482397138;1.00797482397138;35;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-4;35;-4;-3.81587837837838;1.4329501082957;1.4329501082957;39;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-71;114;4;4.18412162162162;1.55795090070751;1.55795090070751;110;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-85;22;7;7.18412162162162;1.24967163998917;1.24967163998917;15;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;79;107;-9;-8.81587837837838;1.24130166708164;1.24130166708164;116;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;54;51;-11;-10.8158783783784;1.11631415698866;1.11631415698866;62;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-77;134;-5;-4.81587837837838;1.29129932758406;1.29129932758406;139;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-21;158;-2;-1.81587837837838;1.29963609469633;1.29963609469633;160;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-12;169;-3;-2.81587837837838;0.974692054005573;0.974692054005573;172;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-7;3;4;4.18412162162162;1.70798644599927;1.70798644599927;179;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-5;21;17;17.1841216216216;0.9746564332454;0.9746564332454;4;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-3;18;11;11.1841216216216;1.09133162776197;1.09133162776197;7;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-21;52;24;24.1841216216216;1.56627136679708;1.56627136679708;28;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;63;134;-11;-10.8158783783784;1.09137871961502;1.09137871961502;145;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;23;119;-3;-2.81587837837838;0.849757069438056;0.849757069438056;122;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;4;119;1;1.18412162162162;1.34964613190277;1.34964613190277;118;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;51;52;-15;-14.8158783783784;0.649715109389945;0.649715109389945;67;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;17;63;13;13.1841216216216;2.18283079384491;2.18283079384491;50;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;32;22;4;4.18412162162162;1.20799263435219;1.20799263435219;18;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-37;59;4;4.18412162162162;1.59958402197663;1.59958402197663;55;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-44;100;1;1.18412162162162;1.87454791067648;1.87454791067648;99;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;24;72;-3;-2.81587837837838;1.52460473786414;1.52460473786414;75;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-75;151;1;1.18412162162162;1.32459115367419;1.32459115367419;150;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;47;108;5;5.18412162162162;0.949619265396905;0.949619265396905;103;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-48;156;5;5.18412162162162;1.06634124989614;1.06634124989614;151;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-42;25;12;12.1841216216216;1.50798342729104;1.50798342729104;13;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;32;159;-2;-1.81587837837838;1.16632691103223;1.16632691103223;161;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-63;55;11;11.1841216216216;1.02463145343245;1.02463145343245;44;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-6;59;9;9.18412162162162;1.64957594693078;1.64957594693078;50;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-19;75;6;6.18412162162162;1.5412640841605;1.5412640841605;69;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-80;147;-2;-1.81587837837838;1.1329855781205;1.1329855781205;149;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;23;117;-9;-8.81587837837838;2.38279336185951;2.38279336185951;126;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-34;164;4;4.18412162162162;2.34948644222641;2.34948644222641;160;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-69;48;-1;-0.815878378378378;0.858011123940742;0.858011123940742;49;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-46;106;11;11.1841216216216;1.05796976763486;1.05796976763486;95;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;84;11;0;0.184121621621622;1.5746171900355;1.5746171900355;11;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;39;126;-26;-25.8158783783784;0.999666432717277;0.999666432717277;152;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;37;112;-3;-2.81587837837838;1.73292037401916;1.73292037401916;115;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-51;169;3;3.18412162162162;1.25796976763377;1.25796976763377;166;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;31;140;5;5.18412162162162;0.97468269600904;0.97468269600904;135;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-59;23;9;9.18412162162162;0.966396039455503;0.966396039455503;14;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;43;161;10;10.1841216216216;1.04964386787105;1.04964386787105;151;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;33;109;-9;-8.81587837837838;1.76624812274167;1.76624812274167;118;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-73;21;10;10.1841216216216;1.87456723041032;1.87456723041032;11;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-40;63;12;12.1841216216216;0.966307591297664;0.966307591297664;51;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;2;54;5;5.18412162162162;1.14134166496842;1.14134166496842;49;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-37;69;-17;-16.8158783783784;1.05795980589755;1.05795980589755;86;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-11;107;10;10.1841216216216;1.34966031983095;1.34966031983095;97;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-52;153;4;4.18412162162162;1.32465333906839;1.32465333906839;149;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-80;57;8;8.18412162162162;1.7412897431841;1.7412897431841;49;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;26;20;-3;-2.81587837837838;1.49959564400524;1.49959564400524;23;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;28;175;0;0.184121621621622;1.23296671119351;1.23296671119351;175;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-26;41;20;20.1841216216216;1.19128921491028;1.19128921491028;21;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;66;121;-14;-13.8158783783784;1.26629959171987;1.26629959171987;135;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;86;65;16;16.1841216216216;1.25796342834656;1.25796342834656;49;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;62;160;-7;-6.81587837837838;0.90822190525796;0.90822190525796;167;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;9;159;1;1.18412162162162;1.60796788094194;1.60796788094194;158;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-16;170;-4;-3.81587837837838;0.908032028497473;0.908032028497473;174;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;41;122;-11;-10.8158783783784;1.44127842302623;1.44127842302623;133;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;54;64;-15;-14.8158783783784;1.02467945089666;1.02467945089666;79;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-30;115;6;6.18412162162162;0.983024594926974;0.983024594926974;109;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-10;117;-2;-1.81587837837838;1.28296014550142;1.28296014550142;119;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-55;178;4;4.18412162162162;2.06616586293421;2.06616586293421;174;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-43;45;8;8.18412162162162;1.14130513859709;1.14130513859709;37;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;37;179;-1;-0.815878378378378;2.23286045265559;2.23286045265559;0;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-50;51;1;1.18412162162162;0.924670545706249;0.924670545706249;50;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-42;95;3;3.18412162162162;1.77457855056673;1.77457855056673;92;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;50;45;3;3.18412162162162;1.31631083640968;1.31631083640968;42;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-22;54;-10;-9.81587837837838;1.63291901559933;1.63291901559933;64;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-8;63;-9;-8.81587837837838;1.11628638487127;1.11628638487127;72;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;34;22;-16;-15.8158783783784;1.72459900231843;1.72459900231843;38;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-59;106;9;9.18412162162162;1.42461817111507;1.42461817111507;97;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;20;66;-11;-10.8158783783784;1.26627876263228;1.26627876263228;77;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;5;65;-7;-6.81587837837838;1.01631853411527;1.01631853411527;72;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;22;44;-6;-5.81587837837838;1.23297486170668;1.23297486170668;50;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;87;147;4;4.18412162162162;1.49130355377383;1.49130355377383;143;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-61;23;-1;-0.815878378378378;0.766339891477401;0.766339891477401;24;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;13;19;8;8.18412162162162;1.53294331620236;1.53294331620236;11;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;84;113;6;6.18412162162162;1.13298437063713;1.13298437063713;107;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;25;61;-21;-20.8158783783784;1.69953255299697;1.69953255299697;82;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;52;37;7;7.18412162162162;1.34960085127568;1.34960085127568;30;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-66;102;6;6.18412162162162;1.16633355218983;1.16633355218983;96;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;68;29;1;1.18412162162162;1.09965662191462;1.09965662191462;28;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;62;140;-6;-5.81587837837838;1.39965435788326;1.39965435788326;146;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;53;109;16;16.1841216216216;1.14130725169343;1.14130725169343;93;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;47;34;-12;-11.8158783783784;0.808029160722072;0.808029160722072;46;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;26;26;6;6.18412162162162;1.03297425796518;1.03297425796518;20;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-79;102;3;3.18412162162162;1.14132325084756;1.14132325084756;99;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;65;36;2;2.18412162162162;0.883011463545699;0.883011463545699;34;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;48;167;1;1.18412162162162;1.01633362765824;1.01633362765824;166;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;75;103;12;12.1841216216216;1.37458971978776;1.37458971978776;91;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-18;107;-2;-1.81587837837838;0.941358871607008;0.941358871607008;109;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;57;59;7;7.18412162162162;1.02464624510321;1.02464624510321;52;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;63;163;-6;-5.81587837837838;0.966319968001699;0.966319968001699;169;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-6;171;-4;-3.81587837837838;1.08295531556723;1.08295531556723;175;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-23;34;16;16.1841216216216;0.741363097798967;0.741363097798967;18;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-66;75;-9;-8.81587837837838;1.49963156663398;1.49963156663398;84;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;10;64;-10;-9.81587837837838;1.4829586361484;1.4829586361484;74;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;89;164;-1;-0.815878378378378;1.3329339582051;1.3329339582051;165;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-4;167;-2;-1.81587837837838;1.34126136732448;1.34126136732448;169;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-23;13;1;1.18412162162162;1.09130506312795;1.09130506312795;12;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;74;118;0;0.184121621621622;1.4749285698108;1.4749285698108;118;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-78;21;5;5.18412162162162;1.56622668991076;1.56622668991076;16;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;12;17;13;13.1841216216216;1.47462186903431;1.47462186903431;4;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-25;35;6;6.18412162162162;1.19129645981047;1.19129645981047;29;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-32;63;2;2.18412162162162;1.32458541812775;1.32458541812775;61;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;67;166;-8;-7.81587837837838;1.45798787988497;1.45798787988497;174;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;74;115;15;15.1841216216216;1.49125072637617;1.49125072637617;100;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-33;140;7;7.18412162162162;1.09969194080441;1.09969194080441;133;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;85;49;1;1.18412162162162;1.13299040805396;1.13299040805396;48;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-31;68;-11;-10.8158783783784;1.19964016995254;1.19964016995254;79;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;72;14;7;7.18412162162162;1.77458005992048;1.77458005992048;7;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;55;128;-4;-3.81587837837838;0.708041386491459;0.708041386491459;132;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;8;116;-8;-7.81587837837838;1.04135630570454;1.04135630570454;124;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-80;32;8;8.18412162162162;0.758037839510507;0.758037839510507;24;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;18;24;18;18.1841216216216;1.2913111005455;1.2913111005455;6;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-24;39;9;9.18412162162162;1.27460194555715;1.27460194555715;30;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-7;54;17;17.1841216216216;1.17460149275212;1.17460149275212;37;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;74;134;-9;-8.81587837837838;0.908007275087584;0.908007275087584;143;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;28;116;1;1.18412162162162;1.22462451040337;1.22462451040337;115;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;21;101;7;7.18412162162162;0.866355437825405;0.866355437825405;94;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-33;141;14;14.1841216216216;1.59128559245983;1.59128559245983;127;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;-53;176;-4;-3.81587837837838;0.816383134475473;0.816383134475473;0;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
6;20;87;102;9;9.18412162162162;5.91573396122476;5.91573396122476;93;2;2;0;2;NaN;592;Ceylan et al. (2021);Experiment 1;Orientation;1
