obs;age;delta;resp;error;errorc;rt;rtc;theta;block;stimtype;outliers;stimtype_bk;case;ntrials;study;experiment;stimulus;cond
1;28;20;101;7;10.0850340136054;1.39963939042309;1.39963939042309;94;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;78;15;-1;2.08503401360544;1.05798672029414;1.05798672029414;16;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;32;157;-7;-3.91496598639456;1.24962236515921;1.24962236515921;164;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;61;117;14;17.0850340136054;1.72455024928149;1.72455024928149;103;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-89;14;2;5.08503401360544;1.3163290995567;1.3163290995567;12;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;25;154;-13;-9.91496598639456;1.90785770260391;1.90785770260391;167;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;64;121;18;21.0850340136054;1.02466218133486;1.02466218133486;103;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;84;22;3;6.08503401360544;1.20797748318319;1.20797748318319;19;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;50;114;-35;-31.9149659863946;1.54125577621335;1.54125577621335;149;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;66;46;-37;-33.9149659863946;1.55800483227677;1.55800483227677;83;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;79;177;-7;-3.91496598639456;1.54953929153135;1.54953929153135;4;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;63;111;-10;-6.91496598639456;1.02466610559759;1.02466610559759;121;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-80;12;-9;-5.91496598639456;1.51624916533956;1.51624916533956;21;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-55;66;-10;-6.91496598639456;1.16625622901256;1.16625622901256;76;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-60;120;-16;-12.9149659863946;0.999655268594779;0.999655268594779;136;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-83;43;4;7.08503401360544;1.62458327346303;1.62458327346303;39;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;8;42;11;14.0850340136054;1.71626130036793;1.71626130036793;31;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-3;33;-1;2.08503401360544;1.21632348484218;1.21632348484218;34;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;77;118;-19;-15.9149659863946;1.28294720598524;1.28294720598524;137;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;89;59;11;14.0850340136054;1.63288067463509;1.63288067463509;48;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-65;102;-11;-7.91496598639456;1.54124309782537;1.54124309782537;113;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;12;100;-1;2.08503401360544;1.20796148426507;1.20796148426507;101;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;43;60;2;5.08503401360544;2.38287312797547;2.38287312797547;58;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-46;119;15;18.0850340136054;1.39128433277256;1.39128433277256;104;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;67;38;1;4.08503401360544;1.74120874543132;1.74120874543132;37;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-9;47;1;4.08503401360544;1.59959477457232;1.59959477457232;46;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;63;151;-12;-8.91496598639456;0.833011141284715;0.833011141284715;163;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-17;179;-1;2.08503401360544;1.3246379716511;1.3246379716511;0;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-61;56;-5;-1.91496598639456;1.06631732676806;1.06631732676806;61;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;32;28;-1;2.08503401360544;1.99120572676748;1.99120572676748;29;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-42;69;-2;1.08503401360544;1.75792037006386;1.75792037006386;71;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;75;166;-10;-6.91496598639456;1.27463108909797;1.27463108909797;176;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;36;145;5;8.08503401360544;1.66621668451717;1.66621668451717;140;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-14;143;-11;-7.91496598639456;2.34949847919734;2.34949847919734;154;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;58;106;10;13.0850340136054;1.549600872273;1.549600872273;96;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-51;151;4;7.08503401360544;0.716410724225625;0.716410724225625;147;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;77;74;4;7.08503401360544;1.17463724717163;1.17463724717163;70;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;5;65;0;3.08503401360544;2.29950427503127;2.29950427503127;65;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-4;63;-6;-2.91496598639456;1.208010084752;1.208010084752;69;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-68;125;-12;-8.91496598639456;1.33297008745694;1.33297008745694;137;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-73;30;0;3.08503401360544;1.39962610830207;1.39962610830207;30;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-58;88;0;3.08503401360544;0.916367919573077;0.916367919573077;88;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-6;107;13;16.0850340136054;1.50791131407232;1.50791131407232;94;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;74;14;-6;-2.91496598639456;1.10801080923147;1.10801080923147;20;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-44;54;-10;-6.91496598639456;1.14128614397123;1.14128614397123;64;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;77;159;-8;-4.91496598639456;0.841421440482009;0.841421440482009;167;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-61;38;-10;-6.91496598639456;0.80801751066474;0.80801751066474;48;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;14;39;5;8.08503401360544;1.29965369888941;1.29965369888941;34;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;-29;24;-39;NaN;1.21629088327336;NaN;63;2;2;1;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;28;26;-9;NaN;2.34117934364576;NaN;35;2;2;1;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;10;18;-7;-3.91496598639456;1.51627361651617;1.51627361651617;25;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;22;174;-9;-5.91496598639456;1.98286123444041;1.98286123444041;3;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
1;28;29;143;-11;-7.91496598639456;1.64961403364714;1.64961403364714;154;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1
