obs;theta;resp;delta;error;cond;rt;block;study;experiment;stimulus;expnum;stimtype;studynum;code;obsid;outliers_q;outliers_sd;outliers_rt;error_iqr;errorsd;theta_cent;stim_bias_peak;error_ori_deb;error_ori_deb_sd_deb;sd_bias_peak;error_norm;error_iqr_norm;error_ori_deb_norm;error_ori_deb_sd_deb_norm;bin;codenum
1;160;173.0;59;13.0;1;2.29150867462158;1;Abreo et al. (2023);Experiment 1;Orientation;1;True;1;01 Abreo et al. (2023);1;False;False;False;13.0;13.0;70;17.214968962358757;12.501635455401402;9.297788169017661;10.508978930022817;0.6750580881932173;0.8968515184455502;1.0002426648303258;0.767995381682937;;0.0
1;170;171.0;48;0.999999999999989;1;2.84200549125671;1;Abreo et al. (2023);Experiment 1;Orientation;1;True;1;01 Abreo et al. (2023);1;False;False;False;0.999999999999989;0.999999999999989;80;17.214968962358757;11.030790556637884;0.6033724438969497;10.508978930022817;0.0347091776720536;0.06136608151125822;0.8825619160723166;0.03116919004346144;2.0;0.0
1;150;163.5;41;13.5;1;4.67462348937988;1;Abreo et al. (2023);Experiment 1;Orientation;1;True;1;01 Abreo et al. (2023);1;False;False;False;13.5;13.5;60;17.214968962358757;13.131242828780971;4.136978820664991;10.508978930022817;0.7017392927982657;0.9316634116511457;1.050616886602559;0.33063195001067175;2.0;0.0
1;61;61.5;-64;0.500000000000008;1;3.7828516960144;1;Abreo et al. (2023);Experiment 1;Orientation;1;True;1;01 Abreo et al. (2023);1;False;False;False;0.500000000000008;0.500000000000008;-29;17.214968962358757;7.3728578524723725;11.904159477819373;10.508978930022817;0.008027973067006153;0.026554188305664066;0.5898945791597131;0.9888776935229426;;0.0
1;158;147.0;-82;-11.0;1;7.10818767547607;1;Abreo et al. (2023);Experiment 1;Orientation;1;True;1;01 Abreo et al. (2023);1;False;False;False;-11.0;-11.0;68;17.214968962358757;-12.768192586640394;-9.988836405069604;10.508978930022817;-0.6056397328491089;-0.7741193554230323;-1.0215696197100432;-0.8664893938087183;3.0;0.0
1;106;148.5;30;42.5;1;3.09983849525452;1;Abreo et al. (2023);Experiment 1;Orientation;1;True;1;01 Abreo et al. (2023);1;True;False;False;;42.5;16;17.214968962358757;;;10.508978930022817;2.2492491598910767;;;;;0.0
1;178;135.0;80;-43.0;1;5.68307948112488;1;Abreo et al. (2023);Experiment 1;Orientation;1;True;1;01 Abreo et al. (2023);1;True;False;False;;-43.0;88;17.214968962358757;;;10.508978930022817;-2.3132368275722106;;;;3.0;0.0
1;121;112.5;-39;-8.5;1;3.16619443893433;1;Abreo et al. (2023);Experiment 1;Orientation;1;True;1;01 Abreo et al. (2023);1;False;False;False;-8.5;-8.5;31;17.214968962358757;-6.429499384851976;-2.8614172129829867;10.508978930022817;-0.4722337098238666;-0.600059889395055;-0.5144174633128267;-0.2624615550719896;;0.0
1;51;48.5;-49;-2.50000000000001;1;2.44123363494873;1;Abreo et al. (2023);Experiment 1;Orientation;1;True;1;01 Abreo et al. (2023);1;False;False;False;-2.50000000000001;-2.50000000000001;-39;17.214968962358757;4.1885488843198235;7.632973754991594;10.508978930022817;-0.1520592545632856;-0.18231717092791;0.3351213777405437;0.6269072507198526;2.0;0.0
1;63;52.5;-75;-10.5;1;2.17467856407166;1;Abreo et al. (2023);Experiment 1;Orientation;1;True;1;01 Abreo et al. (2023);1;False;False;False;-10.5;-10.5;-27;17.214968962358757;-4.2451100089516896;2.5650609951251786;10.508978930022817;-0.5789585282440605;-0.7393074622174368;-0.33964677365609475;0.1974165320250514;;0.0
