1	307	1210
2	376	1304
3	471	1296
4	454	1327
5	404	1304
6	541	1376
7	453	1316
8	445	1123
9	394	1329
10	447	1302
11	461	1272
12	447	1339
13	321	1226
14	493	1285
15	340	1255
16	455	1340
17	467	1295
18	449	1316
19	435	1263
20	410	1278
21	403	1218
22	471	1308
23	454	1236
24	393	1238
25	437	1279
26	391	1204
27	400	1226
28	469	1336
29	449	1340
30	385	1292
31	392	1287
32	344	1226
33	424	1241
34	314	1226
35	363	1196
36	455	1251
37	433	1309
38	490	1344
39	380	1317
40	385	1318
41	369	1278
42	386	1226
43	308	1145
44	308	1147
45	481	1302
46	511	1292
47	439	1276
48	410	1226
49	488	1324
