delta;theta;resp;error;rt;obs;block;range;mindelta;study;experiment;stimulus;expnum
-40;304.947385267211;307.113026693681;2.16564142646939;1.94958445399971;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-70;14.9473852672111;15.2581202107041;0.310734943492974;1.72567678199994;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-110;124.947385267211;126.719130855615;1.771745588404;1.51652106899928;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
120;4.94738526721113;9.1423888503469;4.19500358313577;0.858590021000055;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-80;84.9473852672111;69.0754982550788;-15.8718870121323;2.23737988399989;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
130;314.947385267211;317.562085399365;2.61470013215359;1.0337565610007;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
160;154.947385267211;145.745136802829;-9.20224846438254;1.07527430400114;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
110;44.9473852672111;50.3558250428552;5.40843977564406;1.17247153199969;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-60;104.947385267211;123.729103724437;18.781718457226;0.932621472000392;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
10;94.9473852672111;103.286980783698;8.33959551648644;1.29949650099843;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-140;234.947385267211;228.73139699916;-6.21598826805069;0.875018681001166;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
80;154.947385267211;160.235805804439;5.28842053722815;0.900021511999512;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-150;304.947385267211;314.88879418415;9.94140891693877;0.858307252001396;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
0;304.947385267211;314.167002127063;9.2196168598515;1.11113176200161;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-110;54.9473852672111;50.6594818401625;-4.28790342704866;1.14974912900107;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
10;44.9473852672111;48.8712562319856;3.9238709647745;1.18309363800108;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
120;284.947385267211;256.675900850901;-28.2714844163106;0.915544274999775;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
170;114.947385267211;151.293604459412;36.3462191922007;1.30762539100033;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-10;124.947385267211;137.957300615164;13.0099153479529;1.53347322199988;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-50;174.947385267211;173.38819412608;-1.55919114113104;1.41682508899976;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-20;194.947385267211;197.744327826314;2.79694255910283;1.65848724399984;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-30;224.947385267211;220.752154652844;-4.19523061436664;1.71671983200031;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-10;234.947385267211;231.936485006494;-3.01090026071682;1.12633307100077;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-120;354.947385267211;334.593119678479;-20.3542655887319;1.6420118900005;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
30;324.947385267211;314.108606140935;-10.8387791262762;1.28537111399964;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
170;154.947385267211;155.663565280115;0.716180012904147;0.811199218000183;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
60;94.9473852672111;100.506720577231;5.55933531001966;1.77437384199948;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-130;224.947385267211;238.106041497619;13.1586562304081;1.82497295099893;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
100;124.947385267211;137.618528453305;12.6711431860943;1.27462463399934;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
90;34.9473852672111;32.6244669222984;-2.32291834491269;1.33323975800158;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
10;24.9473852672111;34.5684181984589;9.6210329312478;1.34947842899965;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
50;334.947385267211;322.429210899686;-12.5181743675248;1.53379683700041;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-90;64.9473852672111;47.8529493895731;-17.0944358776381;1.79990377600006;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-120;184.947385267211;202.328111596333;17.3807263291217;1.76000973999908;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
160;24.9473852672111;27.094134466459;2.14674919924784;2.01665527200021;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-100;124.947385267211;137.382683324601;12.4352980573904;1.78304101699905;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
20;104.947385267211;106.223931677038;1.27654640982641;1.44410306600003;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
180;284.947385267211;286.822575058881;1.8751897916697;1.55795458300054;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-110;34.9473852672111;0;-34.9473852672111;1.60804832500071;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-20;54.9473852672111;44.9518927237204;-9.99549254349071;1.50795977400048;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-120;174.947385267211;183.208521043612;8.26113577640075;1.24151567700028;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-180;354.947385267211;349.542700912531;-5.40468435467966;1.57474794100017;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
90;264.947385267211;268.344370702883;3.39698543567215;1.33278678600254;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
80;184.947385267211;199.690683267625;14.7432980004138;1.69169041900022;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-160;344.947385267211;326.320718576964;-18.6266666902474;1.08410488200025;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-140;124.947385267211;123.418763687876;-1.52862157933521;1.40150146700034;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
50;74.9473852672111;72.6665575036661;-2.28082776354501;1.20304322599986;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
130;304.947385267211;300.263592993843;-4.68379227336766;1.15827524899942;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-90;34.9473852672111;32.9406015306646;-2.0067837365465;1.61732679700071;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-150;184.947385267211;199.502782560701;14.5553972934897;1.96628799699829;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-130;314.947385267211;311.038611578711;-3.9087736885001;2.1259042620004;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
70;244.947385267211;241.13232360158;-3.81506166563071;1.0241803980025;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
-60;304.947385267211;297.926175253086;-7.02121001412507;1.60008644700065;4;2;360;-180;Moon & Kwon (2022);Experiment 1;Motion;1
