obs;theta;resp;error;block;cond;rt;trials;delta;study;experiment;stimulus;expnum
2;3.244;4.08699999999999;0.842999999999961;3;1;9;11;63.865;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;320.641;299.06;-21.581;3;1;9;12;42.6030000000001;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;347.562;334.44;-13.122;3;1;9;13;-26.921;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;154.2368;6.584;-147.6528;3;1;9;14;-166.6748;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;30.905;40.346;9.44099999999997;3;1;9;15;123.3318;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;211.207;211.451;0.244000000000028;3;1;9;16;179.698;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;109.5319;271.869;162.3371;3;1;9;17;101.6751;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;188.979;189.652;0.673000000000002;3;1;9;18;-79.4471;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;251.483;259.55;8.06700000000001;4;1;9;1;-62.504;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;1.84200000000001;357.15;-4.69200000000001;4;1;9;2;-110.359;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;76.242;85.2211;8.97910000000002;4;1;9;3;-74.4;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;113.3491;281.381;168.0319;4;1;9;4;-37.1071;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;178.5488;180.263;1.71420000000001;4;1;9;5;-65.1997;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;305.977;287.633;-18.344;4;1;9;6;-127.4282;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;192.906;203.554;10.648;4;1;9;7;113.071;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;323.999;147.2829;-176.7161;4;1;9;8;-131.093;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;273.236;276.984;3.74800000000005;4;1;9;9;50.763;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;218.403;216.672;-1.73099999999997;4;1;9;10;54.833;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;142.9576;150.4923;7.53469999999999;4;1;9;11;75.4454;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;237.723;250.877;13.154;4;1;9;12;-94.7654000000001;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;82.8123;81.5403;-1.27199999999999;4;1;9;13;154.9107;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;41.664;45.306;3.64200000000002;4;1;9;14;41.1483;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;133.8401;313.096;179.2559;4;1;9;15;-92.1761;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;290.013;283.494;-6.51900000000001;4;1;9;16;-156.1729;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;342.801;337.288;-5.51299999999998;4;1;9;17;-52.788;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;34.245;74.64;40.395;4;1;9;18;-51.444;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;210.926;211.368;0.44199999999995;5;1;9;1;-176.681;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;114.3101;283.091;168.7809;5;1;9;2;96.6159;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;14.287;22.153;7.86599999999999;5;1;9;3;100.0231;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;356.495;354.851;-1.64400000000001;5;1;9;4;17.792;Chetverikov & Jehee (2023);Experiment 1;Motion;1
2;257.596;261.525;3.92899999999997;5;1;9;5;98.899;Chetverikov & Jehee (2023);Experiment 1;Motion;1
