obs;theta;resp;error;rt;block;delta;trial;study;experiment;stimulus;expnum
1;17;9;-8;0.841889099916443;3;-42;61;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;26;32;6;1.62424469995312;3;-9;62;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;118;126;8;1.24158830009401;3;88;63;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;177;177;0;1.40822869981639;3;-59;64;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;77;67;-10;1.53311519999988;3;-80;65;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;98;96;-2;2.32475670007989;3;-21;66;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;73;66;-7;0.900584799936041;3;25;67;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;28;20;-8;1.33371019992046;3;45;68;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;71;45;-26;0.891901899827644;3;-43;69;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;8;16;8;1.61646499997005;3;63;70;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;176;179;3;0.975016199983656;3;12;71;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;145;140;-5;1.15879389992915;3;31;72;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;78;72;-6;0.583298800047487;3;67;73;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;172;162;-10;1.70854049990885;3;86;74;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;84;62;-22;1.9239006000571;3;88;75;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;158;157;-1;2.03262439998798;3;-74;76;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;17;22;5;2.12532140011899;3;-39;77;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;91;96;5;2.2917613000609;3;-74;78;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;174;9;15;1.14907839987427;3;-83;79;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;105;96;-9;1.99854119983502;3;69;80;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;175;159;-16;1.49981660000049;3;-70;81;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;174;174;0;1.1081831001211;3;1;82;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;87;97;10;1.55001460015774;3;87;83;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;159;84;-75;1.2832378000021;3;-72;84;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;151;165;14;1.04204600001685;3;8;85;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;2;8;6;0.958788600051776;3;-31;86;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;106;98;-8;2.25846670009196;3;76;87;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;145;158;13;1.30017880001105;3;-39;88;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;20;21;1;0.98366229981184;3;-55;89;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;6;19;13;1.38318150001578;3;14;90;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;69;69;0;1.71666030003689;4;-63;91;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;88;93;5;1.44158099987544;4;-19;92;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;41;25;-16;1.29129470000044;4;47;93;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;163;172;9;1.38375400006771;4;58;94;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;68;54;-14;1.3749346002005;4;-85;95;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;56;70;14;2.36705509992316;4;12;96;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;158;161;3;1.66717529995367;4;78;97;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;175;168;-7;1.71648219996132;4;-17;98;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
1;33;27;-6;1.0738799998071;4;-38;99;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
