obs;theta;resp;error;rt;block;delta;trial;study;experiment;stimulus;expnum
5;26;32;6;0.87542980001308;5;4;131;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;151;150;-1;1.18300459999591;5;55;132;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;119;125;6;0.900337100028992;5;32;133;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;147;135;-12;1.50021390011534;5;-28;134;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;63;60;-3;1.98356760013849;5;84;135;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;87;86;-1;1.43324479996227;5;-24;136;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;60;62;2;0.967122099827975;5;27;137;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;166;171;5;1.39201469998807;5;74;138;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;133;134;1;0.974942599888891;5;33;139;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;12;17;5;1.61534940009005;5;-59;140;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;104;113;9;1.34187850006856;5;88;141;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;166;156;-10;0.966004800051451;5;-62;142;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;39;45;6;1.32534780004062;5;-53;143;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;121;120;-1;0.93323910003528;5;-82;144;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;158;170;12;1.26532290014438;5;-37;145;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;12;20;8;1.07476849993691;5;-34;146;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;4;8;4;0.907442099880427;5;8;147;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;59;60;1;0.94153739977628;5;-55;148;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;2;4;2;0.958207299932837;5;57;149;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;17;18;1;1.33262740005739;5;-15;150;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;67;74;7;1.00867830007337;6;-50;151;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;158;160;2;0.892057699849829;6;89;152;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;116;129;13;2.17515740008093;6;42;153;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;167;159;-8;1.4656189000234;6;-51;154;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;51;45;-6;1.06577769992873;6;-64;155;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;24;32;8;1.18270560004748;6;27;156;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;149;145;-4;1.54063990013674;6;55;157;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;71;54;-17;1.89054660010152;6;78;158;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;131;127;-4;1.20033410005271;6;-60;159;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;116;108;-8;0.875197999877855;6;15;160;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;108;107;-1;1.42423340003006;6;8;161;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;97;106;9;1.78360800002702;6;11;162;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;120;115;-5;0.925347900018096;6;-23;163;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;49;53;4;1.44986669998616;6;71;164;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;131;130;-1;1.05022659990937;6;-82;165;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;19;27;8;1.09995539998636;6;-68;166;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;83;70;-13;1.28365919995122;6;-64;167;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;20;17;-3;1.46689820010215;6;63;168;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;142;146;4;1.21665240009315;6;58;169;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;82;71;-11;1.51557020004839;6;60;170;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;138;130;-8;0.95024050003849;6;-56;171;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;97;103;6;1.08365919999778;6;41;172;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;73;75;2;1.13288190006278;6;24;173;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;180;179;-1;1.17532090004534;6;73;174;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;173;173;0;1.07496419991367;6;7;175;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;63;65;2;1.20017490000464;6;-70;176;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;131;125;-6;1.44123989995569;6;-68;177;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;19;28;9;1.42392289987765;6;-68;178;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;32;32;0;0.808302199933678;6;-13;179;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;33;44;11;1.80113849998452;6;-1;180;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;13;17;4;1.14989860006608;7;20;181;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;53;57;4;1.88232490001246;7;-40;182;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;26;30;4;0.975356000009924;7;27;183;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;146;140;-6;1.52479310007766;7;60;184;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;95;104;9;1.25041540013626;7;51;185;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;162;166;4;1.47436240012757;7;-67;186;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;148;135;-13;0.983266799943522;7;14;187;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;108;124;16;1.17396500008181;7;40;188;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;68;55;-13;1.06658690003678;7;40;189;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;136;119;-17;1.18351850006729;7;-68;190;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;143;137;-6;1.60824090009555;7;-7;191;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;78;63;-15;1.42529129981995;7;65;192;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;124;111;-13;1.57450939994305;7;-46;193;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;175;178;3;1.01699539995752;7;-51;194;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;128;133;5;1.17446719994769;7;47;195;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;150;144;-6;1.07529819989577;7;-22;196;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;175;167;-8;1.30819600005634;7;-25;197;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;126;121;-5;1.00026130001061;7;49;198;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;12;8;-4;1.00822090008296;7;-66;199;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;114;112;-2;2.60806210013106;7;78;200;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;22;38;16;1.56685319985263;7;-88;201;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;129;123;-6;0.55027769994922;7;73;202;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;162;159;-3;1.17488730000332;7;-33;203;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;67;62;-5;1.2755183998961;7;-85;204;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;2;176;-6;1.17530030012131;7;65;205;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;115;109;-6;1.7821812001057;7;67;206;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;64;56;-8;0.941581000108272;7;51;207;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;47;46;-1;1.11648639990017;7;17;208;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;125;126;1;1.11643770011142;7;-78;209;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;26;30;4;1.35029640002176;7;-81;210;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;138;141;3;1.0253845998086;8;68;211;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;58;58;0;1.8404928999953;8;80;212;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;89;82;-7;1.24984969990328;8;-31;213;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;30;26;-4;0.966950499918312;8;59;214;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;37;49;12;1.23364760004915;8;-7;215;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;145;124;-21;1.17565039987676;8;72;216;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;162;150;-12;1.33367229998112;8;-17;217;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;175;167;-8;1.59983999980614;8;-13;218;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;33;33;0;1.45016979984939;8;-38;219;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;97;98;1;1.12535020010546;8;-64;220;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;148;149;1;1.35804129997268;8;-51;221;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;29;27;-2;1.54989319993183;8;-61;222;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;169;174;5;1.15861340006813;8;40;223;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;39;36;-3;1.03318700008094;8;-50;224;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;24;25;1;1.10830389987677;8;15;225;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;131;130;-1;1.10826610005461;8;73;226;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;105;118;13;1.25808669999242;8;26;227;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;111;119;8;0.8251340999268;8;-6;228;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;36;34;-2;1.02437480003573;8;75;229;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;92;90;-2;0.91709170001559;8;-56;230;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;13;17;4;1.00039130006917;8;79;231;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;120;123;3;1.54165909998119;8;73;232;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;7;15;8;1.50812660017982;8;-67;233;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;45;41;-4;1.04458660003729;8;-38;234;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;167;162;-5;1.14160750014707;8;58;235;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;17;28;11;1.40000409982167;8;-30;236;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;29;30;1;0.991879899986088;8;-12;237;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;129;128;-1;1.33369470015168;8;80;238;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;115;120;5;1.84019690006971;8;14;239;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;111;110;-1;1.09315059985965;8;4;240;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;176;4;8;1.39193299994804;9;-65;241;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;107;105;-2;0.675361900124699;9;69;242;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;60;48;-12;1.92530689993873;9;47;243;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;40;27;-13;1.20825799996965;9;20;244;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;121;124;3;1.52440680004656;9;-81;245;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;57;52;-5;1.35864440002479;9;64;246;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;178;174;-4;1.10742260003462;9;59;247;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;4;8;4;1.44045069999993;9;-6;248;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;161;158;-3;1.07485460001044;9;23;249;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;78;70;-8;1.32494570012204;9;83;250;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;70;65;-5;1.82482820004225;9;8;251;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;56;54;-2;0.600421299925074;9;14;252;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;83;78;-5;0.808069400023669;9;-27;253;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;4;30;26;1.14116880018264;9;79;254;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;86;74;-12;1.11646390007809;9;-82;255;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;89;89;0;1.64966519991867;9;-3;256;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;171;175;4;0.925198100041598;9;-82;257;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;161;153;-8;1.34093689988367;9;10;258;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;88;88;0;2.0242976997979;9;73;259;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;21;26;5;1.30027340003289;9;67;260;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;103;124;21;1.07526359986514;9;-82;261;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;63;67;4;1.1669626000803;9;40;262;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;24;32;8;1.14057090017013;9;39;263;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;95;101;6;1.07492800010368;9;-71;264;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;43;28;-15;1.0749212000519;9;52;265;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;176;164;-12;1.1835856998805;9;47;266;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;19;22;3;1.02515530004166;9;-23;267;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;169;164;-5;0.990772200049832;9;30;268;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;142;141;-1;1.06676750001498;9;27;269;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;44;38;-6;1.34990739985369;9;-82;270;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;150;157;7;1.09076950000599;10;74;271;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;6;13;7;0.483027799986303;10;-36;272;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;24;25;1;1.08326610014774;10;-18;273;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;156;162;6;1.22350570000708;10;48;274;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;172;177;5;1.04935159999877;10;-16;275;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;47;44;-3;1.37483340012841;10;-55;276;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;49;63;14;1.19903680006973;10;-2;277;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;6;6;0;0.915432800073177;10;43;278;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;121;118;-3;1.13357260008343;10;65;279;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;66;54;-12;1.21646149992011;10;55;280;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;76;71;-5;0.808739200001583;10;-10;281;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;171;164;-7;1.54998450004496;10;85;282;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;99;112;13;1.89982050005347;10;72;283;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;27;33;6;0.850308099994436;10;72;284;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;99;110;11;0.933347199810669;10;-72;285;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;93;101;8;1.14985859999433;10;6;286;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;164;164;0;0.558189400006086;10;-71;287;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;101;113;12;1.12488589994609;10;63;288;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;149;142;-7;1.34159970004112;10;-48;289;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;136;131;-5;1.2569921000395;10;13;290;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;69;58;-11;1.12535390001722;10;67;291;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;156;155;-1;1.62441799999215;10;-87;292;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;105;111;6;1.38354180008173;10;51;293;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;52;56;4;1.41654419992119;10;53;294;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;13;17;4;1.23364869994111;10;39;295;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;161;149;-12;1.16682499996386;10;32;296;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;20;17;-3;1.45881599979475;10;-39;297;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;143;143;0;1.68330090004019;10;57;298;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;148;141;-7;1.60857710009441;10;-5;299;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
5;176;155;-21;1.05819829995744;10;-28;300;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;70;57;-13;4.76562279998325;1;NaN;1;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;38;46;8;2.61677029985003;1;32;2;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;166;175;9;2.97362589999102;1;52;3;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;79;74;-5;3.95812400011346;1;87;4;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;110;128;18;6.5899712999817;1;-31;5;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;146;135;-11;4.62443019985221;1;-36;6;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;98;113;15;2.67424400011078;1;48;7;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;59;60;1;2.0407273999881;1;39;8;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;40;40;0;2.3831072000321;1;19;9;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;172;3;11;3.03207909991033;1;48;10;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;17;17;0;3.45741559984162;1;-25;11;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;33;19;-14;4.56576889986172;1;-16;12;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;112;116;4;2.90016399999149;1;-79;13;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;54;52;-2;2.22514689993113;1;58;14;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;92;84;-8;1.61555820005015;1;-38;15;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;172;156;-16;3.43177559995092;1;-80;16;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;47;43;-4;2.55018759984523;1;-55;17;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;179;0;1;5.00699340016581;1;48;18;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;44;54;10;2.11577569996007;1;-45;19;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;12;14;2;2.60709979990497;1;32;20;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;60;70;10;1.83344920002855;1;-48;21;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;137;136;-1;3.0483522999566;1;-77;22;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;59;54;-5;2.18226529983804;1;78;23;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;85;80;-5;2.75792500004172;1;-26;24;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;135;136;1;6.03194890008308;1;-50;25;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;139;141;2;4.64892329997383;1;-4;26;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;39;36;-3;2.80019249999896;1;-80;27;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;6;13;7;3.0819552000612;1;33;28;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;167;155;-12;3.37336440011859;1;19;29;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;164;149;-15;2.78326650010422;1;3;30;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;102;106;4;2.25850500003435;2;62;31;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;113;109;-4;1.33315389999188;2;-11;32;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;12;23;11;1.42535170004703;2;-79;33;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;159;165;6;4.04116659983993;2;33;34;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;64;62;-2;2.00716660008766;2;-85;35;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;142;143;1;3.99038590001874;2;-78;36;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;105;134;29;1.69920510007069;2;37;37;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;6;9;3;2.16640370013192;2;-81;38;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;160;167;7;2.6501513000112;2;26;39;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;25;30;5;1.82504649995826;2;-45;40;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;125;109;-16;1.97473219991662;2;80;41;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;82;66;-16;2.28312409995124;2;43;42;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;34;31;-3;1.61681960010901;2;48;43;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;7;6;-1;4.19167840015143;2;27;44;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;89;76;-13;2.25720290001482;2;-82;45;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;77;79;2;1.65001069987193;2;12;46;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;20;16;-4;1.67525770002976;2;57;47;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;90;91;1;5.58999500004575;2;-70;48;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;123;120;-3;4.69114509993233;2;-33;49;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;34;35;1;4.41536869993433;2;89;50;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;99;112;13;3.45005659991875;2;-65;51;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;157;132;-25;5.35789670003578;2;-58;52;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;143;135;-8;3.66534409997985;2;14;53;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;107;118;11;3.39969739993103;2;36;54;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;26;25;-1;9.22312249988317;2;81;55;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;55;52;-3;4.43320140009746;2;-29;56;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;50;54;4;5.94025209988467;2;5;57;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;96;90;-6;3.13996309996583;2;-46;58;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;59;51;-8;3.99029880017042;2;37;59;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;147;155;8;4.73324949992821;2;-88;60;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;71;68;-3;1.2503418000415;3;76;61;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;119;112;-7;8.18167069996707;3;-48;62;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;62;67;5;2.31694040005095;3;57;63;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;6;179;-7;1.64162230002694;3;56;64;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;152;146;-6;3.20804909989238;3;34;65;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;180;176;-4;3.50834080018103;3;-28;66;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;153;165;12;1.77518610004336;3;27;67;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;95;101;6;2.35853499989025;3;58;68;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;78;80;2;4.2165468998719;3;17;69;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;154;149;-5;2.62481900001876;3;-76;70;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;57;62;5;1.76494360016659;3;-83;71;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;149;136;-13;2.07336919987574;3;88;72;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;136;154;18;4.72359519987367;3;13;73;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;74;76;2;2.02527310000733;3;62;74;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;165;163;-2;3.2153991998639;3;89;75;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;37;46;9;1.30002429988235;3;-52;76;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;87;79;-8;2.29976650001481;3;-50;77;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;115;115;0;3.45832199999131;3;-28;78;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;113;111;-2;1.85833550011739;3;2;79;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;128;128;0;1.97485200013034;3;-15;80;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;54;47;-7;2.67420829995535;3;74;81;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;126;149;23;2.39130190014839;3;-72;82;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;178;175;-3;6.61472669988871;3;-52;83;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;168;173;5;3.54095489997417;3;10;84;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;153;155;2;1.81644279998727;3;15;85;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;98;122;24;2.76584980008192;3;55;86;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;97;103;6;1.75735979992896;3;1;87;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;117;132;15;2.49138440005481;3;-20;88;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;131;119;-12;1.83357749995776;3;-14;89;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;2;16;14;3.86665500001982;3;-51;90;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;49;55;6;2.10839870013297;4;-47;91;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;122;120;-2;3.23335430002771;4;-73;92;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;40;46;6;2.29094380000606;4;82;93;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;132;144;12;3.75666939979419;4;88;94;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;87;81;-6;1.66681679990143;4;45;95;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;123;124;1;1.98179619992152;4;-36;96;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;15;21;6;4.12455710000359;4;-72;97;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
6;171;166;-5;2.69914890010841;4;24;98;Ceylan & Pascucci (2023);Experiment 2;Orientation;1
