obs;age;delta;resp;error;errorc;rt;rtc;theta;block;stimtype;outliers;stimtype_bk;case;ntrials;study;experiment;stimulus;cond;expnum
1;28;25;154;-13;-9.91496598639456;1.90785770260391;1.90785770260391;167;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;64;121;18;21.0850340136054;1.02466218133486;1.02466218133486;103;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;84;22;3;6.08503401360544;1.20797748318319;1.20797748318319;19;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;50;114;-35;-31.9149659863946;1.54125577621335;1.54125577621335;149;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;66;46;-37;-33.9149659863946;1.55800483227677;1.55800483227677;83;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;79;177;-7;-3.91496598639456;1.54953929153135;1.54953929153135;4;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;63;111;-10;-6.91496598639456;1.02466610559759;1.02466610559759;121;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-80;12;-9;-5.91496598639456;1.51624916533956;1.51624916533956;21;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-55;66;-10;-6.91496598639456;1.16625622901256;1.16625622901256;76;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-60;120;-16;-12.9149659863946;0.999655268594779;0.999655268594779;136;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-83;43;4;7.08503401360544;1.62458327346303;1.62458327346303;39;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;8;42;11;14.0850340136054;1.71626130036793;1.71626130036793;31;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-3;33;-1;2.08503401360544;1.21632348484218;1.21632348484218;34;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;77;118;-19;-15.9149659863946;1.28294720598524;1.28294720598524;137;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;89;59;11;14.0850340136054;1.63288067463509;1.63288067463509;48;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-65;102;-11;-7.91496598639456;1.54124309782537;1.54124309782537;113;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;12;100;-1;2.08503401360544;1.20796148426507;1.20796148426507;101;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;43;60;2;5.08503401360544;2.38287312797547;2.38287312797547;58;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-46;119;15;18.0850340136054;1.39128433277256;1.39128433277256;104;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;67;38;1;4.08503401360544;1.74120874543132;1.74120874543132;37;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-9;47;1;4.08503401360544;1.59959477457232;1.59959477457232;46;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;63;151;-12;-8.91496598639456;0.833011141284715;0.833011141284715;163;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-17;179;-1;2.08503401360544;1.3246379716511;1.3246379716511;0;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-61;56;-5;-1.91496598639456;1.06631732676806;1.06631732676806;61;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;32;28;-1;2.08503401360544;1.99120572676748;1.99120572676748;29;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-42;69;-2;1.08503401360544;1.75792037006386;1.75792037006386;71;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;75;166;-10;-6.91496598639456;1.27463108909797;1.27463108909797;176;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;36;145;5;8.08503401360544;1.66621668451717;1.66621668451717;140;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-14;143;-11;-7.91496598639456;2.34949847919734;2.34949847919734;154;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;58;106;10;13.0850340136054;1.549600872273;1.549600872273;96;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-51;151;4;7.08503401360544;0.716410724225625;0.716410724225625;147;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;77;74;4;7.08503401360544;1.17463724717163;1.17463724717163;70;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;5;65;0;3.08503401360544;2.29950427503127;2.29950427503127;65;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-4;63;-6;-2.91496598639456;1.208010084752;1.208010084752;69;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-68;125;-12;-8.91496598639456;1.33297008745694;1.33297008745694;137;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-73;30;0;3.08503401360544;1.39962610830207;1.39962610830207;30;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-58;88;0;3.08503401360544;0.916367919573077;0.916367919573077;88;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-6;107;13;16.0850340136054;1.50791131407232;1.50791131407232;94;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;74;14;-6;-2.91496598639456;1.10801080923147;1.10801080923147;20;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-44;54;-10;-6.91496598639456;1.14128614397123;1.14128614397123;64;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;77;159;-8;-4.91496598639456;0.841421440482009;0.841421440482009;167;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-61;38;-10;-6.91496598639456;0.80801751066474;0.80801751066474;48;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;14;39;5;8.08503401360544;1.29965369888941;1.29965369888941;34;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-29;24;-39;NaN;1.21629088327336;NaN;63;2;2;1;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;28;26;-9;NaN;2.34117934364576;NaN;35;2;2;1;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;10;18;-7;-3.91496598639456;1.51627361651617;1.51627361651617;25;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;22;174;-9;-5.91496598639456;1.98286123444041;1.98286123444041;3;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;29;143;-11;-7.91496598639456;1.64961403364714;1.64961403364714;154;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;60;93;-1;2.08503401360544;2.22450979918676;2.22450979918676;94;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;43;49;-2;1.08503401360544;1.14966233226778;1.14966233226778;51;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;78;138;-15;-11.9149659863946;1.01629565276198;1.01629565276198;153;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;39;119;5;8.08503401360544;1.3912284874923;1.3912284874923;114;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;60;66;12;15.0850340136054;2.14933873150949;2.14933873150949;54;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;63;149;-22;-18.9149659863946;1.39965388000928;1.39965388000928;171;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;51;117;-3;0.0850340136054424;1.02469810343382;1.02469810343382;120;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-2;120;-2;1.08503401360544;1.50786875091308;1.50786875091308;122;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-25;142;-5;-1.91496598639456;2.27453056759305;2.27453056759305;147;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;26;127;6;9.08503401360544;2.60779769156716;2.60779769156716;121;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-85;18;-8;-4.91496598639456;1.29967211273879;1.29967211273879;26;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;5;22;1;4.08503401360544;1.66622906103885;1.66622906103885;21;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-47;53;-15;-11.9149659863946;1.81620201381065;1.81620201381065;68;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;24;41;-3;0.0850340136054424;3.90757153327604;3.90757153327604;44;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-7;47;-4;-0.914965986394558;2.0245248321321;2.0245248321321;51;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-78;123;-6;-2.91496598639456;1.57461291674144;1.57461291674144;129;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-19;126;-22;-18.9149659863946;1.43295185472743;1.43295185472743;148;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;84;63;-1;2.08503401360544;2.63273034517806;2.63273034517806;64;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-49;109;-4;-0.914965986394558;2.16621276025398;2.16621276025398;113;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;13;102;2;5.08503401360544;1.257960216426;1.257960216426;100;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-55;143;-12;-8.91496598639456;1.10801594095983;1.10801594095983;155;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-29;9;5;8.08503401360544;1.39964754081575;1.39964754081575;4;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;52;131;-1;2.08503401360544;2.06625061429804;2.06625061429804;132;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-37;154;-15;-11.9149659863946;1.33302019727535;1.33302019727535;169;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-37;10;-16;-12.9149659863946;1.72458768071238;1.72458768071238;26;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-60;99;13;16.0850340136054;1.59958300178323;1.59958300178323;86;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-32;123;5;8.08503401360544;1.52457946994673;1.52457946994673;118;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-11;126;-3;0.0850340136054424;2.13287795783754;2.13287795783754;129;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-62;14;3;6.08503401360544;1.89118622619935;1.89118622619935;11;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;24;156;-11;-7.91496598639456;1.73291074052668;1.73291074052668;167;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-14;1;0;3.08503401360544;2.64113460704857;2.64113460704857;1;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-48;35;-14;-10.9149659863946;1.28297407209311;1.28297407209311;49;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;23;28;2;5.08503401360544;1.06639128403094;1.06639128403094;26;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;89;117;0;3.08503401360544;1.25800579824954;1.25800579824954;117;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;37;79;-1;2.08503401360544;2.15781061144844;2.15781061144844;80;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;32;57;9;12.0850340136054;1.14131844367375;1.14131844367375;48;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;47;0;-1;2.08503401360544;2.95769433251917;2.95769433251917;1;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-70;74;3;6.08503401360544;1.09130280699537;1.09130280699537;71;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-83;136;-18;-14.9149659863946;1.87461828996311;1.87461828996311;154;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;46;109;1;4.08503401360544;1.74957195347406;1.74957195347406;108;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-87;5;-10;-6.91496598639456;1.81621227726782;1.81621227726782;15;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;1;16;2;5.08503401360544;1.33296646506005;1.33296646506005;14;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-36;27;-23;-19.9149659863946;1.89123452481999;1.89123452481999;50;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;15;21;-14;-10.9149659863946;1.60795707701573;1.60795707701573;35;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;39;161;-15;-11.9149659863946;1.38292384152737;1.38292384152737;176;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;4;142;-30;-26.9149659863946;1.05796800457892;1.05796800457892;172;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-44;18;-18;-14.9149659863946;2.15784140181904;2.15784140181904;36;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;88;127;-1;2.08503401360544;1.42463483224083;1.42463483224083;128;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-46;164;-10;-6.91496598639456;1.15796577076753;1.15796577076753;174;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-89;79;-4;-0.914965986394558;1.39955698090171;1.39955698090171;83;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;33;48;-2;1.08503401360544;1.34130190139604;1.34130190139604;50;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-55;113;8;11.0850340136054;1.74957799080175;1.74957799080175;105;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-66;158;-13;-9.91496598639456;1.61620014223945;1.61620014223945;171;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-65;33;-23;-19.9149659863946;1.49128994748753;1.49128994748753;56;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;85;158;7;10.0850340136054;1.8579081746625;1.8579081746625;151;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-87;37;-21;-17.9149659863946;0.932982041365449;0.932982041365449;58;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;6;45;-7;-3.91496598639456;1.73288508188398;1.73288508188398;52;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-15;71;4;7.08503401360544;1.7496063662411;1.7496063662411;67;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-18;77;-8;-4.91496598639456;1.25801002437856;1.25801002437856;85;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;34;52;1;4.08503401360544;2.34119534256388;2.34119534256388;51;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;61;158;-12;-8.91496598639456;2.07453956321115;2.07453956321115;170;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-51;24;-17;-13.9149659863946;1.63292987885461;1.63292987885461;41;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;31;14;4;7.08503401360544;3.59095354759438;3.59095354759438;10;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-40;55;5;8.08503401360544;2.14951381400942;2.14951381400942;50;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;5;44;-1;2.08503401360544;2.00788384423231;2.00788384423231;45;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-27;100;28;31.0850340136054;2.09117240071919;2.09117240071919;72;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-64;124;-12;-8.91496598639456;1.70791348751072;1.70791348751072;136;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-34;150;-20;-16.9149659863946;3.14932665685365;3.14932665685365;170;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-19;15;6;9.08503401360544;1.69120005167952;1.69120005167952;9;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;56;137;4;7.08503401360544;0.883014099574666;0.883014099574666;133;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-88;43;2;5.08503401360544;1.7495556526892;1.7495556526892;41;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;70;143;-8;-4.91496598639456;0.832976728517224;0.832976728517224;151;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;57;104;10;13.0850340136054;1.4496031060844;1.4496031060844;94;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-86;4;4;7.08503401360544;1.38296580095403;1.38296580095403;0;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-43;30;-13;-9.91496598639456;1.34130854245632;1.34130854245632;43;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;72;155;4;7.08503401360544;1.65792894306924;1.65792894306924;151;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;84;74;7;10.0850340136054;1.21630627845843;1.21630627845843;67;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;83;150;-14;-10.9149659863946;1.44963661325255;1.44963661325255;164;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;7;147;-10;-6.91496598639456;1.49963142115075;1.49963142115075;157;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-28;20;15;18.0850340136054;1.47462058414749;1.47462058414749;5;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;23;156;-6;-2.91496598639456;1.69954816640302;1.69954816640302;162;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;62;112;12;15.0850340136054;2.21615957139784;2.21615957139784;100;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;31;70;1;4.08503401360544;1.34962465934359;1.34962465934359;69;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;71;178;0;3.08503401360544;0.958039667657431;0.958039667657431;178;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-75;70;-3;0.0850340136054424;1.37476771382126;1.37476771382126;73;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
1;28;-9;76;-6;-2.91496598639456;1.71624892384671;1.71624892384671;82;2;2;0;2;NaN;588;Ceylan et al. (2021);Experiment 1;Orientation;1;1
