delta;theta;resp;error;rt;obs;block;cond;study;experiment;stimulus;expnum
59;160;173;13;2.29150867462158;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
48;170;171;0.999999999999989;2.84200549125671;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
41;150;163.5;13.5;4.67462348937988;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-64;61;61.5;0.500000000000008;3.7828516960144;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-82;158;147;-11;7.10818767547607;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
30;106;148.5;42.5;3.09983849525452;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
80;178;135;-43;5.68307948112488;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-39;121;112.5;-8.5;3.16619443893433;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-49;51;48.5;-2.50000000000001;2.44123363494873;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-75;63;52.5;-10.5;2.17467856407166;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
19;64;33.5;-30.5;2.48321413993835;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
42;29;45.5;16.5;1.94130277633667;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
2;150;152.5;2.5;3.48303151130676;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-73;28;35.5;7.5;2.26653790473938;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-41;151;163;12;3.16635227203369;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-7;38;37.5;-0.5;3.24136972427368;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-1;167;160;-7;3.40801239013672;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
20;70;52.5;-17.5;2.94138073921204;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-16;24;36;12;2.04970502853394;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-22;133;129;-4;4.44985151290894;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-2;172;159.5;-12.5;2.44147944450378;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
10;42;39.5;-2.5;1.73323798179626;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
43;172;22;30;4.22456765174866;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
22;74;66;-8;3.39151382446289;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-50;144;146;2;2.08302545547485;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-78;74;65;-9.00000000000001;3.18315768241882;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-1;37;28.5;-8.5;2.14178776741028;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
60;26;34;8.00000000000001;3.18326759338379;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-26;172;148;-24;2.19220662117004;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-65;4;16;12;1.7829282283783;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-41;5;16.5;11.5;3.00781536102295;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-47;146;130.5;-15.5;3.27488327026367;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-79;134;141.5;7.49999999999999;2.12483978271484;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
18;131;125;-5.99999999999998;3.32480764389038;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-67;39;49;10;2.44962573051453;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-71;93;46;-47;2.61654257774353;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-88;74;58;-16;2.94975829124451;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-38;38;38.5;0.499999999999998;2.09147953987122;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
51;24;35;11;2.21639060974121;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
24;51;29;-22;6.01649904251099;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
76;36;39;3;1.56619334220886;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-33;41;47;6;1.41647553443909;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-77;21;176.5;-24.5;1.74967241287231;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-53;176;145.5;-30.5;2.28319048881531;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-7;112;131.5;19.5;1.4829318523407;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
4;170;165;-5.00000000000002;2.24973130226135;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-70;111;107;-4;1.87460851669312;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-48;16;15.5;-0.5;2.08318877220154;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
80;159;148.5;-10.5;1.99985694885254;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
26;160;157;-2.99999999999999;2.68307733535767;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
0;16;23.5;7.5;2.19972348213196;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-36;167;149;-18;2.08311796188354;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
76;99;138.5;39.5;1.86632561683655;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
29;9;32.5;23.5;2.14129376411438;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-19;37;42;5;2.19128847122192;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
82;134;2.5;48.5;2.36657571792603;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
62;49;60;11;1.54131293296814;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
16;30;56;26;2.774822473526;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-65;122;128;6.00000000000001;3.8748574256897;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-36;100;116;16;2.31655955314636;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
72;75;58;-17;2.44952893257141;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-68;4;151.5;-32.5;2.63307881355286;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
14;142;142;0;1.85813045501709;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-85;80;56;-24;1.57481646537781;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-54;134;121;-13;1.7664155960083;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-32;48;51.5;3.5;2.27477645874023;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-33;177;165;-12;2.61652660369873;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-10;30;30;-2.75444115227293e-15;2.15800452232361;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-21;109;110;1;3.67488169670105;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
37;151;143;-7.99999999999998;1.53314828872681;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-1;155;157;2;3.21167373657227;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-62;71;39.5;-31.5;2.7577965259552;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
85;28;25;-3;2.08319664001465;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-33;9;28.5;19.5;2.15797972679138;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-75;173;142.5;-30.5;1.47483921051025;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-19;108;121;13;2.4998254776001;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-82;129;147;18;2.24154448509216;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-61;29;44.5;15.5;1.63301277160645;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
14;109;130;21;1.88308668136597;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-70;179;167.5;-11.5;1.88320183753967;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-5;88;88.5;0.500000000000007;2.10814523696899;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
46;166;160;-6.00000000000001;2.13309669494629;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
20;158;145;-13;2.18300676345825;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-60;117;134;17;3.78314733505249;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
77;30;40.5;10.5;2.14974999427795;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
68;153;154.5;1.50000000000001;1.95803737640381;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
87;59;35;-24;2.44977450370789;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-62;78;32;-46;2.10820245742798;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
62;125;133.5;8.49999999999998;2.14152455329895;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
64;54;131.5;77.5;2.54985475540161;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
25;167;159.5;-7.49999999999999;1.78306818008423;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-27;142;124;-18;1.54152345657349;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-27;161;142.5;-18.5;2.14128756523132;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
80;18;27.5;9.5;1.99141001701355;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
3;85;82;-3;1.74145340919495;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
24;47;56;9;2.9161536693573;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
30;174;148.5;-25.5;2.824711561203;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
90;0;39.5;39.5;2.4163806438446;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-87;75;137;62;2.83296060562134;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-69;39;31;-8;2.12484884262085;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
13;77;86.5;9.49999999999999;2.64955449104309;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-34;44;39.5;-4.5;1.44980359077454;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-44;78;58;-20;2.44124388694763;1;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
55;45;41;-3.99999999999999;3.03715562820435;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
-61;131;129.5;-1.49999999999998;2.20000648498535;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
7;168;160;-8.00000000000001;2.00866222381592;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
27;83;73.5;-9.50000000000001;3.27486157417297;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
66;20;31;11;2.81652665138245;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
-31;0;169;-11;1.77478337287903;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
-10;147;160.5;13.5;2.38321733474731;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
-19;137;150;13;1.73321223258972;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
-21;122;127.5;5.50000000000001;1.69154238700867;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
60;6;20;14;2.04982447624207;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
4;137;130.5;-6.5;2.29987764358521;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
58;92;109;17;2.3246636390686;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
-38;41;42.5;1.5;1.36655235290527;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
39;146;145;-0.999999999999983;1.52478647232056;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
-50;45;28;-17;1.82475566864014;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
3;140;140.5;0.500000000000017;1.49139761924744;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
-7;13;21.5;8.5;1.78300285339355;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
1;159;157;-2;1.5332043170929;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
50;147;150.5;3.50000000000001;1.84151792526245;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
35;78;124.5;46.5;2.86619663238525;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
81;62;47.5;-14.5;2.18304848670959;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
17;85;72;-13;2.15819382667542;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
-35;23;32.5;9.5;1.84146904945374;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
-74;7;30;23;2.16650056838989;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
50;173;175.5;2.5;2.00820970535278;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
-64;43;48.5;5.5;1.50776147842407;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
60;122;129;7;2.23301649093628;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
50;12;23.5;11.5;1.91626048088074;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
-39;79;54;-25;1.89980959892273;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
-4;37;51;14;1.19155073165894;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
-3;21;27;6;1.64148855209351;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
-39;42;55;13;2.23300552368164;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
-64;0;140.5;-39.5;2.03319668769836;1;4;1;Abreo et al. (2023);Experiment 1;Orientation;1
33;157;162.5;5.49999999999999;1.72501111030579;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
-6;57;50;-7;1.74164342880249;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
-16;27;28.5;1.50000000000001;1.81655836105347;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
-4;53;59;6.00000000000001;2.44987630844116;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
-35;53;55.5;2.5;2.40815305709839;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
-16;8;9.5;1.5;2.12486052513123;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
45;54;33.5;-20.5;2.24987244606018;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
-53;18;31;13;2.0412266254425;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
38;112;124.5;12.5;2.28321886062622;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
-44;42;28.5;-13.5;1.77483129501343;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
30;174;159.5;-14.5;1.60816550254822;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
32;159;163.5;4.5;1.69952344894409;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
84;145;147;1.99999999999997;1.97482109069824;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
36;11;30;19;1.84977269172668;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
-88;85;74;-11;1.69138669967651;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
-59;82;74.5;-7.50000000000001;2.11633253097534;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
-82;92;40.5;-51.5;1.23287892341614;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
71;72;40.5;-31.5;1.52476787567139;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
22;54;43;-11;1.82483100891113;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
12;170;167;-3.00000000000002;2.34971189498901;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
26;12;37.5;25.5;1.64143228530884;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
-19;14;27;13;1.61652541160583;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
-24;125;114.5;-10.5;1.65815281867981;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
0;12;30.5;18.5;1.83312273025513;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
85;141;141.5;0.499999999999992;1.73320484161377;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
24;104;122;18;1.65792965888977;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
50;76;113.5;37.5;4.0913348197937;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
-68;82;60;-22;1.49955582618713;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
-14;6;25;19;1.54154372215271;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
-80;168;153;-15;2.08316445350647;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
46;130;138;7.99999999999999;1.54137349128723;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
12;18;24;6;1.71653079986572;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
69;155;156.5;1.50000000000001;1.59986066818237;1;5;1;Abreo et al. (2023);Experiment 1;Orientation;1
-34;111;123;12;2.13357067108154;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
-2;61;52.5;-8.49999999999999;1.52470779418945;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
73;57;63;6;1.94989252090454;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
86;178;155.5;-22.5;1.55823493003845;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
87;167;25;38;1.75819158554077;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
-71;43;28;-15;1.7830765247345;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
10;22;32.5;10.5;1.93297076225281;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
-66;18;12.5;-5.5;1.5585036277771;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
-79;150;136.5;-13.5;1.61625266075134;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
-40;39;37.5;-1.49999999999999;1.79981088638306;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
-79;131;123;-7.99999999999999;2.60807991027832;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
69;138;141.5;3.50000000000001;2.46649074554443;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
-33;160;152.5;-7.49999999999999;2.13321447372437;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
81;126;119;-7;1.89154505729675;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
-12;121;35;-86;2.43288564682007;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
42;70;120;50;2.408207654953;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
69;28;41.5;13.5;1.8748836517334;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
-27;171;159.5;-11.5;1.82479071617126;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
61;126;125.5;-0.499999999999994;2.1078679561615;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
-26;57;51;-6;2.03298377990723;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
-35;28;32;4;1.66654658317566;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
78;28;32;4;1.82481932640076;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
-29;20;31.5;11.5;1.87478852272034;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
39;102;127;25;1.86638259887695;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
-4;147;144;-3;1.9078950881958;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
-81;13;35;22;1.50799584388733;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
-1;88;82;-5.99999999999999;2.19153070449829;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
63;141;133;-8.00000000000001;1.74154758453369;1;6;1;Abreo et al. (2023);Experiment 1;Orientation;1
-1;12;25;13;3.15809631347656;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
33;62;73.5;11.5;6.09848046302795;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-65;161;145.5;-15.5;1.42822670936584;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
11;163;152.5;-10.5;2.43803548812866;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-84;139;147;7.99999999999999;3.08781886100769;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
14;137;146;9;3.86801600456238;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
83;84;89;5;2.56808662414551;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-32;176;174.5;-1.49999999999998;3.35800743103027;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-68;34;43;8.99999999999999;3.54810738563538;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-42;27;30;3;2.31816387176514;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
20;70;69;-0.999999999999997;6.77802395820618;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
75;177;1;4.00000000000001;3.02814269065857;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-17;17;20;3;2.28809285163879;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
88;95;91.5;-3.50000000000001;5.8380389213562;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-82;126;128;2.00000000000001;1.99808764457703;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
54;40;56;16;2.71814274787903;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-66;20;16;-4;2.03798151016235;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
69;47;44.5;-2.5;3.60812592506409;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
84;115;119.5;4.5;2.41781330108643;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
60;97;92.5;-4.5;2.5379536151886;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-79;4;180;-4.00000000000001;4.89806127548218;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-15;16;19;3;4.30810379981995;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
15;72;64.5;-7.50000000000001;5.55773043632507;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-53;149;150.5;1.50000000000001;1.76813960075378;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-60;19;25;6;2.908123254776;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-69;55;50.5;-4.5;3.70808529853821;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-37;75;50;-25;2.61811685562134;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
38;163;170.5;7.49999999999999;1.64787840843201;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
-12;7;18;11;2.62816429138184;2;1;1;Abreo et al. (2023);Experiment 1;Orientation;1
78;150;152;2;1.64852023124695;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
87;45;42;-2.99999999999999;4.52804446220398;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
53;41;58.5;17.5;2.63814568519592;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
40;90;91;1;8.54767274856567;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-60;141;139;-2.00000000000001;2.66814541816711;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
78;54;59;5.00000000000001;6.34799456596375;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-60;16;20.5;4.5;2.55813121795654;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
65;79;78.5;-0.499999999999995;8.02763223648071;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
48;155;159.5;4.5;2.40805149078369;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-48;68;57;-11;4.06801843643188;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
33;113;121;8;2.2381603717804;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-43;69;61.5;-7.5;4.88802886009216;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-12;5;173.5;-11.5;3.95772671699524;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
19;155;157.5;2.5;3.5081524848938;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
69;69;69;-0;6.3378221988678;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-77;38;52.5;14.5;3.67809295654297;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
51;173;174;0.999999999999989;2.12816047668457;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
61;42;44;2;3.28808069229126;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-23;96;93;-3;7.11793160438538;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-71;77;57.5;-19.5;4.2380576133728;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
83;129;145;16;2.50797486305237;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
90;36;37;1;2.47814631462097;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-28;179;173;-6.00000000000001;2.23809266090393;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
89;7;12.5;5.5;2.79813361167908;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-41;158;151;-6.99999999999999;2.10780620574951;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-67;140;133;-7;1.77816915512085;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
74;127;148;21;4.93790674209595;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-6;131;133.5;2.5;3.68811106681824;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
86;35;48.5;13.5;7.08775949478149;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-61;81;67.5;-13.5;3.44809412956238;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-47;17;15;-2;6.36803483963013;2;2;1;Abreo et al. (2023);Experiment 1;Orientation;1
-75;162;150;-12;1.82157444953918;2;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
84;164;160;-4.00000000000001;2.58832478523254;2;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-34;95;95.5;0.499999999999994;2.54824686050415;2;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
17;75;72.5;-2.5;2.59830355644226;2;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-21;3;178;-4.99999999999999;5.04778790473938;2;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-43;22;15.5;-6.5;3.09802412986755;2;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
40;126;127.5;1.50000000000001;2.66796255111694;2;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
24;36;41.5;5.50000000000001;3.67779874801636;2;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-88;141;149;7.99999999999999;2.38811659812927;2;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
73;102;102;-0;3.21814322471619;2;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-87;118;121;2.99999999999999;4.00812387466431;2;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-68;144;144;0;2.71803617477417;2;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
66;113;136.5;23.5;5.50807070732117;2;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-10;135;136.5;1.50000000000001;2.05817127227783;2;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
-48;23;14;-9;5.60805726051331;2;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
0;11;6;-5;4.2881007194519;2;3;1;Abreo et al. (2023);Experiment 1;Orientation;1
