obs;theta;resp;error;delta;block;rt;cond;study;experiment;stimulus;expnum
1;120;136.857142857143;16.8571428571429;15;1;2.55001059156803;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;30;31.5714285714286;1.57142857142857;90;1;3.70006674256092;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;36;-9;-15;1;2.43334026133016;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;71.7142857142857;-3.28571428571429;-30;1;1.69995298655158;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;95.5714285714286;-39.4285714285714;-60;1;5.70016196688994;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;177.571428571429;-2.42857142857144;-45;1;3.10004627218132;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;95.1428571428571;5.14285714285714;-90;1;1.80004658579401;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;178.285714285714;-1.71428571428572;90;1;2.40004624367066;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;147.714285714286;-17.2857142857143;15;1;3.36664075082444;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;3.57142857142857;3.57142857142857;-15;1;2.9500400141751;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;15.7142857142857;0.714285714285708;-15;1;3.40005935839872;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;120;107;-13;75;1;2.80012669967618;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;30;18.7142857142857;-11.2857142857143;90;1;3.43339243514038;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;14;14;30;1;1.23328962707728;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;143.714285714286;-21.2857142857143;NaN;2;4.23342704661627;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;150;141.428571428571;-8.57142857142856;15;2;2.93336492272101;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;70.2857142857143;-19.7142857142857;60;2;5.25014775451564;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;86.5714285714286;-3.42857142857143;0;2;1.84998918034944;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;149.714285714286;-15.2857142857143;-75;2;3.95009389860206;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;162;27;30;2;1.14992414840526;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;138.571428571429;-26.4285714285714;-30;2;2.03333906389889;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;25;10;-30;2;2.03334704677764;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;120;140.857142857143;20.8571428571429;75;2;6.28353927732678;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;150;138.428571428571;-11.5714285714286;-30;2;4.05009141820665;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;105;130.428571428571;25.4285714285714;45;2;6.16686951729571;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;32.8571428571429;-27.1428571428571;45;2;1.88331684013792;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;38.7142857142857;-21.2857142857143;0;2;2.63335867897149;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;149.142857142857;14.1428571428571;-75;2;2.13333914942996;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;138;-27;-30;2;3.96676015186858;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;36.2857142857143;21.2857142857143;-30;2;4.16674777840853;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;90;89.4285714285714;-0.571428571428569;-75;2;3.40006648596864;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;45;46.1428571428571;1.14285714285714;45;2;1.8333081017372;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;140.285714285714;-24.7142857142857;60;2;1.96665694466174;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;150;139.285714285714;-10.7142857142857;15;2;2.13333601329941;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;92.7142857142857;17.7142857142857;75;2;2.85007100484836;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;0;146.571428571429;-33.4285714285714;75;2;2.65005173190002;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;150;138.428571428571;-11.5714285714286;30;2;1.49996222388108;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;105;104.285714285714;-0.714285714285722;45;2;2.11666177715415;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;34.2857142857143;-25.7142857142857;45;2;2.50002836772728;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;150;140.142857142857;-9.85714285714286;-90;2;1.98333431693754;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;60;36;-24;90;2;1.24996899507096;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;38.7142857142857;-36.2857142857143;-15;2;3.23341136596537;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;150;133.857142857143;-16.1428571428571;-75;2;2.63345989045774;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;75;53.7142857142857;-21.2857142857143;75;2;1.79998015684578;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;135;0;-60;2;3.01670616765659;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;150;147.428571428571;-2.57142857142856;-15;2;2.14997404139103;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;15;18.7142857142857;3.71428571428572;-45;2;4.66679952456252;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;155.571428571429;-9.42857142857144;30;2;4.26677038705748;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;165;151.285714285714;-13.7142857142857;0;2;3.53339280577347;1;Cicchini et al. (2018);Experiment 2;Orientation;1
1;135;145;10;30;2;1.09994306497538;1;Cicchini et al. (2018);Experiment 2;Orientation;1
