obs;theta;resp;error;rt;block;delta;trial;cond;study;experiment;stimulus;expnum
1;23;107.2109375;84.2109375;9;1;NaN;1;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;151;129.640625;-21.359375;9;1;52;2;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;4;173.015625;-10.984375;9;1;-33;3;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;153;142.5859375;-10.4140625;9;1;31;4;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;115;119.609375;4.609375;9;1;38;5;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;86;63.8359375;-22.1640625;9;1;29;6;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;107;120;13;9;1;-21;7;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;90;92.46875;2.46875;9;1;17;8;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;118;121.9375;3.9375;9;1;-28;9;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;90;78.9140625;-11.0859375;9;1;28;10;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;167;133.921875;-33.078125;9;1;-77;11;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;39;122.6796875;83.6796875;9;1;-52;12;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;12;148.546875;-43.453125;9;1;27;13;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;56;57.2265625;1.2265625;9;1;-44;14;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;92;106.5859375;14.5859375;9;1;-36;15;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;32;82.6015625;50.6015625;9;1;60;16;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;109;119.5078125;10.5078125;9;1;-77;17;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;26;45.3125;19.3125;9;1;83;18;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;99;97.390625;-1.609375;9;1;-73;19;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;97;101.0625;4.0625;9;1;2;20;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;81;86.1875;5.1875;9;1;16;21;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;35;45.90625;10.90625;9;1;46;22;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;163;92.15625;-70.84375;9;1;52;23;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;59;59.5390625;0.5390625;9;1;-76;24;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;24;25.40625;1.40625;9;1;35;25;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;176;5.296875;9.296875;9;1;28;26;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;1;42.0234375;41.0234375;9;1;-5;27;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;179;167.2265625;-11.7734375;9;1;2;28;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;146;150.6328125;4.6328125;9;1;33;29;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;166;138;-28;9;1;-20;30;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;67;52.9296875;-14.0703125;9;1;-81;31;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;88;73.59375;-14.40625;9;1;-21;32;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;106;117.5703125;11.5703125;9;1;-18;33;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;65;66.25;1.25;9;1;41;34;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;126;134.0390625;8.0390625;9;1;-61;35;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;128;123.125;-4.875;9;1;-2;36;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;78;67.625;-10.375;9;1;50;37;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;73;70;-3;9;1;5;38;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;65;47.671875;-17.328125;9;1;8;39;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;39;50.3984375;11.3984375;9;1;26;40;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;142;139.296875;-2.703125;9;1;77;41;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;107;119.7265625;12.7265625;9;1;35;42;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;138;125.078125;-12.921875;9;1;-31;43;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;45;93.390625;48.390625;9;1;-87;44;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;47;51.1953125;4.1953125;9;1;-2;45;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;58;53.5234375;-4.4765625;9;1;-11;46;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;167;142.6328125;-24.3671875;9;1;71;47;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;26;39.140625;13.140625;9;1;-39;48;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;25;34.53125;9.53125;9;1;1;49;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;82;81.703125;-0.296875;9;1;-57;50;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;14;32.3515625;18.3515625;9;1;68;51;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;151;140.734375;-10.265625;9;1;43;52;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;13;20.9609375;7.9609375;9;1;-42;53;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;154;142.21875;-11.78125;9;1;39;54;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;93;93.1640625;0.1640625;9;1;61;55;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;45;40;-5;9;1;48;56;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;128;131.140625;3.140625;9;1;-83;57;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;111;93.5546875;-17.4453125;9;1;17;58;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;111;135.5546875;24.5546875;9;1;0;59;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;6;91.8046875;85.8046875;9;1;-75;60;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;6;91.8046875;85.8046875;9;1;0;61;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;65;94.796875;29.796875;9;2;-59;251;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;84;90.6171875;6.6171875;9;2;-19;252;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;103;125.40625;22.40625;9;2;-19;253;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;43;42.9609375;-0.0390625;9;2;60;254;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;69;58.6328125;-10.3671875;9;2;-26;255;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;22;48.1171875;26.1171875;9;2;47;256;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;93;80.8828125;-12.1171875;9;2;-71;257;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;7;47.2578125;40.2578125;9;2;86;258;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;108;103.1640625;-4.8359375;9;2;79;259;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;5;172.5;-12.5;9;2;-77;260;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;43;50.234375;7.234375;9;2;-38;261;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;13;123.03125;-69.96875;9;2;30;262;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;163;167.7578125;4.7578125;9;2;30;263;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;125;130.796875;5.796875;9;2;38;264;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;20;36.84375;16.84375;9;2;-75;265;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;115;127.7421875;12.7421875;9;2;85;266;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;170;155.1640625;-14.8359375;9;2;-55;267;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;105;117.65625;12.65625;9;2;65;268;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;120;129.7734375;9.7734375;9;2;-15;269;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;24;171.015625;-32.984375;9;2;-84;270;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;0;34.0234375;34.0234375;9;2;24;271;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;75;71.296875;-3.703125;9;2;-75;272;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;3;169.875;-13.125;9;2;72;273;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;133;128.9921875;-4.0078125;9;2;50;274;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;1;28.5;27.5;9;2;-48;275;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;3;13.140625;10.140625;9;2;-2;276;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;89;68.0859375;-20.9140625;9;2;-86;277;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;90;83.703125;-6.296875;9;2;-1;278;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;76;67.1640625;-8.8359375;9;2;14;279;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;147;134.453125;-12.546875;9;2;-71;280;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;129;121.140625;-7.859375;9;2;18;281;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;37;46.5859375;9.5859375;9;2;-88;282;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;103;131.2109375;28.2109375;9;2;-66;283;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;78;65.2734375;-12.7265625;9;2;25;284;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;129;136.5625;7.5625;9;2;-51;285;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;125;123.2109375;-1.7890625;9;2;4;286;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;3;80.8828125;77.8828125;9;2;-58;287;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;149;138.28125;-10.71875;9;2;34;288;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;72;50.8125;-21.1875;9;2;77;289;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;100;100.6796875;0.6796875;9;2;-28;290;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;164;148;-16;9;2;-64;291;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;170;127.421875;-42.578125;9;2;-6;292;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;130;130.171875;0.171875;9;2;40;293;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;175;128.9609375;-46.0390625;9;2;-45;294;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;172;52.6015625;60.6015625;9;2;3;295;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;170;145.96875;-24.03125;9;2;2;296;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;56;41.7578125;-14.2421875;9;2;-66;297;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;162;149.4609375;-12.5390625;9;2;74;298;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;42;40.796875;-1.203125;9;2;-60;299;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;2;138.6171875;-43.3828125;9;2;40;300;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;86;96.25;10.25;9;2;-84;301;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;40;52.8671875;12.8671875;9;2;46;302;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;114;120.3203125;6.3203125;9;2;-74;303;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;177;51.625;54.625;9;2;-63;304;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;26;56.0859375;30.0859375;9;2;-29;305;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;147;160.796875;13.796875;9;2;59;306;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;166;131.421875;-34.578125;9;2;-19;307;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;52;46.6953125;-5.3046875;9;2;-66;308;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;175;172.28125;-2.71875;9;2;57;309;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;144;132.7109375;-11.2890625;9;2;31;310;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;144;132.7109375;-11.2890625;9;2;0;311;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;49;53.59375;4.59375;9;3;-85;501;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;138;132.6484375;-5.3515625;9;3;-89;502;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;49;51.921875;2.921875;9;3;89;503;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;77;65.7890625;-11.2109375;9;3;-28;504;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;97;82.3515625;-14.6484375;9;3;-20;505;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;112;127.2421875;15.2421875;9;3;-15;506;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;27;170.0234375;-36.9765625;9;3;85;507;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;151;134.25;-16.75;9;3;56;508;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;58;59.09375;1.09375;9;3;-87;509;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;109;107.2578125;-1.7421875;9;3;-51;510;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;144;138.265625;-5.734375;9;3;-35;511;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;90;114.0546875;24.0546875;9;3;54;512;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;95;102;7;9;3;-5;513;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;62;63.390625;1.390625;9;3;33;514;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;33;8.3671875;-24.6328125;9;3;29;515;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;101;102.0390625;1.0390625;9;3;-68;516;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;20;127.921875;-72.078125;9;3;81;517;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;131;131.90625;0.90625;9;3;69;518;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;141;140;-1;9;3;-10;519;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;33;49.2578125;16.2578125;9;3;-72;520;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;138;130;-8;9;3;75;521;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;74;92;18;9;3;64;522;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;69;54.9609375;-14.0390625;9;3;5;523;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;126;164.9765625;38.9765625;9;3;-57;524;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;64;66;2;9;3;62;525;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;8;134.3671875;-53.6328125;9;3;56;526;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;102;84.3046875;-17.6953125;9;3;86;527;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;45;49.4609375;4.4609375;9;3;57;528;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;131;130.0390625;-0.9609375;9;3;-86;529;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;128;137.1953125;9.1953125;9;3;3;530;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;76;68.0703125;-7.9296875;9;3;52;531;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;157;148.9765625;-8.0234375;9;3;-81;532;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;107;104.765625;-2.234375;9;3;50;533;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;0;47.4921875;47.4921875;9;3;-73;534;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;120;129.609375;9.609375;9;3;60;535;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;19;72;53;9;3;-79;536;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;142;132.46875;-9.53125;9;3;57;537;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;17;34.546875;17.546875;9;3;-55;538;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;89;75.1953125;-13.8046875;9;3;-72;539;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;72;74.3828125;2.3828125;9;3;17;540;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;165;161.2265625;-3.7734375;9;3;87;541;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;95;78.75;-16.25;9;3;70;542;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;144;139.65625;-4.34375;9;3;-49;543;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;54;53.4609375;-0.5390625;9;3;90;544;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;117;115.3125;-1.6875;9;3;-63;545;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;121;137.875;16.875;9;3;-4;546;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;169;168.0234375;-0.9765625;9;3;-48;547;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;59;57.4921875;-1.5078125;9;3;-70;548;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;35;48.8671875;13.8671875;9;3;24;549;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;167;157.3125;-9.6875;9;3;48;550;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;98;93.8203125;-4.1796875;9;3;69;551;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;91;82.3203125;-8.6796875;9;3;7;552;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;165;132.484375;-32.515625;9;3;-74;553;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;99;99.4609375;0.4609375;9;3;66;554;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;34;42.8984375;8.8984375;9;3;65;555;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;41;39.40625;-1.59375;9;3;-7;556;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;149;136.3203125;-12.6796875;9;3;72;557;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;51;50.1328125;-0.8671875;9;3;-82;558;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;135;103.8515625;-31.1484375;9;3;-84;559;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;15;48.5625;33.5625;9;3;-60;560;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;15;48.5625;33.5625;9;3;0;561;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;35;131.890625;-83.109375;9;4;-20;751;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;24;51.8046875;27.8046875;9;4;11;752;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;176;119.4453125;-56.5546875;9;4;28;753;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;108;122.9609375;14.9609375;9;4;68;754;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;86;48.28125;-37.71875;9;4;22;755;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;66;64;-2;9;4;20;756;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;88;88.6953125;0.6953125;9;4;-22;757;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;136;134.0546875;-1.9453125;9;4;-48;758;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;122;129.8203125;7.8203125;9;4;14;759;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;94;71.5703125;-22.4296875;9;4;28;760;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;11;22.78125;11.78125;9;4;83;761;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;155;138.546875;-16.453125;9;4;36;762;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;100;97.5390625;-2.4609375;9;4;55;763;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;136;134.1875;-1.8125;9;4;-36;764;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;71;59.921875;-11.078125;9;4;65;765;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;40;46.9765625;6.9765625;9;4;31;766;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;163;157.359375;-5.640625;9;4;57;767;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;84;58.453125;-25.546875;9;4;79;768;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;119;123.5234375;4.5234375;9;4;-35;769;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;47;59.1640625;12.1640625;9;4;72;770;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;151;135.421875;-15.578125;9;4;76;771;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;134;130.1015625;-3.8984375;9;4;17;772;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;105;98.15625;-6.84375;9;4;29;773;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;118;116.6953125;-1.3046875;9;4;-13;774;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;34;120.25;86.25;9;4;84;775;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;131;136.203125;5.203125;9;4;83;776;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;20;30.4140625;10.4140625;9;4;-69;777;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;41;60.75;19.75;9;4;-21;778;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;153;161.4765625;8.4765625;9;4;68;779;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;63;68.0078125;5.0078125;9;4;90;780;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;169;168.46875;-0.53125;9;4;74;781;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;32;47.015625;15.015625;9;4;-43;782;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;16;42.9609375;26.9609375;9;4;16;783;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;146;134.453125;-11.546875;9;4;50;784;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;99;93.671875;-5.328125;9;4;47;785;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;44;41.1953125;-2.8046875;9;4;55;786;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;177;46.3359375;49.3359375;9;4;47;787;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;102;112.4140625;10.4140625;9;4;75;788;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;161;155.390625;-5.609375;9;4;-59;789;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;71;64.53125;-6.46875;9;4;90;790;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;66;86.8671875;20.8671875;9;4;5;791;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;156;136.7109375;-19.2890625;9;4;-90;792;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;3;80.21875;77.21875;9;4;-27;793;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;105;120.5859375;15.5859375;9;4;78;794;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;149;151.40625;2.40625;9;4;-44;795;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;36;50.9765625;14.9765625;9;4;-67;796;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;147;136.3203125;-10.6796875;9;4;69;797;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;133;118.484375;-14.515625;9;4;14;798;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;102;107.2578125;5.2578125;9;4;31;799;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;49;39.8046875;-9.1953125;9;4;53;800;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;67;59.109375;-7.890625;9;4;-18;801;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;167;159.875;-7.125;9;4;80;802;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;93;99.59375;6.59375;9;4;74;803;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;62;57.890625;-4.109375;9;4;31;804;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;86;77.078125;-8.921875;9;4;-24;805;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;106;124.5625;18.5625;9;4;-20;806;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;77;73.671875;-3.328125;9;4;29;807;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;3;76.7109375;73.7109375;9;4;74;808;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;71;53.2734375;-17.7265625;9;4;-68;809;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;126;130.8125;4.8125;9;4;-55;810;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;126;130.8125;4.8125;9;4;0;811;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;95;98.546875;3.546875;9;5;31;1001;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;17;59.7734375;42.7734375;9;5;78;1002;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;63;57.34375;-5.65625;9;5;-46;1003;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;119;124.3203125;5.3203125;9;5;-56;1004;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;161;151.1953125;-9.8046875;9;5;-42;1005;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;88;83.5390625;-4.4609375;9;5;73;1006;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;143;139.390625;-3.609375;9;5;-55;1007;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;60;61.921875;1.921875;9;5;83;1008;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;165;151.5078125;-13.4921875;9;5;75;1009;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;83;73.640625;-9.359375;9;5;82;1010;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;18;13.140625;-4.859375;9;5;65;1011;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;30;20;-10;9;5;-12;1012;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;117;133.390625;16.390625;9;5;-87;1013;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;74;92.3671875;18.3671875;9;5;43;1014;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;43;51.953125;8.953125;9;5;31;1015;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;172;139.96875;-32.03125;9;5;51;1016;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;121;134.0859375;13.0859375;9;5;51;1017;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;110;110.203125;0.203125;9;5;11;1018;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;99;111.984375;12.984375;9;5;11;1019;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;39;117.296875;78.296875;9;5;60;1020;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;42;50.3359375;8.3359375;9;5;-3;1021;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;103;120;17;9;5;-61;1022;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;11;12.25;1.25;9;5;-88;1023;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;77;61.8515625;-15.1484375;9;5;-66;1024;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;148;137.1796875;-10.8203125;9;5;-71;1025;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;15;49.421875;34.421875;9;5;-47;1026;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;5;21.953125;16.953125;9;5;10;1027;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;20;20.3828125;0.3828125;9;5;-15;1028;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;98;102.6171875;4.6171875;9;5;-78;1029;0;Samaha et al. (2019);Experiment 1;Orientation;1
1;14;24.3984375;10.3984375;9;5;84;1030;1;Samaha et al. (2019);Experiment 1;Orientation;1
1;106;106.9765625;0.9765625;9;5;88;1031;0;Samaha et al. (2019);Experiment 1;Orientation;1
