obs;theta;resp;cond;rt;delta;error;study;experiment;stimulus;expnum
1;38;41;4;9;11;3;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;102;105;4;9;-64;3;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;116;110.5;0.5;9;-14;-5.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;76;76;0.5;9;40;0;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;38;41;0.5;9;38;3;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;171;160.75;0.5;9;47;-10.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;15;14.5;4;9;-24;-0.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;20;25.5;0.5;9;-5;5.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;26;30.75;0.5;9;-6;4.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;30;50.75;0.5;9;-4;20.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;112;131;0.5;9;-82;19;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;104;109.5;4;9;8;5.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;10;29;0.5;9;-86;19;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;168;157;0.5;9;22;-11;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;132;142;4;9;36;10;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;133;133.5;4;9;-1;0.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;12;3.25;0.5;9;-59;-8.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;155;135.5;4;9;37;-19.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;169;176;0.5;9;-14;7;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;178;0.25;4;9;-9;2.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;155;158.5;0.5;9;23;3.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;142;138;4;9;13;-4;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;93;71.25;0.5;9;49;-21.75;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;32;34;4;9;61;2;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;72;74.25;4;9;-40;2.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;25;44.5;0.5;9;47;19.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;6;11.25;0.5;9;19;5.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;170;159;4;9;16;-11;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;55;48.75;4;9;-65;-6.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;54;60.5;4;9;1;6.5;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;60;53;4;9;-6;-7;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;85;97;4;9;-25;12;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;117;121;4;9;-32;4;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;5;171.75;0.5;9;-68;-13.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;152;158;0.5;9;33;6;Gallagher & Benton (2022);Experiment 1;Orientation;1
1;101;103.25;0.5;9;51;2.25;Gallagher & Benton (2022);Experiment 1;Orientation;1
