true_sid,run,trial,mdir,resp,err
P02,8,1,353.4,354.64,1.25999999999999
P02,8,2,225.8,229.74,3.96000000000001
P02,8,3,80.52,81.586,1.07400000000001
P02,8,4,213.2,216.98,3.67999999999998
P02,8,5,164.2,158.728,-5.476
P02,8,6,37.26,26.33,-10.93
P02,8,7,72.78,72.116,-0.668000000000006
P02,8,8,10.928,9.6808,-1.24780000000001
P02,8,9,251.6,259.18,7.59999999999999
P02,8,10,331,334.1,3.14000000000004
P02,8,11,309,306.78,-2.20000000000005
P02,8,12,147.3,147.608,0.301999999999993
P02,8,13,269.6,262.04,-7.53999999999996
P02,8,14,122.88,117.57,-5.30600000000001
P02,8,15,113.5,111.008,-2.49799999999999
P02,8,16,44.38,47.156,2.786
P02,8,17,296.2,301.3,5.16000000000003
P02,8,18,189.08,188.05,-1.036
P02,9,1,82.8,82.326,-0.470000000000027
P02,9,2,266.8,262.66,-4.21999999999997
P02,9,3,48.92,45.472,-3.45400000000001
P02,9,4,230.4,227.64,-2.72000000000003
P02,9,5,15.168,9.982,-5.18559999999999
P02,9,6,153,164.188,11.186
P02,9,7,102.34,103.624,1.286
P02,9,8,280.8,289.32,8.44
P02,9,9,305.2,304.28,-0.980000000000018
P02,9,10,204,205.42,1.44
P02,9,11,68.6,70.908,2.31200000000001
P02,9,12,121.86,119.132,-2.726
P02,9,13,346,347.36,1.30000000000001
P02,9,14,249.2,259.08,9.91999999999999
P02,9,15,21.4,10.7048,-10.7032
P02,9,16,174.76,175.836,1.072
P02,9,17,333.2,343.96,10.76
P02,9,18,191.54,189.176,-2.35600000000002
P02,10,1,302,302.42,0.420000000000016
P02,10,2,356.2,351.88,-4.39999999999998
P02,10,3,321.2,328.48,7.36000000000001
P02,10,4,147.74,156.294,8.56200000000001
P02,10,5,276.4,271.24,-5.19999999999999
P02,10,6,243.4,241.58,-1.78
P02,10,7,131.88,139.044,7.15800000000002
P02,10,8,203,199.57,-3.45000000000002
P02,10,9,32.28,15.984,-16.3
P02,10,10,295,299.98,4.96000000000004
P02,10,11,86.94,84.638,-2.30199999999999
P02,10,12,101.4,107.884,6.47399999999999
P02,10,13,18.01,11.7818,-6.22820000000002
P02,10,14,41.18,45.32,4.142
P02,10,15,192.08,197.284,5.208
P02,10,16,60.48,72.026,11.54
P02,10,17,164.7,160.864,-3.846
P02,10,18,236.4,246.5,10.14
P02,11,1,163.98,163.986,-0.0040000000000191
P02,11,2,122.56,110.516,-12.048
P02,11,3,192.98,188.02,-4.95399999999998
P02,11,4,85.4,84.288,-1.10399999999999
P02,11,5,25.6,18.0732,-7.5308
P02,11,6,112.04,107.922,-4.11599999999999
P02,11,7,44.14,51.488,7.34999999999999
P02,11,8,327.2,323.86,-3.31999999999999
P02,11,9,73.64,74.142,0.495999999999981
P02,11,10,273,261.3,-11.76
P02,11,11,294,295.6,1.60000000000002
P02,11,12,249,245.56,-3.47999999999999
P02,11,13,144.76,153.984,9.22800000000001
P02,11,14,240,248.42,8.51999999999998
P02,11,15,353.8,349.3,-4.56
P02,11,16,10.53,3.8246,-6.70580000000001
P02,11,17,319.8,318.26,-1.57999999999998
P02,11,18,217.2,226.82,9.69999999999999
P02,12,1,256.4,260.96,4.56
P02,12,2,31.56,13.7824,-17.7796
