Orientation,Phase,DotCoherence,DotRandomWalk,DotSpeed,MatchOri,MatchStart,MatchEnd,Response,trialN,V11,mod_date,situation,fname,folder,dotCoherenceConditions.1,dotCoherenceConditions.2,dotCoherenceConditions.3,dotCoherenceConditionsMain,dotCoherenceConditionsTraining.1,dotCoherenceConditionsTraining.2,dotCoherenceConditionsTraining.3,dotSpeedConditions,dotType,dotOrtGabor,dotsDirSD,dotContr,dotRandomWalkConditions,dotDensity,dotLifeLimit,dotLifeSD,dotLifeRange,dotUseRange,dotContrTextures,dotCounterBalanceSNTextures,dotSD,dotSize,dotSF,dotRandomColors,dotN,dotSpeed,dotRandomWalk,dotCoherence,dotSpeedPix,dotCoherenceConditions,dotCoherenceConditionsTraining,exp_date,subject_id,run,Orientation_sin,Orientation_cos,Response_sin,Response_cos,MatchOri_sin,MatchOri_cos,error,abs_error,prevAbsError,prevOri,prevDotSpeed,DotSpeedf,prevDotSpeedf,ori_shift,ori_response_shift,totN,DotRandomWalkf,DotCoherencef,prevCoherencef,prevCoherence,dir_error,n_speeds,blunt_error,dist_to_nearest_cardinal,resp_dist_to_nearest_cardinal,OrientationG,Ori_2_Card,OrientationG_180,Ori_2_Card_180,error_180,abs_error_180,response_plus_180,Ori_recoded,Response_recoded,ori_stocker,speed_diff,coh_diff,prevOri_recoded
-67.4769,,0.18,0,7,-175.523,0.418667,1.18514,-71.4618,11,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,0.923725170544586,0.383055882740854,0.94811189243257,0.317936848175751,0.078058901150633,-0.996948748908968,-3.98489999999998,3.98489999999998,3.52269999999999,-100.09,7,7,7,32.6131,29.0904,18,Fixed,0.18,0.18,0.18,-3.98489999999998,1,FALSE,22.5231,18.5382,-90,22.5231,90,22.5231,-3.9849,-3.9849,108.5382,-67.4769,-71.4618,0.383055882740854,7->7,0.18->0.18,-100.09
-51.725,,0.18,0,7,129.967,0.483804,4.36686,-60.3082,12,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,0.785046725437821,0.619436549518475,0.868702414099675,0.495334347423431,-0.766414535125117,-0.642346293169775,-8.58320000000001,8.58320000000001,3.98489999999998,-67.4769,7,7,7,15.7519,19.7368,18,Fixed,0.18,0.18,0.18,-8.58320000000001,1,FALSE,38.275,29.6918,-90,38.275,90,38.275,-8.58320000000001,-8.58320000000001,119.6918,-51.725,-60.3082,0.619436549518475,7->7,0.18->0.18,-67.4769
-93.0086,,0.18,0,7,-60.8267,0.566178,4.18275,-86.1052,13,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,0.998621667966408,-0.0524858482639759,0.997690447598678,0.0679247434323391,0.873149326501234,0.487452821953511,6.90340000000001,6.90340000000001,8.58320000000001,-51.725,7,7,7,-41.2836,-32.7004,18,Fixed,0.18,0.18,0.18,-6.90340000000001,1,FALSE,-3.0086,3.8948,-90,-3.0086,90,-3.0086,6.90340000000001,6.90340000000001,93.8948,-93.0086,-86.1052,0.0524858482639759,7->7,0.18->0.18,-51.725
55.651,,0.18,0,7,-121.932,0.520157,2.7681,55.002,14,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,-0.825616058592229,0.564232331397833,-0.819172065384584,0.573547842201114,0.848676419592658,-0.52891240751885,-0.648999999999973,0.648999999999973,6.90340000000001,-93.0086,7,7,7,148.6596,141.7562,18,Fixed,0.18,0.18,0.18,-0.648999999999973,1,FALSE,-34.349,-34.998,90,-34.349,90,-34.349,-0.648999999999973,-0.648999999999973,235.002,55.651,55.002,0.564232331397832,7->7,0.18->0.18,-93.0086
139.634,,0.18,0,7,134.472,0.430295,0.916251,132.8,15,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,-0.647667881047135,-0.761922775522503,-0.733729864502876,-0.679441304261517,-0.713592892855046,-0.700560620693718,-6.83399999999998,6.83399999999998,0.648999999999973,55.651,7,7,7,83.983,84.632,18,Fixed,0.18,0.18,0.18,-6.83399999999998,1,FALSE,-40.366,42.8,-180,-40.366,0,-40.366,-6.83399999999998,-6.83399999999998,312.8,-220.366,132.8,0.761922775522503,7->7,0.18->0.18,55.651
-27.2521,,0.18,0,7,-110.477,0.448215,3.2293,-8.13749,16,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,0.457906498989478,0.889000358933111,0.141548997905663,0.989931250740122,0.936812696028679,-0.349831348737472,19.11461,19.11461,6.83399999999998,139.634,7,7,7,-166.8861,-160.0521,18,Fixed,0.18,0.18,0.18,-19.11461,1,FALSE,-27.2521,-8.13749,0,-27.2521,0,-27.2521,19.11461,19.11461,171.86251,-27.2521,-8.13749,0.889000358933111,7->7,0.18->0.18,-220.366
-138.306,,0.18,0,7,56.091,0.39644,1.57787,130.397,17,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,0.665152163239358,-0.7467078409512,-0.761572241971485,-0.64808002612218,-0.829924664459015,0.557875480123112,-91.297,91.297,19.11461,-27.2521,7,7,7,-111.0539,-130.16851,18,Fixed,0.18,0.18,0.18,91.297,1,TRUE,41.694,40.397,-180,41.694,0,41.694,88.703,88.703,310.397,-138.306,130.397,0.7467078409512,7->7,0.18->0.18,-27.2521
-166.778,,0.18,0,7,75.912,0.431977,2.41038,-171.153,18,,2019-06-03T11:50:10Z,BLab2,d030619P04_run001.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,1,0.228724680730462,-0.973491150665864,0.153796433154893,-0.988102553963319,-0.969923016621456,0.243411876924557,-4.37500000000003,4.37500000000003,91.297,-138.306,7,7,7,-28.472,62.8250000000001,18,Fixed,0.18,0.18,0.18,4.37500000000003,1,FALSE,13.222,8.84699999999998,-180,13.222,0,13.222,-4.37500000000003,-4.37500000000003,8.84699999999998,-166.778,-171.153,0.973491150665864,7->7,0.18->0.18,-138.306
102.983,,0.18,0,7,133.826,0.45257,2.10228,2.61300000000001,1,,2019-06-03T11:56:16Z,BLab2,d030619P04_run002.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,2,-0.974436766216618,-0.224661943028411,-0.0455896461921119,0.998960251541611,-0.721446069186953,-0.692470626997777,-100.37,100.37,,,,7,,,,18,Fixed,0.18,,,,1,TRUE,12.983,2.61300000000001,90,12.983,90,12.983,79.63,79.63,182.613,102.983,2.61300000000001,0.22466194302841,,,
20.561,,0.18,0,7,174.442,0.435035,2.72043,19.395,2,,2019-06-03T11:56:16Z,BLab2,d030619P04_run002.dat,PilotData,,,,18,70,40,18,7,Gaussian,0,0,1,0,3,12,1,4,1,0,1,0.03125,0.1,10,0,530,7,Fixed,0.18,2.60689981033718,18,,2019-06-03,4,2,-0.351204411430885,0.936298809884689,-0.332078818914228,0.943251640883031,-0.0968533338193369,-0.995298664586706,-1.16600000000005,1.16600000000005,100.37,102.983,7,7,7,-82.422,17.948,18,Fixed,0.18,0.18,0.18,1.16600000000005,1,FALSE,20.561,19.395,0,20.561,0,20.561,-1.16600000000004,-1.16600000000004,199.395,20.561,19.395,0.936298809884689,7->7,0.18->0.18,102.983
