delta;theta;resp;error;rt;obs;block;range;mindelta;study;experiment;stimulus
0;26.0031299997452;33.2935632708467;7.29043327110145;3.10880659899976;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-70;96.0031299997452;93.7771263682711;-2.22600363147407;2.88375446200007;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-30;126.003129999745;113.256877559355;-12.7462524403906;2.44190446700031;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
20;106.003129999745;113.111994713893;7.10886471414811;2.51815154499945;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
10;96.0031299997452;270.223541432974;174.220411433229;2.90878387400062;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-180;276.003129999745;275.484109804228;-0.519020195517157;1.9087333489997;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-130;46.0031299997452;34.6028778476937;-11.4002521520515;2.90887667599964;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-120;166.003129999745;155.648061916993;-10.3550680827523;1.1754136490008;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
0;166.003129999745;163.485633789393;-2.51749621035236;2.23317589700036;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-130;296.003129999745;286.725955172391;-9.27717482735432;1.94065122400025;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-70;6.00312999974523;355.160161141371;-10.8429688583747;2.37542798699997;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-10;16.0031299997452;19.3872153355535;3.3840853358083;2.50859898900035;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-110;126.003129999745;117.702518253773;-8.3006117459727;2.13277362499957;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-130;256.003129999745;223.535188097873;-32.4679419018722;1.50004855000043;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-60;316.003129999745;318.464754134289;2.46162413454402;1.80003611600023;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-150;106.003129999745;93.8958017657506;-12.1073282339947;2.58343089700065;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
140;326.003129999745;294.617905437686;-31.3852245620588;2.35773303099995;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
100;226.003129999745;229.132701725555;3.1295717258094;2.08303596099995;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
100;126.003129999745;109.19806666683;-16.8050633329148;1.64965300699987;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-70;196.003129999745;188.644497610517;-7.35863238922798;1.95824323699981;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
80;116.003129999745;102.315621557828;-13.6875084419174;2.59985462900022;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
150;326.003129999745;326.618218180922;0.615088181176986;1.93281992500033;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
140;186.003129999745;186.173398289347;0.170268289601921;1.72499218400026;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
90;96.0031299997452;90.5045163111104;-5.49861368863486;2.02551757400033;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
30;66.0031299997452;64.1747219993073;-1.82840800043793;2.50904051700036;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-40;106.003129999745;96.8337008957865;-9.16942910395872;2.19125409700064;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-60;166.003129999745;168.058143577641;2.05501357789569;2.43320013799985;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-80;246.003129999745;245.413038200495;-0.590091799249876;1.8923452629997;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
120;126.003129999745;140.994605451715;14.9914754519697;1.89266738199967;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
-180;306.003129999745;313.255051852996;7.25192185325079;1.90130296000007;1;1;350;-180;Moon et al. (2023);Experiment 1;Motion
