delta;theta;resp;error;rt;obs;block;range;mindelta;study;experiment;stimulus
-10;327.158171395597;316.278474514176;-10.8796968814216;1.60684835099892;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-40;7.15817139559715;0.20960159249085;-6.9485698031063;1.11680517100103;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-120;127.158171395597;129.713521097538;2.55534970194088;2.57485200899828;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
140;347.158171395597;338.164264443808;-8.99390695178926;1.86737709299996;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
20;327.158171395597;317.437621771647;-9.72054962395021;1.09330024600058;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-50;17.1581713955972;17.0584355096536;-0.099735885943538;1.17666742499932;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-90;107.158171395597;102.474281241507;-4.68389015408977;1.72756880700035;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-170;277.158171395597;272.896868865639;-4.26130252995836;2.17873504599993;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-60;337.158171395597;323.939264202472;-13.2189071931253;2.9719541250015;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-20;357.158171395597;357.791330078244;0.633158682647036;1.7837316160003;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-80;77.1581713955972;83.1841263845654;6.02595498896827;0.97588382899994;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-160;237.158171395597;64.4519521729781;-172.706219222619;1.85906308799895;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-90;327.158171395597;324.294591242399;-2.86358015319803;1.23311351400116;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-70;37.1581713955972;51.3615969611139;14.2034255655168;1.38421978599945;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
20;17.1581713955972;13.9144778602869;-3.24369353531022;1.50111653800195;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
100;277.158171395597;269.383626997628;-7.7745443979689;1.79437836800207;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
30;247.158171395597;258.12623274756;10.9680613519629;2.13651164099792;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
130;117.158171395597;112.712622739612;-4.44554865598472;2.5626317180031;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
60;57.1581713955972;64.0144826896243;6.85631129402715;1.82942692200231;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
70;347.158171395597;334.211290213554;-12.9468811820433;1.25560698199843;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
30;317.158171395597;327.668616606665;10.5104452110676;1.67543531100091;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
90;227.158171395597;229.813935700312;2.65576430471478;1.44218140799785;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-130;357.158171395597;342.131088833628;-15.0270825619696;1.45851100599975;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-150;147.158171395597;316.384786377279;169.226614981682;1.43361481299871;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-80;227.158171395597;218.100192461328;-9.0579789342691;1.52495865599849;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
170;57.1581713955972;45.7336909209909;-11.4244804746063;1.56729712299784;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-20;77.1581713955972;86.7355740557126;9.57740266011542;1.00291300199751;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
120;317.158171395597;312.51281513237;-4.64535626322703;1.29547033999916;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
0;317.158171395597;321.218203408048;4.06003201245102;1.66314580999824;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-90;47.1581713955972;56.6517366284457;9.49356523284855;1.33889147299851;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
80;327.158171395597;324.633637556142;-2.52453383945544;1.0753183980014;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
70;257.158171395597;265.442660030973;8.2844886353754;1.02540335900267;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
120;137.158171395597;135.61900487846;-1.53916651713701;2.46718936700199;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-120;257.158171395597;264.779962812912;7.62179141731474;1.61667529499755;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
90;167.158171395597;171.755715986744;4.59754459114686;1.41724713300209;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
130;37.1581713955972;34.0705486778033;-3.08762271779382;2.25878969399855;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-40;77.1581713955972;83.4512728974645;6.29310150186737;0.81595025599745;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-180;257.158171395597;265.501029668718;8.34285827312056;1.50250890900134;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-10;267.158171395597;267.297290522162;0.139119126564992;1.25049150000268;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-110;17.1581713955972;7.47526081622928;-9.68291057936787;2.13018792599905;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
110;267.158171395597;269.61284940041;2.45467800481248;1.77280114399764;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-160;67.1581713955972;69.1383533334508;1.98018193785366;1.65809237400026;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-30;97.1581713955972;87.5995070140265;-9.55866438157064;2.24226119200102;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
140;317.158171395597;309.494532990037;-7.66363840555994;2.06718370200178;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
0;317.158171395597;320.093731867005;2.93556047140822;1.33318301600229;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-40;357.158171395597;356.582317575213;-0.575853820384623;1.15922655800023;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-70;67.1581713955972;73.0691705283689;5.91099913277176;1.07688578599846;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
40;27.1581713955972;34.3333665986642;7.1751952030671;1.06970185600221;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-10;37.1581713955972;36.5458430005753;-0.612328395021898;1.14959403800094;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-110;147.158171395597;143.097951830759;-4.06021956483789;2.15533096400031;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-130;277.158171395597;270.084003956337;-7.07416743926035;1.7833936499992;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-50;327.158171395597;134.940690328732;167.782518933135;1.88050399300118;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
150;177.158171395597;178.675603784928;1.51743238933051;1.85842313200192;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-140;317.158171395597;318.013854428933;0.855683033335595;1.90870553200148;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
160;157.158171395597;146.433888673033;-10.7242827225645;1.04140324699983;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
10;147.158171395597;138.469613377118;-8.68855801847934;1.47552460600127;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
150;357.158171395597;343.893698649136;-13.264472746461;1.27562656500231;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-20;17.1581713955972;7.70189857055244;-9.45627282504471;1.60922197500258;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
30;347.158171395597;331.868173682913;-15.2899977126843;1.39983556299921;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
110;237.158171395597;245.077440523467;7.91926912786954;1.60402962400258;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-80;317.158171395597;304.509914103809;-12.6482572917885;1.90507216200058;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-60;17.1581713955972;1.86627792249947;-15.2918934730977;1.47527290899961;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
40;337.158171395597;314.139709057966;-23.0184623376309;1.95045405900237;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
170;167.158171395597;175.97570194774;8.81753055214327;1.86690090000047;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-30;197.158171395597;188.98662190626;-8.17154948933754;2.37578939300147;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-100;297.158171395597;289.033369551124;-8.12480184447304;1.56768996599931;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-170;107.158171395597;103.982900539219;-3.17527085637779;1.90102647599997;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
140;327.158171395597;310.113848676405;-17.0443227191922;1.74455815400142;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
100;227.158171395597;210.982952026228;-16.1752193693689;1.41114898200249;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-60;287.158171395597;278.054232881604;-9.10393851399289;1.63822123100181;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
150;137.158171395597;130.97620741307;-6.18196398252758;1.72990707600184;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-70;207.158171395597;210.70071338991;3.54254199431276;1.06509361799908;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
120;87.1581713955972;70.7715268206159;-16.3866445749812;2.58456064100028;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
70;17.1581713955972;9.69993203861828;-7.45823935697887;1.32460767299926;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-160;177.158171395597;185.599990307205;8.44181891160792;1.35873394200098;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
100;77.1581713955972;73.2642353402149;-3.8939360553823;0.801310077997186;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
20;57.1581713955972;59.0019115154502;1.84374011985302;1.10850878600104;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
50;7.15817139559715;353.944904955794;-13.2132664398033;1.06627911000032;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
60;307.158171395597;303.91224174004;-3.24592965555678;1.55292485900281;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-130;77.1581713955972;75.7985685688865;-1.35960282671066;1.7791363360011;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
170;267.158171395597;268.764177137456;1.60600574185912;1.42975278800077;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-140;47.1581713955972;60.6418806827527;13.4837092871555;1.97180946399749;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-120;167.158171395597;154.806249904139;-12.3519214914579;1.24186475899842;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-180;347.158171395597;329.520992300509;-17.6371790950882;1.06240635899667;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-150;137.158171395597;136.506173424932;-0.651997970665434;1.78325774099721;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-170;307.158171395597;312.250163282541;5.0919918869439;1.41644562099827;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-50;357.158171395597;354.212787006382;-2.94538438921523;1.7663784489996;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
10;347.158171395597;323.374888354608;-23.7832830409895;1.7354938080025;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-150;137.158171395597;142.419190520381;5.26101912478345;1.56644257900189;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
50;87.1581713955972;83.5101244101189;-3.64804698547829;1.94463032800195;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-30;117.158171395597;120.504418520399;3.34624712480201;1.93710251499942;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-180;297.158171395597;303.943765450093;6.78559405449556;3.15062417800073;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
90;207.158171395597;213.598782055633;6.44061066003565;1.3318211429978;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-110;317.158171395597;308.778120906916;-8.38005048868126;1.73350547500013;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
10;307.158171395597;314.628933192159;7.47076179656153;1.04211371299971;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
160;147.158171395597;139.926381227029;-7.23179016856787;1.39984603900302;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
60;87.1581713955972;87.5300121069685;0.371840711371306;0.899935230001574;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
130;317.158171395597;308.310529165284;-8.84764223031357;1.05154005700024;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
50;267.158171395597;264.800277337404;-2.35789405819315;1.28363095500026;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
40;227.158171395597;240.635089721443;13.4769183258456;2.05414058099996;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
80;147.158171395597;142.035109615655;-5.12306177994239;1.46263530500073;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
-140;287.158171395597;284.856726789568;-2.30144460602924;1.57105413499812;1;2;350;-180;Moon et al. (2023);Experiment 3;Motion
