delta;theta;resp;error;rt;obs;block;range;mindelta;study;experiment;stimulus
0;32.7663452241951;33.0829909369309;0.316645712735863;2.37577038500058;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-20;52.7663452241951;38.537331080412;-14.2290141437831;0.652795743000752;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
110;302.766345224195;314.62100404985;11.8546588256548;0.713480058000641;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-50;352.766345224195;335.605212066365;-17.1611331578301;0.849943249999342;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-80;72.766345224195;50.0704801423625;-22.6958650818326;1.53450655300003;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
140;292.766345224195;308.297462543189;15.5311173189937;0.891572693999478;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
150;142.766345224195;140.374206585027;-2.39213863916822;0.95009683599892;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
70;72.766345224195;53.7698923081143;-18.9964529160807;1.37476558900016;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
80;352.766345224195;339.216554711038;-13.5497905131573;0.900680406000902;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
180;172.766345224195;169.171632431575;-3.59471279262036;1.19187554500058;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-160;332.766345224195;324.224744200943;-8.54160102325227;1.33543891699992;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-90;62.766345224195;57.2586728749296;-5.50767234926542;0.984940660000575;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-120;182.766345224195;183.693935978862;0.92759075466688;1.16977648899956;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
10;172.766345224195;170.013078800772;-2.75326642342304;1.07876480499908;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-40;212.766345224195;199.277239407418;-13.4891058167775;1.15778234699974;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
0;212.766345224195;204.758547525707;-8.00779769848833;0.799303841999063;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
80;132.766345224195;138.096372300369;5.33002707617402;1.08342903000084;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
40;92.766345224195;93.0090896901568;0.242744465961792;1.29132643199955;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
120;332.766345224195;335.999079596096;3.23273437190113;0.916130724999675;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
120;212.766345224195;214.805437136096;2.03909191190118;1.65000109999892;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
100;112.766345224195;122.819466220786;10.0531209965911;0.959044399000049;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
30;82.766345224195;66.0578980796116;-16.7084471445834;1.11755586400068;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-130;212.766345224195;211.00597660704;-1.76036861715488;0.843675781999991;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-140;352.766345224195;6.2298760140888;13.4635307898938;0.607682431000285;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-40;32.766345224195;31.3707789027856;-1.39556632140948;0.994775436000054;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-130;162.766345224195;145.747628412938;-17.018716811257;1.14162722199944;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-80;242.766345224195;238.984627071638;-3.78171815255675;1.11695507100012;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
40;202.766345224195;206.299805896494;3.53346067229853;0.988334008001402;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
120;82.766345224195;69.0669342902909;-13.6994109339042;0.932640556999104;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
170;272.766345224195;255.934721204619;-16.8316240195765;1.24211606599965;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-100;12.766345224195;15.1700876970993;2.40374247290424;1.28393333900021;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-70;82.766345224195;81.6676906076814;-1.09865461651363;0.958278214000529;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
10;72.766345224195;75.1763902493755;2.41004502518041;1.37643945300078;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-100;172.766345224195;166.368803609441;-6.39754161475375;1.02800508099972;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-170;342.766345224195;337.184945327845;-5.58139989635038;1.09137216099953;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
50;292.766345224195;295.491044860823;2.72469963662797;2.32859186099995;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
70;222.766345224195;207.277283777203;-15.4890614469922;1.27477487000033;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-20;242.766345224195;223.880011239939;-18.8863339842557;4.44250311399992;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-160;42.766345224195;42.1772432932683;-0.589101930926738;0.750223969998842;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-110;152.766345224195;137.970156415765;-14.7961888084298;1.02473322599872;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
10;142.766345224195;144.653936852791;1.88759162859574;0.992031077999854;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
180;322.766345224195;320.721395195754;-2.04495002844141;1.03305022200038;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
20;302.766345224195;292.149257907435;-10.6170873167604;0.825036053000076;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-130;72.766345224195;52.9874772814088;-19.7788679427862;1.19996995499969;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
-150;222.766345224195;228.934167232117;6.16782200792181;0.916616911999881;1;1;360;-180;Moon et al. (2023);Experiment 2;Motion
