delta;theta;resp;error;rt;obs;block;cond;study;experiment;stimulus;expnum;stimtype;studynum;code;obsid;outliers_q;outliers_sd;outliers_rt;error_iqr;errorsd;theta_cent;stim_bias_peak;error_ori_deb;error_ori_deb_sd_deb;sd_bias_peak;error_norm;error_iqr_norm;error_ori_deb_norm;error_ori_deb_sd_deb_norm;bin;codenum
-1;167;160;-7;3.40801239013672;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-7;-7;77;17.2149689623588;0.331608946792339;-2.06993387162474;10.5089789300228;-0.392190096008721;-0.495624209778268;0.0265316820190785;-0.1953856669851;1;1
20;70;52.5;-17.5;2.94138073921204;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-17.5;-17.5;-20;17.2149689623588;-10.5010723723438;-8.40375221375826;10.5089789300228;-0.952495392714739;-1.22667396709577;-0.840179722945855;-0.732158165002005;NaN;1
-16;24;36;12;2.04970502853394;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;12;12;-66;17.2149689623588;4.78772503694843;6.30777812872347;10.5089789300228;0.62169567898312;0.827227732034359;0.383060829642341;0.514600814341475;NaN;1
-22;133;129;-4;4.44985151290894;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-4;-4;43;17.2149689623588;-3.61521677497031;-1.41251261224202;10.5089789300228;-0.232102868378431;-0.286752850544696;-0.289249680478664;-0.139671146519486;NaN;1
-2;172;159.5;-12.5;2.44147944450378;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-12.5;-12.5;82;17.2149689623588;-1.68498753602126;-4.00664752044824;10.5089789300228;-0.685683346664255;-0.87855503503982;-0.134814075266257;-0.359516459355165;1;1
10;42;39.5;-2.5;1.73323798179626;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-2.5;-2.5;-48;17.2149689623588;-4.43904170064238;-4.43106228565328;10.5089789300228;-0.152059254563285;-0.182317170927909;-0.355163043730018;-0.395484363928448;1;1
43;172;22;30;4.22456765174866;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;30;30;82;17.2149689623588;40.8150124639787;30.9542693417801;10.5089789300228;1.58221904476486;2.0804558874358;3.265566091548;2.60331854212647;2;1
22;74;66;-8;3.39151382446289;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-8;-8;-16;17.2149689623588;1.45337549573214;3.2955767250813;10.5089789300228;-0.445552505218818;-0.56524799618946;0.116283040249916;0.259325594146512;NaN;1
-50;144;146;2;2.08302545547485;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;2;2;54;17.2149689623588;4.48852644173339;7.79837323016982;10.5089789300228;0.0880715868821513;0.13098986792245;0.359122265663332;0.640924370357072;2;1
-78;74;65;-9.00000000000001;3.18315768241882;1;1;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-9.00000000000001;-9.00000000000001;-16;17.2149689623588;0.453375495732137;6.08853553636598;10.5089789300228;-0.498914914428915;-0.634871782600651;0.0362740951484034;0.496020648695015;NaN;1
-1;37;28.5;-8.5;2.14178776741028;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-8.5;-8.5;-53;17.2149689623588;-13.7296327801463;-16.1311755985634;10.5089789300228;-0.472233709823867;-0.600059889395055;-1.09849343537064;-1.38703459647523;1;1
60;26;34;8.00000000000001;3.18326759338379;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;8.00000000000001;8.00000000000001;-64;17.2149689623588;1.52525667858175;-0.750639046476663;10.5089789300228;0.408246042142733;0.548732586389596;0.122034177862362;-0.0835793061672171;NaN;1
-26;172;148;-24;2.19220662117004;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-24;-24;82;17.2149689623588;-13.1849875360212;-10.8983105057588;10.5089789300228;-1.29935105258037;-1.67922857876851;-1.05491694393364;-0.943564652134516;NaN;1
-65;4;16;12;1.7829282283783;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;12;12;-86;17.2149689623588;8.55652871588863;13.4791041875897;10.5089789300228;0.621695678983121;0.827227732034359;0.684598836289044;1.12234963105521;NaN;1
-41;5;16.5;11.5;3.00781536102295;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;11.5;11.5;-85;17.2149689623588;6.32480902965333;10.0888255308627;10.5089789300228;0.595014474378072;0.792415838828764;0.50604129843108;0.835033474316213;2;1
-47;146;130.5;-15.5;3.27488327026367;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-15.5;-15.5;56;17.2149689623588;-13.6961469001965;-10.0169588120671;10.5089789300228;-0.845770574294545;-1.08742639427339;-1.09581426544006;-0.868872685188241;2;1
-79;134;141.5;7.49999999999999;2.12483978271484;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;7.49999999999999;7.49999999999999;44;17.2149689623588;8.16800054520906;13.2064700139776;10.5089789300228;0.381564837537684;0.513920693184;0.653513107210751;1.09924468574266;NaN;1
18;131;125;-5.99999999999998;3.32480764389038;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-5.99999999999998;-5.99999999999998;41;17.2149689623588;-5.96892375193309;-3.88352000420875;10.5089789300228;-0.338827686798623;-0.426000423367076;-0.477567292783525;-0.349081764058201;NaN;1
-67;39;49;10;2.44962573051453;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;10;10;-51;17.2149689623588;5.74361215883743;11.4544571426581;10.5089789300228;0.514970860562927;0.687980159211978;0.459540349900801;0.950766741681646;NaN;1
-71;93;46;-47;2.61654257774353;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;1;0;0;NaN;-47;3;17.2149689623588;NaN;NaN;10.5089789300228;-2.5266864644126;NaN;NaN;NaN;NaN;1
-88;74;58;-16;2.94975829124451;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-16;-16;-16;17.2149689623588;-6.54662450426785;-8.76650302471065;10.5089789300228;-0.872451778899593;-1.12223828747899;-0.523788520562179;-0.762900230598882;3;1
-38;38;38.5;0.499999999999998;2.09147953987122;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;0.499999999999998;0.499999999999998;-52;17.2149689623588;-4.30224071006297;-0.860236979686948;10.5089789300228;0.0080279730670056;0.0265541883056633;-0.344217740784918;-0.0928674090475025;NaN;1
51;24;35;11;2.21639060974121;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;11;11;-66;17.2149689623588;3.78772503694843;-5.69021168902384;10.5089789300228;0.568333269773023;0.757603945623168;0.303051884540829;-0.502193576936291;NaN;1
24;51;29;-22;6.01649904251099;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-22;-22;-39;17.2149689623588;-15.3114511156802;-13.9933998236907;10.5089789300228;-1.19262623416017;-1.53998100594613;-1.22505305173894;-1.20586437957067;NaN;1
76;36;39;3;1.56619334220886;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;3;3;-54;17.2149689623588;-2.54422924571847;-2.2388256473403;10.5089789300228;0.141433996092248;0.200613654333641;-0.20356109804635;-0.209698748833737;NaN;1
-33;41;47;6;1.41647553443909;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;6;6;-49;17.2149689623588;3.18414335251873;5.93425073572922;10.5089789300228;0.301521223722539;0.409485013567214;0.254759950687015;0.482945465074271;NaN;1
-77;21;176.5;-24.5;1.74967241287231;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-24.5;-24.5;-69;17.2149689623588;-33.4175817798693;-27.2839571130046;10.5089789300228;-1.32603225718542;-1.71404047197411;-2.67370546605085;-2.33220006696563;NaN;1
-53;176;145.5;-30.5;2.28319048881531;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-30.5;-30.5;86;17.2149689623588;-21.2868369653296;-18.3507016423012;10.5089789300228;-1.646206712446;-2.13178319044125;-1.70313737014389;-1.57513290851325;NaN;1
-7;112;131.5;19.5;1.4829318523407;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;19.5;19.5;22;17.2149689623588;16.2514426931151;15.0462594304247;10.5089789300228;1.02191374805885;1.34940613011829;1.30026078625381;1.25516143414734;1;1
4;170;165;-5.00000000000002;2.24973130226135;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-5.00000000000002;-5.00000000000002;80;17.2149689623588;5.03079055663788;3.09125441112852;10.5089789300228;-0.285465277588528;-0.356376636955888;0.402508245463245;0.242009878264442;1;1
-70;111;107;-4;1.87460851669312;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-4;-4;21;17.2149689623588;-8.69216496807551;-2.00935806542371;10.5089789300228;-0.232102868378431;-0.286752850544696;-0.695450949744039;-0.190252045359482;NaN;1
-48;16;15.5;-0.5;2.08318877220154;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-0.5;-0.5;-74;17.2149689623588;-12.4958693636825;-8.92593119366806;10.5089789300228;-0.0453344361430912;-0.0430695981055275;-0.999781325914534;-0.776411299575436;2;1
80;159;148.5;-10.5;1.99985694885254;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-10.5;-10.5;69;17.2149689623588;-11.7212695117542;-14.0465879372322;10.5089789300228;-0.578958528244061;-0.739307462217437;-0.937806408885971;-1.21037191594577;3;1
26;160;157;-2.99999999999999;2.68307733535767;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-2.99999999999999;-2.99999999999999;70;17.2149689623588;-3.49836454459858;-2.95990397745172;10.5089789300228;-0.178740459168333;-0.217129064133504;-0.279900456793864;-0.270808019042043;NaN;1
0;16;23.5;7.5;2.19972348213196;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;7.5;7.5;-74;17.2149689623588;-4.49586936368245;-6.91977887671789;10.5089789300228;0.381564837537684;0.513920693184;-0.359709765102439;-0.606395784067454;1;1
-36;167;149;-18;2.08311796188354;1;2;1;Abreo et al. (2023);Experiment 1;Orientation;1;1;1;01 Abreo et al. (2023);1;0;0;0;-18;-18;77;17.2149689623588;-10.6683910532077;-7.50749224679285;10.5089789300228;-0.979176597319787;-1.26148586030137;-0.853566714097553;-0.656202765690928;NaN;1
