subject,session,block,section,trial,isi_raw_sec,orientation,contrast_db,contrast,response,rt,target_on,mask_on,isi_on,target_onset,mask_onset,isi_onset,target_fliptime,mask_fliptime,isi_fliptime,target_missed,mask_missed,isi_missed,target_beam,mask_beam,isi_beam,seed,date,isi_sec
7,1,1,1,1,0,114,-20,0.1,-35.2630117295973,1.74008359393338,356920.985207305,356921.195330462,356922.766344423,356920.985207305,356921.195330462,356922.766344423,356920.985271297,356921.195392945,356922.766408113,0.00951195979723707,0.00991712528048083,1.56052935565822,0,0,0,12312019,20-Feb-2020 14:21:24,0
7,1,1,1,2,0.5,166,-20,0.1,13.695876504409,2.53045395913068,356923.266654573,356923.466765411,356925.808305606,356923.266654573,356923.466765411,356925.808305606,356923.266725205,356923.466816726,356925.808369296,0.000543969857972115,-9.51931579038501e-05,2.33105558942771,0,0,0,12312019,20-Feb-2020 14:21:24,0.495007330872974
7,1,1,1,3,0.36,142,-20,0.1,-66.1813495002662,1.90860657929443,356926.168509402,356926.368587943,356928.089743818,356926.168509402,356926.368587943,356928.089743818,356926.168578224,356926.368636239,356928.08980449,0.000232352060265839,-0.000127490959130228,1.71067126974231,0,0,0,12312019,20-Feb-2020 14:21:24,0.355007330872974
7,1,1,1,4,0.5,75,-20,0.1,66.4252937980874,1.54692523425911,356928.590053967,356928.790182314,356930.1510704,356928.590053967,356928.790182314,356930.1510704,356928.59012128,356928.790228798,356930.1511356,0.000543969857972115,-7.76859233155847e-05,1.35040348174516,0,0,0,12312019,20-Feb-2020 14:21:24,0.495007330872974
7,1,1,1,5,0.42,175,-20,0.1,-11.9620513976662,2.53150559973437,356930.571332411,356930.771430572,356933.112910699,356930.571332411,356930.771430572,356933.112910699,356930.571398516,356930.771479774,356933.112974691,0.000378537108190358,-0.000107870786450803,2.33099552156636,0,0,0,12312019,20-Feb-2020 14:21:24,0.415007330872974
7,1,1,1,6,0.44,154,-20,0.1,-45.3390243244515,2.21350838942453,356933.553215759,356933.753339879,356935.774639223,356933.553215759,356933.753339879,356935.774639223,356933.553279751,356933.753391194,356935.774711968,0.000450910243671387,-8.19117994979024e-05,2.01081473840168,0,0,0,12312019,20-Feb-2020 14:21:24,0.435007330872974
7,1,1,1,7,0.3,19,-20,0.1,45.6902771978651,1.81380951358005,356936.074825554,356936.274960541,356937.8960044,356936.074825554,356936.274960541,356937.8960044,356936.074889546,356936.275012459,356937.896066279,0.000126916624139994,-7.10453023202717e-05,1.61055925377877,0,0,0,12312019,20-Feb-2020 14:21:24,0.295007330872974
7,1,1,1,8,0.42,139,-20,0.1,-18.8745497582033,2.2161347742076,356938.316265203,356938.516377853,356940.547694948,356938.316265203,356938.516377853,356940.547694948,356938.316326176,356938.516431582,356940.547761355,0.00037732970668003,-9.33820847421885e-05,2.02083249011775,0,0,0,12312019,20-Feb-2020 14:21:24,0.415007330872974
7,1,1,1,9,0.3,140,-20,0.1,-54.2933085993971,1.60862761811586,356940.847869507,356941.04798759,356942.468924233,356940.847869507,356941.04798759,356942.468924233,356940.847930782,356941.048040716,356942.468989734,0.000115144532173872,-8.79487488418818e-05,1.41045203711838,0,0,0,12312019,20-Feb-2020 14:21:24,0.295007330872974
7,1,1,1,10,0.3,77,-20,0.1,98.3929251873925,1.59116778889438,356942.769108753,356942.969213253,356944.370135219,356942.769108753,356942.969213253,356944.370135219,356942.769194478,356942.969264567,356944.370228189,0.000125105492770672,-0.000101531972177327,1.39043736126041,0,0,0,12312019,20-Feb-2020 14:21:24,0.295007330872974
