subject,session,block,section,trial,isi_raw_sec,orientation,contrast_db,contrast,response,rt,target_on,mask_on,isi_on,target_onset,mask_onset,isi_onset,target_fliptime,mask_fliptime,isi_fliptime,target_missed,mask_missed,isi_missed,target_beam,mask_beam,isi_beam,seed,date,isi_sec
16,1,1,1,1,0,103,-20,0.1,106.073574164746,1.66026063426398,957245.869688332,957246.079815715,957247.57079995,957245.869688332,957246.079815715,957247.57079995,957245.869751117,957246.079877594,957247.570865753,0.00951579643879086,0.010017670225352,1.48050467367284,0,0,0,12312019,20-Feb-2020 14:21:24,0
16,1,1,1,2,0.36,146,-20,0.1,-21.5409759185384,1.48887702962384,957247.931009481,957248.131118207,957249.431972831,957247.931009481,957248.131118207,957249.431972831,957247.931075284,957248.131190953,957249.432037729,0.00041126913856715,-9.8708551377058e-07,1.29037506296299,0,0,0,12312019,20-Feb-2020 14:21:24,0.355009732844202
16,1,1,1,3,0.42,109,-20,0.1,-95.2812406284451,1.69949733151589,957249.852255368,957250.052368923,957251.563326782,957249.852255368,957250.052368923,957251.563326782,957249.852320567,957250.052417822,957251.563391378,0.000601068488322198,3.84240411221981e-06,1.50047829817049,0,0,0,12312019,20-Feb-2020 14:21:24,0.415009732844202
16,1,1,1,4,0.3,159,-20,0.1,-13.5704343851615,1.4560811779229,957251.86353545,957252.063655948,957253.334455204,957251.86353545,957252.063655948,957253.334455204,957251.863594612,957252.063717223,957253.334520101,0.000293611898086965,1.07849482446909e-05,1.26031969476026,0,0,0,12312019,20-Feb-2020 14:21:24,0.295009732844202
16,1,1,1,5,0.34,18,-20,0.1,29.8047514731801,1.27082974254154,957253.674713448,957253.874807081,957254.955515061,957253.674713448,957253.874807081,957254.955515061,957253.674777741,957253.874857188,957254.955579958,0.000421050237491727,-1.60796334967017e-05,1.0702284189174,0,0,0,12312019,20-Feb-2020 14:21:24,0.335009732844202
16,1,1,1,6,0.5,31,-20,0.1,47.4002144608566,1.56567999394611,957255.455827625,957255.655939973,957257.02686236,957255.455827625,957255.655939973,957257.02686236,957255.455893428,957255.656000041,957257.027260854,0.000786821823567152,2.63506080955267e-06,1.36044282547664,0,0,36,12312019,20-Feb-2020 14:21:24,0.495009732844202
16,1,1,1,7,0.4,67,-20,0.1,75.7354877019201,1.96631248760968,957257.427072621,957257.627215758,957259.408334463,957257.427072621,957257.627215758,957259.408334463,957257.427136009,957257.627266468,957259.408414754,0.000489861937239766,3.34236538037658e-05,1.77063914423343,0,0,0,12312019,20-Feb-2020 14:21:24,0.395009732844202
16,1,1,1,8,0.4,14,-20,0.1,23.5179616736923,1.65871184901334,957259.808585722,957260.008715577,957261.479683626,957259.808585722,957260.008715577,957261.479683626,957259.808651524,957260.008766287,957261.479749731,0.000530859571881592,2.01422953978181e-05,1.46048848854844,0,0,0,12312019,20-Feb-2020 14:21:24,0.395009732844202
16,1,1,1,9,0.46,135,-20,0.1,-48.9909130984298,1.65121543873101,957261.939972272,957262.140080696,957263.601010468,957261.939972272,957262.140080696,957263.601010468,957261.940036264,957262.140134727,957263.601071744,0.000685040606185794,-1.28895044326782e-06,1.45045021118131,0,0,0,12312019,20-Feb-2020 14:21:24,0.455009732844202
16,1,1,1,10,0.42,121,-20,0.1,-45,1.41382750379853,957264.021295118,957264.221401731,957265.442187992,957264.021295118,957264.221401731,957265.442187992,957264.021362732,957264.221472967,957265.44224806,0.000603181426413357,-3.10002360492945e-06,1.21030670020264,0,0,0,12312019,20-Feb-2020 14:21:24,0.415009732844202
