subject,session,block,section,trial,isi_raw_sec,orientation,contrast_db,contrast,response,rt,target_on,mask_on,isi_on,target_onset,mask_onset,isi_onset,target_fliptime,mask_fliptime,isi_fliptime,target_missed,mask_missed,isi_missed,target_beam,mask_beam,isi_beam,seed,date,isi_sec
10,1,1,1,1,0,95,-20,0.1,-83.58915998,1.166647349,611364.3719,611364.5821,611365.5727,611364.3719,611364.5821,611365.5727,611364.372,611364.5821,611365.5728,0.009492893,0.009628517,0.980151013,0,0,0,12312019,2/20/2020 14:21,0
10,1,1,1,2,0.5,78,-20,0.1,-117.0955525,1.119423974,611366.0731,611366.2732,611367.2037,611366.0731,611366.2732,611367.2037,611366.0731,611366.2732,611367.2038,0.009817205,-0.00038634,0.920041951,0,0,0,12312019,2/20/2020 14:21,0.494999858
10,1,1,1,3,0.5,69,-20,0.1,-128.9114718,0.978144135,611367.7041,611367.9042,611368.6947,611367.7041,611367.9042,611368.6947,611367.7042,611367.9042,611368.6948,0.00987214,-0.000419241,0.7800211,0,0,0,12312019,2/20/2020 14:21,0.494999858
10,1,1,1,4,0.36,175,-20,0.1,0.561705333,1.063331842,611369.0549,611369.255,611370.1256,611369.0549,611369.255,611370.1256,611369.055,611369.2551,611370.1257,0.009722149,-0.000397508,0.860084415,0,0,0,12312019,2/20/2020 14:21,0.354999858
10,1,1,1,5,0.42,157,-20,0.1,-22.83365418,1.086279474,611370.5459,611370.746,611371.6466,611370.5459,611370.746,611371.6466,611370.546,611370.746,611371.6467,0.00974469,-0.000396603,0.890081596,0,0,0,12312019,2/20/2020 14:21,0.414999858
10,1,1,1,6,0.48,116,-20,0.1,-61.53483786,0.941197014,611372.1269,611372.3271,611373.0775,611372.1269,611372.3271,611373.0775,611372.127,611372.3271,611373.0776,0.009802548,-0.000337654,0.739941964,0,1,0,12312019,2/20/2020 14:21,0.474999858
10,1,1,1,7,0.5,38,-20,0.1,-147.439562,1.07407565,611373.5778,611373.7779,611374.6685,611373.5778,611373.7779,611374.6685,611373.5779,611373.778,611374.6685,0.009801811,-0.000418939,0.880066739,0,0,0,12312019,2/20/2020 14:21,0.494999858
10,1,1,1,8,0.42,173,-20,0.1,-4.004172941,0.961074598,611375.0888,611375.2889,611376.0594,611375.0888,611375.2889,611376.0594,611375.0889,611375.2889,611376.0595,0.009798117,-0.000398715,0.760011912,0,0,0,12312019,2/20/2020 14:21,0.414999858
10,1,1,1,9,0.38,143,-20,0.1,-36.74747095,1.084141217,611376.4396,611376.6398,611377.5303,611376.4396,611376.6398,611377.5303,611376.4397,611376.6398,611377.5304,0.009726845,-0.000393282,0.88009149,0,0,0,12312019,2/20/2020 14:21,0.374999858
10,1,1,1,10,0.5,37,-20,0.1,-131.8636416,1.093075475,611378.0307,611378.2308,611379.1314,611378.0307,611378.2308,611379.1314,611378.0307,611378.2308,611379.1314,0.009810263,-0.000410487,0.890103932,0,0,0,12312019,2/20/2020 14:21,0.494999858
10,1,1,1,11,0.3,36,-20,0.1,31.86597769,0.923982894,611379.4316,611379.6317,611380.3621,611379.4316,611379.6317,611380.3621,611379.4316,611379.6317,611380.3622,0.009679383,-0.000398414,0.719983877,0,0,0,12312019,2/20/2020 14:21,0.294999858
10,1,1,1,12,0.34,41,-20,0.1,49.08561678,0.879144081,611380.7024,611380.9025,611381.593,611380.7024,611380.9025,611381.593,611380.7024,611380.9025,611381.593,0.009710208,-0.000398112,0.679975461,0,0,0,12312019,2/20/2020 14:21,0.334999858
10,1,1,1,13,0.38,54,-20,0.1,-124.3803447,1.286245788,611381.9732,611382.1733,611383.274,611381.9732,611382.1733,611383.274,611381.9732,611382.1733,611383.2741,0.009704207,-0.000390868,1.090237769,0,0,0,12312019,2/20/2020 14:21,0.374999858
10,1,1,1,14,0.5,66,-20,0.1,-120.17352,1.332958142,611383.7743,611383.9744,611385.1152,611383.7743,611383.9744,611385.1152,611383.7744,611383.9745,611385.1152,0.009790945,-0.000395093,1.130252523,0,0,0,12312019,2/20/2020 14:21,0.494999858
10,1,1,1,15,0.4,57,-20,0.1,-142.0735377,1.231779686,611385.5154,611385.7156,611386.7562,611385.5154,611385.7156,611386.7562,611385.5155,611385.7156,611386.7563,0.009729127,-0.000380907,1.030182737,0,0,0,12312019,2/20/2020 14:21,0.394999858
10,1,1,1,16,0.38,42,-20,0.1,-138.2704879,1.318588895,611387.1365,611387.3366,611388.4673,611387.1365,611387.3366,611388.4673,611387.1365,611387.3366,611388.4673,0.009726543,-0.000407771,1.120210199,0,0,0,12312019,2/20/2020 14:21,0.374999858
10,1,1,1,17,0.44,110,-20,0.1,-56.30993247,1.131384513,611388.9076,611389.1077,611390.0483,611388.9076,611389.1077,611390.0483,611388.9077,611389.1078,611390.0484,0.009788023,-0.000376681,0.93011597,0,0,0,12312019,2/20/2020 14:21,0.434999858
10,1,1,1,18,0.42,112,-20,0.1,-55.10929849,1.06026602,611390.4686,611390.6687,611391.5393,611390.4686,611390.6687,611391.5393,611390.4687,611390.6688,611391.5393,0.00975284,-0.000392075,0.860071435,0,0,0,12312019,2/20/2020 14:21,0.414999858
10,1,1,1,19,0.4,178,-20,0.1,-11.20079779,1.67329454,611391.9395,611392.1396,611393.6206,611391.9395,611392.1396,611393.6206,611391.9395,611392.1397,611393.6207,0.009697735,-0.000388151,1.470539419,0,0,0,12312019,2/20/2020 14:21,0.394999858
10,1,1,1,20,0.4,163,-20,0.1,-16.58733856,1.097773363,611394.0209,611394.221,611395.1316,611394.0209,611394.221,611395.1316,611394.0209,611394.2211,611395.1317,0.009714639,-0.000340762,0.900048761,0,0,0,12312019,2/20/2020 14:21,0.394999858
10,1,1,1,21,0.38,11,-20,0.1,23.86017519,0.928764996,611395.5118,611395.7119,611396.4524,611395.5118,611395.7119,611396.4524,611395.5119,611395.712,611396.4525,0.009729562,-0.000398414,0.72998334,0,0,0,12312019,2/20/2020 14:21,0.374999858
10,1,1,1,22,0.44,20,-20,0.1,35.43331401,0.917806578,611396.8927,611397.0928,611397.8233,611396.8927,611397.0928,611397.8233,611396.8928,611397.0929,611397.8234,0.009759348,-0.000387849,0.719996554,0,0,0,12312019,2/20/2020 14:21,0.434999858
10,1,1,1,23,0.42,51,-20,0.1,48.75855569,1.430824775,611398.2436,611398.4437,611399.6845,611398.2436,611398.4437,611399.6845,611398.2437,611398.4437,611399.6846,0.009741974,-0.000389057,1.230333176,0,0,0,12312019,2/20/2020 14:21,0.414999858
10,1,1,1,24,0.46,2,-20,0.1,-1.621145914,1.29347916,611400.1448,611400.3449,611401.4456,611400.1448,611400.3449,611401.4456,611400.1448,611400.3449,611401.4457,0.009745934,-0.000397508,1.090229016,0,0,0,12312019,2/20/2020 14:21,0.454999858
10,1,1,1,25,0.48,24,-20,0.1,47.09015915,1.300192153,611401.9259,611402.126,611403.2368,611401.9259,611402.126,611403.2368,611401.926,611402.1261,611403.2368,0.009799529,-0.000374568,1.10021399,0,0,0,12312019,2/20/2020 14:21,0.474999858
10,1,1,1,26,0.44,154,-20,0.1,-33.19756579,0.678994548,611403.677,611403.8771,611404.3675,611403.677,611403.8771,611404.3675,611403.6771,611403.8772,611404.3675,0.009772327,-0.000406865,0.479831663,0,0,0,12312019,2/20/2020 14:21,0.434999858
10,1,1,1,27,0.5,157,-20,0.1,-30.29644818,0.792092492,611404.8678,611405.0679,611405.6683,611404.8678,611405.0679,611405.6683,611404.8679,611405.068,611405.6684,0.009804829,-0.000392075,0.589899101,0,0,0,12312019,2/20/2020 14:21,0.494999858
10,1,1,1,28,0.3,120,-20,0.1,-71.14684124,1.103387949,611405.9685,611406.1686,611407.0792,611405.9685,611406.1686,611407.0792,611405.9686,611406.1687,611407.0793,0.009681194,-0.000397508,0.900105508,0,0,0,12312019,2/20/2020 14:21,0.294999858
10,1,1,1,29,0.4,162,-20,0.1,-12.01147839,0.840317986,611407.4795,611407.6796,611408.33,611407.4795,611407.6796,611408.33,611407.4795,611407.6796,611408.3301,0.00973939,-0.000407469,0.639976101,0,0,0,12312019,2/20/2020 14:21,0.394999858
10,1,1,1,30,0.46,57,-20,0.1,-135.4063462,0.701432669,611408.7903,611408.9904,611409.5007,611408.7903,611408.9904,611409.5007,611408.7904,611408.9905,611409.5008,0.009735369,-0.000387547,0.499830891,0,0,0,12312019,2/20/2020 14:21,0.454999858
10,1,1,1,31,0.5,162,-20,0.1,-11.30993247,0.698626432,611410.0011,611410.2012,611410.7115,611410.0011,611410.2012,611410.7115,611410.0012,611410.2012,611410.7116,0.009823242,-0.000411695,0.499859566,0,0,0,12312019,2/20/2020 14:21,0.494999858
10,1,1,1,32,0.5,146,-20,0.1,-30.09424148,1.02570165,611411.2118,611411.4119,611412.2525,611411.2118,611411.4119,611412.2525,611411.2119,611411.412,611412.2526,0.009803018,-0.000425881,0.830088743,0,0,0,12312019,2/20/2020 14:21,0.494999858
10,1,1,1,33,0.46,72,-20,0.1,-121.5741908,0.750689863,611412.7128,611412.9129,611413.4733,611412.7128,611412.9129,611413.4733,611412.7129,611412.913,611413.4733,0.00976827,-0.000386642,0.549871368,0,0,0,12312019,2/20/2020 14:21,0.454999858
10,1,1,1,34,0.36,23,-20,0.1,30.7740361,0.861909134,611413.8335,611414.0336,611414.7041,611413.8335,611414.0336,611414.7041,611413.8336,611414.0337,611414.7041,0.009713093,-0.000398414,0.659957218,0,0,0,12312019,2/20/2020 14:21,0.354999858
10,1,1,1,35,0.44,70,-20,0.1,-112.4427534,0.674999955,611415.1443,611415.3444,611415.8348,611415.1443,611415.3444,611415.8348,611415.1444,611415.3445,611415.8348,0.009762668,-0.000403243,0.479849774,0,0,0,12312019,2/20/2020 14:21,0.434999858
10,1,1,1,36,0.44,124,-20,0.1,-32.21654606,0.948173516,611416.2751,611416.4752,611417.2357,611416.2751,611416.4752,611417.2357,611416.2751,611416.4752,611417.2358,0.009747878,-0.000376681,0.750007318,0,0,0,12312019,2/20/2020 14:21,0.434999858
10,1,1,1,37,0.48,102,-20,0.1,-76.50426672,0.959105675,611417.716,611417.9161,611418.6867,611417.716,611417.9161,611418.6867,611417.7161,611417.9161,611418.6868,0.009818243,-0.000431918,0.760057846,0,0,4,12312019,2/20/2020 14:21,0.474999858
10,1,1,1,38,0.3,23,-20,0.1,24.11419854,0.826187497,611418.9868,611419.1869,611419.8273,611418.9868,611419.1869,611419.8273,611418.9869,611419.187,611419.8274,0.009641599,-0.000392679,0.629923212,0,0,0,12312019,2/20/2020 14:21,0.294999858
10,1,1,1,39,0.44,81,-20,0.1,-92.33730586,1.091333235,611420.2676,611420.4677,611421.3683,611420.2676,611420.4677,611421.3683,611420.2677,611420.4677,611421.3684,0.009756329,-0.000443388,0.890159169,0,0,0,12312019,2/20/2020 14:21,0.434999858
10,1,1,1,40,0.46,96,-20,0.1,-71.93952806,0.834338471,611421.8286,611422.0287,611422.6792,611421.8286,611422.0287,611422.6792,611421.8287,611422.0288,611422.6792,0.009729936,-0.000367022,0.639963726,0,0,0,12312019,2/20/2020 14:21,0.454999858
10,1,1,1,41,0.3,150,-20,0.1,-11.05641298,0.751430586,611422.9794,611423.1795,611423.7398,611422.9794,611423.1795,611423.7398,611422.9794,611423.1795,611423.7399,0.009669423,-0.000387245,0.549874084,0,0,0,12312019,2/20/2020 14:21,0.294999858
10,1,1,1,42,0.4,91,-20,0.1,-86.60028584,0.728659532,611424.1401,611424.3402,611424.8806,611424.1401,611424.3402,611424.8806,611424.1402,611424.3402,611424.8807,0.009733655,-0.000405356,0.529874857,0,0,0,12312019,2/20/2020 14:21,0.394999858
10,1,1,1,43,0.32,151,-20,0.1,-24.44395478,0.847881875,611425.2008,611425.4009,611426.0613,611425.2008,611425.4009,611426.0613,611425.2008,611425.401,611426.0614,0.00968408,-0.000356759,0.649916403,0,0,0,12312019,2/20/2020 14:21,0.314999858
10,1,1,1,44,0.38,122,-20,0.1,-65.41842552,0.892956126,611426.4415,611426.6417,611427.3421,611426.4415,611426.6417,611427.3421,611426.4417,611426.6417,611427.3422,0.00971447,-0.000399319,0.68998247,0,0,0,12312019,2/20/2020 14:21,0.374999858
10,1,1,1,45,0.42,84,-20,0.1,80.63349004,1.078062396,611427.7624,611427.9625,611428.8531,611427.7624,611427.9625,611428.8531,611427.7625,611427.9625,611428.8532,0.009753444,-0.000415015,0.88011111,0,0,0,12312019,2/20/2020 14:21,0.414999858
