subject,session,block,section,trial,isi_raw_sec,orientation,contrast_db,contrast,response,rt,target_on,mask_on,isi_on,target_onset,mask_onset,isi_onset,target_fliptime,mask_fliptime,isi_fliptime,target_missed,mask_missed,isi_missed,target_beam,mask_beam,isi_beam,seed,date,isi_sec
1,1,1,1,1,0,1,-20,0.1,-4.53777250790665,1.01153484266251,4673859.94110843,4673860.14121565,4673860.96175457,4673859.94110843,4673860.14121565,4673860.96175457,4673859.94116669,4673860.14126968,4673860.96182249,-0.000512895174324512,-0.000528411939740181,0.810031823813915,0,0,0,12312019,20-Feb-2020 14:21:24,0
1,1,1,1,2,0.4,117,-20,0.1,113.962488974578,0.892557288520038,4673861.36199798,4673861.5621212,4673862.26262489,4673861.36199798,4673861.5621212,4673862.26262489,4673861.36206318,4673861.56217704,4673862.26270307,0.00947925914078951,-0.000512412749230862,0.689996591769159,0,0,0,12312019,20-Feb-2020 14:21:24,0.394996617780998
1,1,1,1,3,0.3,41,-20,0.1,41.4032829223715,0.893758646212518,4673862.56276293,4673862.76288645,4673863.46336448,4673862.56276293,4673862.76288645,4673863.46336448,4673862.56282873,4673862.76294229,4673863.46342908,0.00944152846932411,-0.000512111000716686,0.689970934763551,0,0,0,12312019,20-Feb-2020 14:21:24,0.294996617780998
1,1,1,1,4,0.46,41,-20,0.1,42.1375947738882,0.874747013673186,4673863.92365585,4673864.12374948,4673864.81422939,4673863.92365585,4673864.12374948,4673864.81422939,4673863.92373916,4673864.12380713,4673864.8142979,0.00948662403970957,-0.000541993416845798,0.679972803220153,0,0,0,12312019,20-Feb-2020 14:21:24,0.454996617780998
1,1,1,1,5,0.3,128,-20,0.1,122.840404271473,0.915981043130159,4673865.11442236,4673865.31453712,4673866.04499627,4673865.11442236,4673865.31453712,4673866.04499627,4673865.11448937,4673865.31461137,4673866.04506026,0.00949646439403296,-0.000520863570272923,0.719952047802508,0,0,0,12312019,20-Feb-2020 14:21:24,0.294996617780998
1,1,1,1,6,0.44,133,-20,0.1,125.594688499043,0.831041749566793,4673866.48527054,4673866.68538531,4673867.32576408,4673866.48527054,4673866.68538531,4673867.32576408,4673866.48535174,4673866.6854502,4673867.32583592,0.00948306173086166,-0.000520864501595497,0.629871668294072,0,0,0,12312019,20-Feb-2020 14:21:24,0.434996617780998
1,1,1,1,7,0.34,6,-20,0.1,11.9518751300248,0.774245914071798,4673867.66604315,4673867.86615157,4673868.45654904,4673867.66604315,4673867.86615157,4673868.45654904,4673867.66611137,4673867.86620772,4673868.45661273,0.00955550651997328,-0.000527204014360905,0.579890368506312,0,0,0,12312019,20-Feb-2020 14:21:24,0.334996617780998
1,1,1,1,8,0.34,117,-20,0.1,117.824096384253,0.861460542306304,4673868.79676231,4673868.99687768,4673869.66731484,4673868.79676231,4673868.99687768,4673869.66731484,4673868.7968266,4673868.99693292,4673869.66738728,0.00948970299214125,-0.000520261004567146,0.65993005502969,0,0,0,12312019,20-Feb-2020 14:21:24,0.334996617780998
1,1,1,1,9,0.34,4,-20,0.1,14.3399285013422,0.858587548136711,4673870.00752207,4673870.20764075,4673870.87808667,4673870.00752207,4673870.20764075,4673870.87808667,4673870.00758817,4673870.20770082,4673870.87815669,0.00948366615921259,-0.000516939908266068,0.659938809461892,0,0,0,12312019,20-Feb-2020 14:21:24,0.334996617780998
1,1,1,1,10,0.4,154,-20,0.1,145.08816978339,0.867701866663992,4673871.27831891,4673871.47843639,4673872.15889884,4673871.27831891,4673871.47843639,4673872.15889884,4673871.27838833,4673871.47851125,4673872.15896676,0.00946808978915215,-0.000518146902322769,0.66995535325259,0,0,0,12312019,20-Feb-2020 14:21:24,0.394996617780998
