trial,file,orientation,response,separations,error
52,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-50,-64,22,14
53,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,86,77,-44,9
54,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,1,6,-85,-5
55,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-49,-39,-50,-10
56,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-73,-65,-24,-8
57,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,15,19,88,-4
58,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,79,76,64,3
59,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-39,-34,62,-5
60,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-80,-72,-41,-8
61,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-31,-42,49,11
62,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-72,-68,-41,-4
63,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,49,61,-59,-12
64,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,90,82,41,8
65,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-29,-27,61,-2
66,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-29,-25,0,-4
67,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,18,18,47,0
68,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-58,-64,-76,6
69,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,84,81,-38,3
70,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-38,-38,58,0
71,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-81,-80,-43,-1
72,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,60,65,-39,-5
73,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,26,30,-34,-4
74,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,24,24,-2,0
75,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-16,-22,-40,6
76,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,20,26,36,-6
77,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-2,-6,-22,4
78,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-86,-83,-84,-3
79,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,5,6,-89,-1
80,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-88,88,87,4
81,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,43,58,-49,-15
82,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,79,72,36,7
83,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,40,42,-39,-2
84,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,85,83,45,2
85,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,66,74,-19,-8
86,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-15,-17,-81,2
87,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,45,43,60,2
88,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,26,35,-19,-9
89,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-16,-15,-42,-1
90,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-46,-27,-30,-19
91,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,79,81,-55,-2
92,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-86,-85,15,-1
93,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,14,15,-80,-1
94,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,36,26,22,10
95,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-34,-40,-70,6
96,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,66,65,-80,1
97,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-86,-81,28,-5
98,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,2,7,88,-5
99,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,36,34,34,2
100,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,70,67,34,3
101,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-56,-61,54,5
102,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,-48,-60,8,12
103,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,90,-79,-42,-11
104,C:\Users\admin\Box\desktop\deidentified\S1_right_3.txt,5,10,-85,-5
1,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-15,-17,20,2
2,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,43,44,58,-1
3,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-51,-50,86,-1
4,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-82,-73,-31,-9
5,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,68,66,-30,2
6,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,36,42,-32,-6
7,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,38,45,2,-7
8,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,0,-8,-38,8
9,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,57,62,57,-5
10,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-76,-72,47,-4
11,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-63,-69,13,6
12,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-74,-70,-11,-4
13,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,25,21,-81,4
14,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,85,81,60,4
15,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-58,-67,37,9
16,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,58,74,-64,-16
17,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-40,-44,82,4
18,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-42,-40,-2,-2
19,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,72,73,-66,-1
20,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-30,-29,78,-1
21,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,9,13,39,-4
22,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,49,52,40,-3
23,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,9,18,-40,-9
24,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,47,45,38,2
25,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,16,24,-31,-8
26,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,44,44,28,0
27,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-26,-39,-70,13
28,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-7,-14,19,7
29,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,69,76,76,-7
30,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-43,-45,68,2
31,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-62,-60,-19,-2
32,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-64,-65,-2,1
33,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,58,67,-58,-9
34,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-36,-41,86,5
35,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,18,18,54,0
36,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-78,-74,84,-4
37,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-47,-57,31,10
38,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,48,53,-85,-5
39,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-83,-79,49,-4
40,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,41,46,-56,-5
41,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-73,-71,66,-2
42,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-36,-44,37,8
43,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,37,39,73,-2
44,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,36,39,-1,-3
45,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-3,-10,-39,7
46,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-27,-19,-24,-8
47,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-87,-87,-60,0
48,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-31,-30,56,-1
49,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-44,-41,-13,-3
50,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-80,-76,-36,-4
51,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-79,-74,1,-5
52,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-67,-76,12,9
53,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-66,-73,1,7
54,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-12,-18,54,6
55,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-41,-28,-29,-13
56,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,74,73,-65,1
57,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,73,72,-1,1
58,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,32,52,-41,-20
59,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,16,32,-16,-16
60,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,19,25,3,-6
61,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-82,-76,79,-6
62,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-54,-69,28,15
63,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,41,55,-85,-14
64,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,13,29,-28,-16
65,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-3,-10,-16,7
66,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-55,-63,-52,8
67,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-2,-11,53,9
68,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,31,31,33,0
69,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,35,25,4,10
70,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-86,-82,59,-4
71,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,70,74,-24,-4
72,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-4,-14,-74,10
73,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,28,29,32,-1
74,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-76,-69,76,-7
75,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,56,65,-48,-9
76,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-1,-7,-57,6
77,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,89,-89,90,-2
78,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,41,58,-48,-17
79,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-61,-68,78,7
80,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-88,-85,-27,-3
81,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,38,41,-54,-3
82,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-45,-32,-83,-13
83,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,87,-87,-48,-6
84,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-15,-13,78,-2
85,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-52,-43,-37,-9
86,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-47,-47,5,0
87,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,39,56,86,-17
88,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-49,-53,-88,4
89,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-73,-67,-24,-6
90,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,90,-87,-17,-3
91,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-70,-75,20,5
92,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-10,-16,60,6
93,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-30,-25,-20,-5
94,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,85,83,-65,2
95,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-84,-82,11,-2
96,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,76,81,-20,-5
97,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-87,-90,17,3
98,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,40,44,-53,-4
99,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-43,-43,-83,0
100,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,27,35,70,-8
101,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-70,-63,83,-7
102,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,63,63,-47,0
103,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,90,88,27,2
104,C:\Users\admin\Box\desktop\deidentified\S1_right_4.txt,-35,-31,55,-4
1,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-66,-53,52,-13
2,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,19,18,85,1
3,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,1,14,-18,-13
4,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,82,62,81,20
5,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-29,-28,69,-1
6,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-73,-68,-44,-5
7,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-61,-49,12,-12
8,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,51,64,-68,-13
9,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,35,37,-16,-2
10,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-29,-40,-64,11
11,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,76,86,-75,-10
12,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,39,32,-37,7
13,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-9,-7,-48,-2
14,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-57,-60,-48,3
15,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,22,-68,79,90
16,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-32,-31,-54,-1
17,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-7,-5,25,-2
18,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-75,-68,-68,-7
19,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-39,-24,36,-15
20,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,42,42,81,0
21,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,20,25,-22,-5
22,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-24,-17,-44,-7
23,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,42,53,66,-11
24,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,66,-2,24,68
25,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,79,72,13,7
26,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-82,-57,19,-25
27,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-70,-75,12,5
28,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-30,-18,40,-12
29,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-29,-20,1,-9
30,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-41,-42,-12,1
31,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,65,52,-74,13
32,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-70,-59,45,-11
33,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-55,-69,15,14
34,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-28,-58,27,30
35,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,23,22,51,1
36,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,15,18,-8,-3
37,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-87,-89,78,2
38,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-58,-48,29,-10
39,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-43,-38,15,-5
40,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-26,-7,17,-19
41,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-17,-18,9,1
42,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-61,-75,-44,14
43,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,40,51,-79,-11
44,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-39,-50,-79,11
45,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-51,-65,-12,14
46,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-14,47,37,-61
47,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-66,-64,-52,-2
48,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,30,29,-84,1
49,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-53,-80,-83,27
50,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,15,37,68,-22
51,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-86,-81,79,-5
52,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-37,-20,49,-17
53,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,64,52,-79,12
54,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,81,80,17,1
55,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,72,82,-9,-10
56,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-61,-62,47,1
57,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-84,-60,-23,-24
58,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-85,-73,-1,-12
59,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,22,27,-73,-5
60,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-11,-21,-33,10
61,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-8,-7,3,-1
62,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-67,-57,-59,-10
63,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-71,-81,-4,10
64,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-12,-8,59,-4
65,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,50,-21,62,71
66,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,11,17,-39,-6
67,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-6,-6,-17,0
68,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,38,22,44,16
69,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,51,53,13,-2
70,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-55,-55,74,0
71,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-17,-34,38,17
72,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-18,-28,-1,10
73,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-30,-11,-12,-19
74,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-18,-19,12,1
75,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-44,-40,-26,-4
76,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-51,-59,-7,8
77,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,23,50,74,-27
78,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-82,-75,75,-7
79,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,88,-77,-10,-15
80,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-44,-50,48,6
81,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-27,-27,17,0
82,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-8,-8,19,0
83,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-79,-61,-71,-18
84,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-78,-73,1,-5
85,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-10,-4,68,-6
86,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,14,17,24,-3
87,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-72,-69,-86,-3
88,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-88,-73,-16,-15
89,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,39,49,-53,-10
90,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,34,31,-5,3
91,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,18,34,-16,-16
92,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-76,-59,86,-17
93,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-26,-39,50,13
94,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-80,-69,-54,-11
95,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-54,-49,26,-5
96,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-4,-13,50,9
97,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-44,-45,-40,1
98,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-15,-28,29,13
99,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,49,20,64,29
100,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-87,-85,44,-2
101,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,7,8,-86,-1
102,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,-31,-46,-38,15
103,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,0,-2,31,2
104,C:\Users\admin\Box\desktop\deidentified\S2_left_1.txt,62,67,62,-5
1,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-61,-42,10,-19
2,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-2,-6,59,4
3,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,67,53,69,14
4,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,63,56,-4,7
5,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-68,-59,49,-9
6,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-59,-47,9,-12
7,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,75,57,-46,18
8,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,87,60,12,27
9,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,60,59,-27,1
10,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,39,31,-21,8
11,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,54,33,15,21
12,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-82,87,44,11
13,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-19,-26,63,7
14,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,20,-2,39,22
15,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,45,45,25,0
16,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-85,-62,50,-23
17,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,45,44,-50,1
18,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,77,70,32,7
19,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,78,75,1,3
20,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-50,-40,52,-10
21,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-17,-7,33,-10
22,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-61,-56,-44,-5
23,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,61,55,-58,6
24,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-19,-27,-80,8
25,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-79,-79,-60,0
26,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-85,-77,-6,-8
27,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,12,17,-83,-5
28,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,70,81,58,-11
29,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,23,26,-47,-3
30,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,13,16,-10,-3
31,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-75,-65,-88,-10
32,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,81,62,-24,19
33,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-73,-47,26,-26
34,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-26,-29,47,3
35,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,87,87,-67,0
36,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-77,-70,16,-7
37,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,29,33,-74,-4
38,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,90,84,61,6
39,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,78,72,-12,6
40,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,17,16,-61,1
41,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,83,85,66,-2
42,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-55,-60,42,5
43,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,68,67,-57,1
44,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-30,-37,82,7
45,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,88,-82,-62,-10
46,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,26,33,-62,-7
47,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-7,-12,-33,5
48,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-2,-2,5,0
49,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-28,-36,-26,8
50,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,10,29,38,-19
51,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-73,-72,-83,-1
52,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-76,-74,-3,-2
53,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-81,-81,-5,0
54,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-84,-79,-3,-5
55,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-40,-50,44,10
56,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-88,-75,-48,-13
57,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,12,11,-80,1
58,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,76,76,64,0
59,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,85,82,9,3
60,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-30,-32,65,2
61,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,18,30,48,-12
62,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-83,-83,79,0
63,C:\Users\admin\Box\desktop\deidentified\S2_left_2.txt,-51,-45,32,-6
