trial,file,orientation,response,separations,error
65,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,50,62,62,-12
66,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,11,13,-39,-2
67,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-6,-4,-17,-2
68,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,38,29,44,9
69,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,51,57,13,-6
70,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-55,-56,74,1
71,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-17,-24,38,7
72,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-18,-29,-1,11
73,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-30,-30,-12,0
74,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-18,-29,12,11
75,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-44,-37,-26,-7
76,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-51,-48,-7,-3
77,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,23,23,74,0
78,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-82,-76,75,-6
79,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,88,-79,-10,-13
80,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-44,-57,48,13
81,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-27,-27,17,0
82,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-8,-21,19,13
83,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-79,-72,-71,-7
84,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-78,-69,1,-9
85,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-10,-10,68,0
86,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,14,14,24,0
87,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-72,-73,-86,1
88,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-88,86,-16,6
89,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,39,47,-53,-8
90,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,34,39,-5,-5
91,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,18,29,-16,-11
92,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-76,-74,86,-2
93,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-26,-26,50,0
94,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-80,-76,-54,-4
95,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-54,-50,26,-4
96,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-4,-16,50,12
97,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-44,-47,-40,3
98,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-15,-15,29,0
99,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,49,52,64,-3
100,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-87,-80,44,-7
101,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,7,16,-86,-9
102,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,-31,-16,-38,-15
103,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,0,-4,31,4
104,C:\Users\admin\Box\desktop\deidentified\S1_left_1.txt,62,74,62,-12
1,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,54,61,82,-7
2,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,17,25,-37,-8
3,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-79,-70,84,-9
4,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-56,-58,23,2
5,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,86,-80,-38,-14
6,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-33,-41,61,8
7,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,31,36,64,-5
8,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,54,40,23,14
9,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-1,-1,-55,0
10,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,50,49,51,1
11,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-14,-13,-64,-1
12,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,62,61,76,1
13,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-30,-21,88,-9
14,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,2,7,32,-5
15,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-50,-57,-52,7
16,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,78,75,-52,3
17,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-43,-54,59,11
18,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,35,41,78,-6
19,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-63,-63,82,0
20,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-58,-63,5,5
21,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-36,-44,22,8
22,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,44,51,80,-7
23,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,88,80,44,8
24,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,87,77,-1,10
25,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-81,-74,12,-7
26,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,1,14,82,-13
27,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-44,-32,-45,-12
28,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-24,-30,20,6
29,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-3,-12,21,9
30,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-51,-39,-48,-12
31,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-76,-70,-25,-6
32,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-9,-8,67,-1
33,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,45,45,54,0
34,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,17,39,-28,-22
35,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,61,59,44,2
36,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,26,35,-35,-9
37,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,59,44,33,15
38,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,37,47,-22,-10
39,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-17,-19,-54,2
40,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-52,-28,-35,-24
41,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,24,21,76,3
42,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,11,15,-13,-4
43,C:\Users\admin\Box\desktop\deidentified\S1_left_2.txt,-43,-46,-54,3
