nStim;nBlock;nTrial;inducer;target;resp;rt;bar_start;t1;t2;ISI1;ISI2;block;delta_targ;delta_ind;obs;error;errorc;error_out_after;error_removed;block_start_index;rtc;outsubj
1;3;66;NaN;98;96;2.32475670007989;27;0.24997539492324;0;2.00811472325586;0;3;-21;NaN;1;-2;-0.0181818181818181;0;0;0;2.32475670007989;0
2;3;67;117;73;66;0.900584799936041;89;0.24998559220694;0.249977428931743;2.00810854206793;2.00810718443245;3;25;44;1;-7;-5.01818181818182;0;0;0;0.900584799936041;0
2;3;68;13;28;20;1.33371019992046;12;0.249984657857567;0.249975628918037;2.00810997094959;2.00811498425901;3;45;-15;1;-8;-6.01818181818182;0;0;0;1.33371019992046;0
2;3;69;136;71;45;0.891901899827644;77;0.24997606035322;0.249975244514644;2.00810760515742;2.00810559769161;3;-43;65;1;-26;-24.0181818181818;0;0;0;0.891901899827644;0
1;3;70;NaN;8;16;1.61646499997005;115;0.249981923494488;0;2.00811513955705;0;3;63;NaN;1;8;9.98181818181818;0;0;0;1.61646499997005;0
1;3;71;NaN;176;179;0.975016199983656;41;0.249979631742463;0;2.00811008946039;0;3;12;NaN;1;3;4.98181818181818;0;0;0;0.975016199983656;0
2;3;72;118;145;140;1.15879389992915;167;0.249978094594553;0.249976560706273;2.00810630782507;2.00810671551153;3;31;-27;1;-5;-3.01818181818182;0;0;0;1.15879389992915;0
1;3;73;NaN;78;72;0.583298800047487;56;0.249984236666933;0;2.00810477393679;0;3;67;NaN;1;-6;-4.01818181818182;0;0;0;0.583298800047487;0
2;3;74;122;172;162;1.70854049990885;89;0.249972142046317;0.24996811314486;2.00812139455229;2.00811383943073;3;86;-50;1;-10;-8.01818181818182;0;0;0;1.70854049990885;0
1;3;75;NaN;84;62;1.9239006000571;30;0.249958754749969;0;2.00811585807241;0;3;88;NaN;1;-22;-20.0181818181818;0;0;0;1.9239006000571;0
2;3;76;69;158;157;2.03262439998798;8;0.249981576111168;0.249973600031808;2.00810631597415;2.00811187108047;3;-74;-89;1;-1;0.981818181818182;0;0;0;2.03262439998798;0
2;3;77;100;17;22;2.12532140011899;52;0.249977078754455;0.249967784387991;2.00811317376792;2.00810799188912;3;-39;83;1;5;6.98181818181818;0;0;0;2.12532140011899;0
2;3;78;45;91;96;2.2917613000609;17;0.249975723680109;0.249975871061906;2.00811074464582;2.0081057974603;3;-74;-46;1;5;6.98181818181818;0;0;0;2.2917613000609;0
1;3;79;NaN;174;9;1.14907839987427;122;0.249977194936946;0;2.00811279984191;0;3;-83;NaN;1;15;16.9818181818182;0;0;0;1.14907839987427;0
1;3;80;NaN;105;96;1.99854119983502;29;0.249989279080182;0;2.00810689758509;0;3;69;NaN;1;-9;-7.01818181818182;0;0;0;1.99854119983502;0
1;3;81;NaN;175;159;1.49981660000049;130;0.249983994755894;0;2.00812852615491;0;3;-70;NaN;1;-16;-14.0181818181818;0;0;0;1.49981660000049;0
1;3;82;NaN;174;174;1.1081831001211;115;0.249971634242684;0;2.00811530533247;0;3;1;NaN;1;0;1.98181818181818;0;0;0;1.1081831001211;0
1;3;83;NaN;87;97;1.55001460015774;52;0.249983486719429;0;2.00811097375117;0;3;87;NaN;1;10;11.9818181818182;0;0;0;1.55001460015774;0
1;3;84;NaN;159;84;1.2832378000021;111;0.249976965831593;0;2.0081112422049;0;3;-72;NaN;1;-75;NaN;0;1;0;NaN;0
2;3;85;122;151;165;1.04204600001685;60;0.249981770990416;0.249981244793162;2.0081034025643;2.00811070785858;3;8;-29;1;14;15.9818181818182;1;0;0;1.04204600001685;0
