Participant No.,Stimulus Orientation,Participant Response,Noise Level (Concentration of von Mises)
1,119,118.5,0.5
1,131,144,4
1,96,109,0.5
1,20,31,0.5
1,114,120,4
1,23,26.75,0.5
1,25,28.25,4
1,18,24,0.5
1,26,16.75,4
1,31,29,4
1,36,32.75,4
1,58,73,4
1,57,69,0.5
1,40,42.25,0.5
1,46,50,4
1,161,138.5,4
1,127,137.25,4
1,101,107,4
1,34,53.25,4
1,39,51.75,4
1,14,38.25,0.5
1,165,149.75,0.5
1,128,117,0.5
1,101,107,0.5
1,57,38.25,4
1,30,39.5,4
1,113,118,4
1,178,150,4
1,31,34,0.5
1,47,40,0.5
1,72,71,4
1,14,16.25,0.5
1,124,124,4
1,73,63,4
1,177,146.75,0.5
1,73,71.25,0.5
1,112,112.5,4
1,28,35.5,0.5
1,69,69.5,0.5
1,30,54.75,0.5
1,137,144,0.5
1,157,152,4
1,64,71.5,0.5
1,124,120,4
1,53,60,4
1,96,109.5,0.5
1,150,155,4
1,108,104,0.5
1,61,66,4
1,54,39.5,0.5
1,82,76,0.5
1,77,75.25,0.5
1,65,62.5,0.5
1,101,108.75,0.5
1,134,120.25,4
1,77,74.75,4
1,78,112,0.5
1,23,29.25,0.5
1,5,14,4
1,53,67,4
1,58,69.25,0.5
1,118,119.75,4
1,173,168,4
1,169,13,0.5
1,83,80,4
1,44,35.25,4
1,138,138,4
1,137,135,0.5
1,134,137.25,4
1,134,128.75,4
1,20,36,4
1,123,135,4
1,84,80,4
1,39,40,4
1,18,29,4
1,149,134.5,0.5
1,32,29.75,4
1,30,41,0.5
1,120,116.75,0.5
1,161,136.25,4
1,93,107.25,4
1,127,135,4
1,28,29,0.5
1,172,162.25,4
1,98,72.5,0.5
1,123,119,0.5
1,7,24.75,0.5
1,146,159,0.5
1,135,148,4
1,22,55,0.5
1,95,105,4
1,59,54,4
1,99,104,4
1,72,51.75,4
1,75,59.5,4
1,33,38,4
1,46,49,4
1,4,16,0.5
1,167,155.25,0.5
1,118,122,4
1,168,155,0.5
1,30,39,0.5
1,166,159,4
1,144,146,4
1,104,103.25,4
1,80,61.25,4
1,47,56,4
1,136,139.75,4
1,42,39,0.5
1,12,29,0.5
1,139,151,0.5
1,121,113,4
1,129,139,4
1,116,149,0.5
1,76,74,0.5
1,71,83,0.5
1,147,162.25,0.5
1,58,57.5,0.5
1,147,138,4
1,143,131.75,0.5
1,154,138,0.5
1,92,107,4
1,115,162,4
1,172,162,4
1,80,71.25,0.5
1,11,164.75,4
1,157,154,4
1,114,105.25,0.5
1,64,68,0.5
1,180,7.75,0.5
1,41,48,0.5
1,118,126,0.5
1,109,113.25,0.5
1,70,61,4
1,26,32,4
1,5,23,4
1,76,75,0.5
1,34,38,4
1,131,138,4
1,67,68.75,4
1,152,150,4
1,133,139,4
1,103,102,0.5
1,32,38,4
1,173,152,4
1,48,49,0.5
1,167,150,4
1,41,29,4
1,68,72.25,0.5
1,16,29,4
1,116,105,4
1,33,25,0.5
1,9,17.75,4
1,131,149,0.5
1,63,53,4
1,119,127.75,4
1,70,54.25,0.5
1,113,131.75,0.5
1,4,5,0.5
1,164,12,0.5
1,145,129,4
1,135,134,4
1,147,161,4
1,69,61,4
1,112,110.25,0.5
1,104,105,0.5
1,96,101.5,0.5
1,50,70,4
1,45,74,0.5
1,82,78,0.5
1,41,51,0.5
1,145,140,4
1,178,178,0.5
1,6,17,0.5
1,97,99,4
1,16,23.5,4
1,145,153.75,4
1,179,159,0.5
1,13,25.5,0.5
1,170,163,0.5
1,4,6.25,0.5
1,124,121,4
1,142,147,0.5
1,97,98,4
1,160,158.25,0.5
1,162,154,0.5
1,113,130,0.5
1,25,29.25,4
1,40,34,0.5
1,33,43,0.5
1,8,27,0.5
1,20,33.25,4
1,111,114.75,0.5
1,170,173,0.5
1,64,67,0.5
1,74,59,4
1,178,1,4
1,171,174,0.5
1,122,123,0.5
1,178,5,4
1,139,147,4
1,61,55.25,4
1,120,124,0.5
1,44,38.25,4
1,54,63.25,4
1,123,124,0.5
1,96,104.5,4
1,75,38,0.5
1,109,120,0.5
1,136,145.75,4
1,106,104.5,0.5
1,100,106,4
1,106,113,4
1,93,99,4
1,15,18.5,0.5
1,130,135,4
1,180,9.5,0.5
1,64,66,4
1,175,3.5,0.5
1,63,68.25,0.5
1,160,172.5,0.5
1,82,63.25,4
1,75,71,4
1,40,31,0.5
1,23,16,0.5
1,56,47,4
1,131,124,0.5
1,141,139,4
1,125,105,0.5
1,2,17.25,4
1,152,143,4
1,167,12,0.5
1,139,126,4
1,8,33,0.5
1,69,57,4
1,127,134,4
1,132,140.75,4
1,41,32.75,4
1,49,51.5,4
1,122,130.25,4
1,86,99,0.5
1,113,115.25,4
1,43,75.75,0.5
1,32,38,0.5
1,150,144.5,4
1,139,154,0.5
1,169,162,4
1,20,33.25,4
1,33,31,4
1,18,33,0.5
1,89,104,0.5
1,35,27,4
1,162,148,4
1,18,28,0.5
1,8,21,0.5
1,101,100.75,4
1,140,159,0.5
1,57,59,0.5
1,33,42,0.5
1,62,54,0.5
1,38,51,4
1,92,70,0.5
1,164,159,4
1,114,115,4
1,19,27,4
1,71,69,0.5
1,10,15,4
1,91,91,4
1,78,72,0.5
1,180,23,0.5
1,147,143,0.5
1,88,81,4
1,162,162,4
1,25,33,0.5
1,71,75,0.5
1,167,160,0.5
1,166,161.75,4
1,129,137.75,4
1,112,155.5,4
1,62,67,4
1,169,163.5,4
1,23,38,4
1,132,138,4
1,117,117,0.5
1,150,148,4
1,72,69,0.5
1,135,109,0.5
1,151,150,4
1,59,69.75,0.5
1,100,116,0.5
1,177,10.25,0.5
1,99,101,4
1,60,65,0.5
1,112,113,0.5
1,65,59,4
1,137,125,0.5
1,75,73.75,0.5
1,89,72,0.5
1,126,135,0.5
1,176,160.75,0.5
1,59,45,0.5
1,151,143,0.5
1,134,145,0.5
1,172,166,4
1,6,11,0.5
1,65,45,0.5
1,120,117,0.5
1,51,51,4
1,42,49.75,0.5
1,129,129,4
1,113,131,0.5
1,107,108,0.5
1,119,144,0.5
1,9,27,4
1,63,50,4
1,82,69.5,4
1,44,50,4
1,129,126.75,4
1,155,153,4
1,51,57,0.5
1,132,142,4
1,25,39.5,0.5
1,151,150.25,4
1,25,39,4
1,106,113.25,0.5
1,66,61,4
1,146,144,0.5
1,91,81.25,4
1,89,77,0.5
1,158,150,0.5
1,64,68.75,0.5
1,81,111.25,0.5
1,174,175.25,4
1,8,26.25,0.5
1,176,167,4
1,35,35.75,4
1,121,131.25,4
1,106,138,0.5
1,122,131,0.5
1,65,62,0.5
1,112,118,0.5
1,147,134,4
1,4,173,0.5
1,16,34,4
1,176,178,0.5
1,118,114,0.5
1,42,40,0.5
1,73,76.25,0.5
1,22,30,4
1,49,47,4
1,47,39,0.5
1,60,55,4
1,28,28,0.5
1,63,28,0.5
1,22,24.25,0.5
1,160,168,0.5
1,17,34,0.5
1,168,164,4
1,72,77,4
1,9,25,0.5
1,62,62,0.5
1,133,132.25,0.5
1,144,136,0.5
1,99,98,0.5
1,124,116,4
1,161,161,4
1,10,23.75,4
1,55,50.5,0.5
1,9,11,4
1,36,34,0.5
1,130,143,4
1,130,130,0.5
1,159,153,4
1,105,106,4
1,13,21.5,4
1,167,157,0.5
1,145,142,0.5
1,52,52,0.5
1,98,115,4
1,178,156.5,4
1,129,107,4
1,152,137,4
1,78,74.5,0.5
1,85,64,0.5
1,101,113,4
1,49,27,0.5
1,135,128,4
1,91,83.25,4
1,117,105.25,4
1,56,44,0.5
1,25,32.25,4
1,86,94.75,4
1,66,55.5,4
1,142,149.25,0.5
1,141,153,4
1,121,116,0.5
1,25,29,4
1,4,14.25,0.5
1,101,110,4
1,55,56,0.5
1,170,170.25,0.5
1,177,159.75,0.5
1,52,36,0.5
1,145,155,0.5
1,162,165,0.5
1,108,114,4
1,160,158,0.5
1,170,153,4
1,99,104.5,0.5
1,132,139.25,0.5
1,104,116,0.5
1,5,20,4
1,81,74,0.5
1,117,118,4
1,94,105.75,4
1,68,77,0.5
1,169,165,0.5
1,150,145,0.5
1,153,155,0.5
1,68,60,4
1,107,106.75,4
1,158,160,4
1,169,162.75,4
1,121,134,0.5
1,38,51,0.5
1,118,121,4
1,13,18.75,4
1,74,71.5,4
1,121,118.75,4
1,169,165,4
1,146,156,0.5
1,88,68,0.5
1,137,140,4
1,76,71.5,4
1,175,176,4
1,178,176.25,0.5
1,156,169,0.5
1,70,76,0.5
1,82,74.5,4
1,45,51,0.5
1,142,146,4
1,159,153.75,4
1,165,145,0.5
1,101,108.5,0.5
1,108,106.25,4
1,27,36.75,4
1,162,161.5,0.5
1,82,80,4
1,38,37,4
1,162,158.25,0.5
1,138,144.75,4
1,159,151,0.5
1,52,50.5,4
1,122,122.75,4
1,120,132,4
1,23,32,0.5
1,74,69,4
1,50,54.25,0.5
1,130,128,0.5
1,52,50.5,4
1,162,145,4
1,149,140.75,0.5
1,71,70.5,4
1,90,99,4
1,126,125.5,0.5
1,151,151.5,0.5
1,110,105,0.5
1,104,101,4
1,59,58.5,4
1,83,86,4
1,129,145,0.5
1,160,151,0.5
1,130,146,4
1,4,15.5,4
1,122,133.5,4
1,79,74.75,4
1,79,72,0.5
1,22,12.25,0.5
1,147,158,0.5
1,59,55,4
1,45,52.25,4
1,62,73.5,0.5
1,68,58,4
1,99,119,0.5
1,102,102.75,4
1,72,66.25,4
1,72,72,4
1,93,108.75,4
1,119,144,0.5
1,172,162,4
1,131,119.5,0.5
1,73,60.75,0.5
1,150,139,4
1,25,24,0.5
1,11,23.75,4
1,16,18,0.5
1,30,22.5,0.5
1,59,55,0.5
1,55,53,0.5
1,3,15,4
1,98,107,0.5
1,18,21.75,4
1,27,28.75,0.5
1,114,115,4
1,155,145,4
1,176,163,0.5
1,103,103,4
1,180,172.25,0.5
1,100,66,0.5
1,93,113,4
1,60,65,0.5
1,78,52,4
1,89,82.25,4
1,13,17,0.5
1,160,159,0.5
1,12,16,0.5
1,79,79.75,0.5
1,149,146.5,4
1,72,79,4
1,111,115.25,4
1,148,146.5,4
1,160,152.5,0.5
1,168,154,4
1,35,33,4
1,47,41,0.5
1,162,156,0.5
1,107,106.75,0.5
1,91,118,4
1,111,120.5,4
1,148,153.75,0.5
1,96,100.75,4
1,37,36,0.5
1,82,68.75,4
1,78,72.25,4
1,174,8,4
1,112,119.5,0.5
1,126,112,0.5
1,130,132,0.5
1,63,55,4
1,94,111.75,0.5
1,101,109.75,0.5
1,29,35,4
1,102,114,0.5
2,97,96,0.5
2,32,50,4
2,45,43.25,4
2,115,113.5,4
2,154,146.5,0.5
2,30,29.25,4
2,60,33,0.5
2,72,67,4
2,146,148.75,0.5
2,96,109.75,0.5
2,44,38.75,0.5
2,147,137.25,0.5
2,8,26.25,0.5
2,118,116,4
2,35,40,4
2,126,107.25,0.5
2,150,141.5,0.5
2,24,30.25,0.5
2,158,146.25,0.5
2,71,67.75,4
2,37,35,4
2,21,26.75,4
2,157,148,0.5
2,59,72,0.5
2,51,49.5,0.5
2,72,54.25,4
2,65,67.25,4
2,116,125.75,0.5
2,172,160.75,0.5
2,78,99,0.5
2,124,116.5,4
2,121,129.25,0.5
2,170,160,0.5
2,48,47,0.5
2,60,47.5,4
2,42,44.25,0.5
2,46,47.5,4
2,156,140.75,0.5
2,41,43,4
2,29,33.5,0.5
2,78,54,0.5
2,171,155.5,0.5
2,78,77,0.5
2,81,84,0.5
2,100,102,4
2,139,134.25,4
2,150,144,4
2,86,102,0.5
2,78,78,0.5
2,60,78.5,0.5
2,106,109,4
2,139,117.5,4
2,95,105.75,4
2,45,49.75,0.5
2,111,122,0.5
2,8,21.75,4
2,120,129,4
2,103,108.25,4
2,20,30,0.5
2,57,50,0.5
2,175,165,4
2,129,127.25,4
2,117,137.5,0.5
2,101,79,4
2,28,37.75,0.5
2,46,44.25,0.5
2,82,70.25,0.5
2,24,21,4
2,108,115,0.5
2,147,141,4
2,133,147,0.5
2,117,118,0.5
2,52,63.25,0.5
2,20,40,0.5
2,34,36.75,4
2,130,127.75,4
2,19,24,0.5
2,116,114,4
2,62,52.5,4
2,11,20,4
2,45,46,4
2,11,27.5,0.5
2,175,162.25,4
2,66,54,4
2,176,161,4
2,139,140.25,4
2,71,64.25,4
2,66,68,0.5
2,36,46,4
2,80,77.5,0.5
2,76,51.75,0.5
2,105,116,0.5
2,122,130,0.5
2,63,69,4
2,108,104.25,0.5
2,111,83.25,0.5
2,65,79,0.5
2,105,100,4
2,27,30.75,4
2,171,159.75,4
2,156,155.5,0.5
2,179,164,0.5
2,99,97.25,0.5
2,89,101,0.5
2,138,110.25,0.5
2,124,113.25,4
2,154,145.25,0.5
2,39,45.5,0.5
2,130,117,4
2,3,165,0.5
2,161,151,4
2,83,63,0.5
2,140,144.75,4
2,163,157.5,0.5
2,147,144,4
2,15,19,4
2,128,124.25,0.5
2,84,83.75,0.5
2,29,42,0.5
2,157,133.25,4
2,21,32.25,0.5
2,91,91.75,4
2,64,59,4
2,172,171,0.5
2,10,22.75,0.5
2,72,79.25,0.5
2,68,82.25,0.5
2,113,106.75,4
2,69,79.5,0.5
2,45,35,4
2,16,15,4
2,138,139,0.5
2,72,116,0.5
2,73,88,0.5
2,5,19,0.5
2,121,113.5,0.5
2,172,164,4
2,179,163,0.5
2,87,69,0.5
2,13,19.5,4
2,92,120,0.5
2,159,150,4
2,179,172,4
2,133,124.75,0.5
2,176,173,0.5
2,79,59,4
2,148,138.75,4
2,37,41.75,0.5
2,122,124,4
2,38,42.5,4
2,42,43.5,4
2,134,127.25,4
2,129,123.25,4
2,36,24.75,0.5
2,155,155,4
2,166,159,4
2,129,117,4
2,44,55,4
2,8,20,4
2,129,125.25,4
2,170,21,0.5
2,161,145.25,4
2,12,24.75,4
2,173,168.75,0.5
2,91,101.25,0.5
2,154,154.5,0.5
2,40,37.75,0.5
2,95,89,4
2,167,170,0.5
2,155,160.5,0.5
2,139,132,0.5
2,15,29.25,0.5
2,39,23,4
2,19,23.5,4
2,101,111,4
2,51,41,4
2,9,21,0.5
2,36,25.75,4
2,66,51.25,0.5
2,145,151,0.5
2,43,83,0.5
2,160,139,4
2,94,93.75,4
2,45,43,4
2,169,158,0.5
2,15,174,0.5
2,45,34.75,4
2,141,159.25,0.5
2,79,173,4
2,36,39,4
2,121,117,0.5
2,53,54,0.5
2,71,71.75,0.5
2,25,26,0.5
2,125,122.25,4
2,52,61.75,4
2,38,38,4
2,139,124.25,0.5
2,180,171.25,4
2,73,66.75,0.5
2,23,25.25,0.5
2,86,100.5,4
2,160,157,0.5
2,171,159.25,4
2,118,106,0.5
2,25,29,4
2,51,38.25,4
2,170,162.5,4
2,16,26.75,4
2,7,24.25,4
2,151,142.75,0.5
2,137,127,4
2,37,50.5,0.5
2,40,95,0.5
2,129,107.25,0.5
2,13,19.75,4
2,11,22.5,4
2,23,23,0.5
2,154,154.75,0.5
2,57,30.5,4
2,105,114.5,0.5
2,145,123.25,4
2,71,67.5,0.5
2,159,145.5,4
2,93,80.25,0.5
2,8,11,0.5
2,149,149,0.5
2,175,166,4
2,28,25,0.5
2,44,35.25,0.5
2,92,104.25,4
2,117,107,0.5
2,43,35,4
2,169,145,0.5
2,48,32.75,0.5
2,41,39.25,0.5
2,147,130.5,4
2,52,39,0.5
2,33,14,0.5
2,55,48.5,4
2,98,96.25,0.5
2,22,36,0.5
2,9,14.5,0.5
2,128,126.25,4
2,57,55.5,4
2,2,15.25,4
2,173,160.75,4
2,39,26.5,0.5
2,49,66,0.5
2,84,101,0.5
2,109,107,4
2,82,104.75,0.5
2,12,20.5,4
2,23,29.75,0.5
2,44,39.75,4
2,124,110,0.5
2,68,105,0.5
2,161,142.5,4
2,8,20.25,0.5
2,139,131.75,4
2,159,138.5,4
2,146,135.75,4
2,98,109,4
2,130,117.75,4
2,90,107,0.5
2,158,151.25,4
2,153,148,0.5
2,144,139,0.5
2,37,48,0.5
2,47,48.5,0.5
2,115,111.5,0.5
2,94,111.5,0.5
2,151,146,4
2,38,38.5,4
2,131,134.5,0.5
2,43,41.25,4
2,144,138.25,4
2,106,105,0.5
2,127,115,4
2,4,20,4
2,107,108.75,4
2,130,130.5,4
2,97,108,4
2,45,36,4
2,118,106,0.5
2,40,43,0.5
2,15,29,4
2,6,10,0.5
2,94,96,0.5
2,170,163,4
2,128,128,4
2,129,119,0.5
2,95,106.25,4
2,17,21.25,4
2,42,33,4
2,22,25,0.5
2,96,103,0.5
2,51,70.5,0.5
2,111,98.5,0.5
2,107,118,4
2,136,114,0.5
2,107,104,0.5
2,159,154.75,4
2,166,157,4
2,98,103,4
2,27,78,0.5
2,157,158,0.5
2,163,157.75,4
2,39,33,4
2,24,21,4
2,42,41.25,4
2,62,49,0.5
2,122,119.75,4
2,162,153.25,4
2,149,148.25,0.5
2,129,127.5,0.5
2,50,43.25,4
2,54,79.25,0.5
2,132,109,0.5
2,87,79.25,0.5
2,72,80,0.5
2,69,77.25,0.5
2,67,62,4
2,87,81.5,0.5
2,20,32,4
2,82,74.5,0.5
2,23,30.75,4
2,7,22.25,4
2,71,79,0.5
2,17,21,4
2,159,143.75,4
2,68,70.5,0.5
2,149,131.5,4
2,96,105.75,4
2,11,14.75,0.5
2,77,78.25,0.5
2,68,29,0.5
2,11,8,0.5
2,174,163.25,0.5
2,114,108,0.5
2,174,169.75,4
2,14,16,0.5
2,150,168.5,0.5
2,165,159.25,0.5
2,104,112.5,4
2,156,147,4
2,52,36.5,0.5
2,12,21.25,0.5
2,60,48,4
2,141,126.75,0.5
2,8,18,4
2,77,71,4
2,17,27,0.5
2,175,156.5,4
2,48,50.5,4
2,175,159.5,0.5
2,74,57.5,0.5
2,58,67.25,0.5
2,21,17,0.5
2,127,126.25,4
2,85,104.5,0.5
2,151,141.75,0.5
2,68,44.75,4
2,155,146,4
2,175,173,4
2,68,78,0.5
2,45,52,4
2,39,68,0.5
2,102,102,0.5
2,146,141,0.5
2,78,71,4
2,7,15.25,0.5
2,95,110,0.5
2,79,101.25,0.5
2,122,116.25,0.5
2,1,17.25,4
2,99,99.75,4
2,88,95,4
2,59,47.5,0.5
2,125,130,4
2,38,35,0.5
2,130,128.5,0.5
2,90,94.25,4
2,86,81,0.5
2,124,125,4
2,79,73,4
2,38,49,0.5
2,32,164,0.5
2,69,117,0.5
2,121,118,0.5
2,6,29,4
2,28,28,0.5
2,23,28,4
2,156,144.25,0.5
2,124,119,0.5
2,17,30,0.5
2,138,113,4
2,107,104,0.5
2,2,12,4
2,126,105,0.5
2,45,35,0.5
2,16,19,4
2,38,27,0.5
2,63,59,4
2,153,143,4
2,138,132,0.5
2,52,44,0.5
2,113,111.25,0.5
2,163,151.75,0.5
2,114,115,4
2,15,24,4
2,75,28,0.5
2,87,87,4
2,146,63,0.5
2,114,117,4
2,120,104,0.5
2,114,114.75,4
2,6,13.75,4
2,126,122,0.5
2,118,127.75,4
2,10,25.5,0.5
2,99,106,0.5
2,149,136,4
2,74,81.25,0.5
2,78,68.25,4
2,81,99,4
2,169,159.75,0.5
2,74,65,4
2,177,159,4
2,163,148,4
2,172,156,4
2,28,20,0.5
2,156,150,4
2,125,121,4
2,114,118,4
2,14,19,0.5
2,180,171.75,4
2,148,131,4
2,24,27,4
2,100,101,4
2,121,115,0.5
2,73,71.5,0.5
2,61,43,4
2,89,96.5,0.5
2,145,108,0.5
2,162,155.25,4
2,55,42.25,4
2,68,63,4
2,139,129,0.5
2,59,55,0.5
2,170,168.25,0.5
2,9,14,4
2,135,101.5,0.5
2,2,166,0.5
2,60,82.25,0.5
2,21,26.5,4
2,50,47.25,4
2,134,126.75,0.5
2,75,60.75,4
2,10,25.5,4
2,77,104.25,0.5
2,172,14.25,0.5
2,120,104.25,0.5
2,51,64,0.5
2,139,125,4
2,95,101.5,4
2,26,35.5,4
2,87,99,4
2,46,52.75,4
2,127,125,4
2,164,157.25,4
2,166,159,4
2,94,84.5,4
2,79,81,4
2,28,28.5,4
2,115,139,0.5
2,94,114.5,0.5
2,15,26,4
2,10,16,4
2,32,33,0.5
2,76,65,0.5
2,24,31,4
2,167,162.5,4
2,174,158,4
2,32,37.5,4
2,6,11,4
2,166,162,0.5
2,112,103,0.5
2,66,76,4
2,160,141,0.5
2,150,138,0.5
2,174,166.75,4
2,51,57,4
2,73,76,4
2,109,110,4
2,95,75.25,0.5
2,19,26.5,0.5
2,51,47.5,4
2,150,153.75,0.5
2,160,168,0.5
2,106,119,0.5
2,153,169.75,0.5
2,40,20.75,4
2,16,16.25,0.5
2,131,139.75,0.5
2,76,78,0.5
2,63,68.25,4
2,27,39.5,0.5
2,80,72.25,0.5
2,76,75.75,0.5
2,4,18.5,0.5
2,135,135.25,4
2,25,87,0.5
2,9,25,4
2,151,146.75,0.5
2,157,145,4
2,106,100.25,0.5
2,53,51,4
2,174,165,0.5
2,144,151,0.5
2,52,59,0.5
2,65,59.75,0.5
2,136,132.5,4
2,42,44.5,0.5
2,132,129,4
2,32,44.5,4
2,14,25.75,4
2,24,17.75,0.5
2,168,99,0.5
2,81,82.5,4
2,17,175,0.5
2,60,73,4
2,79,93.5,0.5
2,53,55.75,4
2,105,114.75,4
2,69,48,0.5
2,89,99,0.5
2,120,127,4
2,20,16,0.5
2,166,157,4
2,114,151,4
2,24,28,4
2,77,59,4
2,42,33,4
2,137,123.25,0.5
2,63,72.25,0.5
2,135,145,4
2,92,95.75,4
2,7,19.75,4
2,113,106.25,4
2,28,33,0.5
2,31,41.5,4
2,163,151.25,0.5
2,44,54,0.5
2,7,23,0.5
2,121,121,0.5
2,150,136,4
2,173,157.75,4
2,66,69.5,4
2,110,104.5,0.5
2,30,75.75,0.5
2,129,131.5,4
2,123,120,0.5
2,146,143,0.5
2,84,75,4
2,1,11.5,4
2,93,98.25,4
2,14,38,0.5
2,165,150.5,4
2,6,15,4
2,162,159.5,0.5
2,86,82.5,0.5
2,10,18.5,4
2,25,34.25,4
2,158,143.75,4
2,90,90,4
2,142,131,0.5
2,29,35,4
2,21,34.25,0.5
2,128,123.75,4
2,43,48.5,4
2,147,143,0.5
2,18,24,4
2,120,102,0.5
